"","Ca","Mg","K","Na","NO3","NH4","SO4","Cl","P","DOC","Al","Si","DON","DOP","Harvest","Loss_Type","Site"
"1",1682.8474957,1850.6824115,343.9173894,7580.8661929,0.0246645,1.9180577,2944.8059668,13243.6755994,0.4518921,3465.4022537,4.4370629,3191.600677,99.7161191,0.1220486,"40 BO","Ambient","LNS"
"2",522.9812625,572.7067553,105.2662238,2377.1115016,0.1086498,3.0722155,917.7851711,4117.2283425,6.9023765,1085.9423399,1.3500653,972.5128707,29.861458,0.0345116,"40 BO","Inter_Harvest","LNS"
"3",1638.3916085,1804.4226976,252.3051137,7590.6306347,0.0245134,1.8331285,2877.0992572,13243.6755994,0.4748151,3258.6175898,4.3403398,3193.7313333,92.4294387,0.1996009,"40 WTH","Ambient","LNS"
"4",507.1427658,556.2501502,74.3686931,2370.0997971,0.1539857,3.1413678,893.2013744,4117.2283425,7.0238297,1008.8431712,1.3241409,1001.1899159,27.5090319,0.0512497,"40 WTH","Inter_Harvest","LNS"
"5",1850.5729435,2100.34368,372.8066505,8795.611791,4.1705505,25.8628313,3323.4395106,15354.1876069,7.6535591,3817.9626389,5.0140943,3665.190411,108.8823632,0.2271899,"80 BO","Ambient","LNS"
"6",236.6503345,270.3078167,43.4379754,1160.5322056,0.000935,0.2874754,430.327982,2006.716335,1.4795627,516.4870395,0.6681826,438.9891021,12.7870171,0.0319272,"80 BO","Inter_Harvest","LNS"
"7",1822.1263725,2068.8495086,302.1461799,8807.3110132,4.4224934,26.99429,3261.9801911,15354.1876069,7.6768929,3763.5453768,5.0039215,3742.054264,109.7135616,0.2243703,"80 WTH","Ambient","LNS"
"8",233.5321067,266.9903921,34.39637,1153.7639565,0.0016188,0.3948951,425.0839518,2006.716335,1.4895367,495.8422669,0.6646039,469.7238485,12.8023316,0.0274532,"80 WTH","Inter_Harvest","LNS"
"9",2035.3194083,2334.6322768,332.2878577,7764.8665419,2.6524281,11.8505622,1638.6497545,13322.5799829,0.9393544,3341.909253,0.4870456,7275.3310385,71.5473362,0.527214,"40 BO","Ambient","LNB"
"10",658.6542424,734.0795085,109.6078792,2405.5881277,31.644262,49.1569853,523.217256,4116.6820016,4.8872373,1053.1940266,0.1269385,2262.2116192,21.1135458,0.1338028,"40 BO","Inter_Harvest","LNB"
"11",1894.7961206,2364.6738517,157.1864093,7793.4302824,2.9545069,13.2524534,1629.001874,13322.5799829,2.8463746,3715.9300389,0.6029663,7314.7163909,94.2763298,0.3892844,"40 WTH","Ambient","LNB"
"12",604.820461,726.4744747,48.0687101,2394.4424858,39.4557335,63.3332763,519.3928627,4116.6820016,4.8918505,1139.2065273,0.1784385,2301.4373556,27.7810239,0.0849095,"40 WTH","Inter_Harvest","LNB"
"13",2139.4390467,2773.5173017,328.7926625,8992.408834,38.0104734,72.7790333,1836.8340851,15432.8119333,5.5405638,4473.0451208,0.6855775,8503.2718339,100.3896428,0.3983689,"80 BO","Ambient","LNB"
"14",294.8651682,385.942855,32.1707691,1185.7767182,0.3324957,3.4823492,241.9192411,2006.4500512,0.9209426,631.7385565,0.0745994,1099.3946178,11.4374926,0.0445128,"80 BO","Inter_Harvest","LNB"
"15",1973.4369834,2733.4619856,182.3354577,9014.1722842,58.7191737,106.0131083,1853.9036298,15432.8119333,7.2787045,4276.9392245,0.742079,8504.5926472,108.8508193,0.4407744,"80 WTH","Ambient","LNB"
"16",257.4255124,369.2170647,10.6958218,1175.0075769,0.6072453,4.616177,243.8930236,2006.4500512,1.1482402,570.1890326,0.09437,1122.572889,12.3544263,0.0434093,"80 WTH","Inter_Harvest","LNB"
"17",97.0970924,910.0688886,419.612678,7650.401389,1370.7114554,255.4554326,3208.9613673,13417.6246395,2.677992,4867.588565,69.7946778,791.0117894,14.8025899,6.0386798,"40 BO","Ambient","HNS"
"18",570.5656457,474.9631636,144.8840067,2322.592938,1837.9755584,184.8187184,1028.7609699,4117.5332707,0.9867316,1519.8708391,24.1658822,232.213899,4.6226188,1.8548153,"40 BO","Inter_Harvest","HNS"
"19",89.4962324,898.9870096,164.7642572,7650.4005731,1053.2369067,207.9147046,3129.5837997,13417.6246395,2.5375685,4627.0667227,66.4059018,800.3426652,14.6075168,5.6860304,"40 WTH","Ambient","HNS"
"20",317.034736,367.4764875,50.4868088,2323.5845683,590.9543364,124.9822735,1012.0051714,4117.5332707,0.9407004,1438.3084268,19.8130077,247.7624979,4.4411324,1.74314,"40 WTH","Inter_Harvest","HNS"
"21",417.7321442,1208.8515645,458.17717,8837.4765265,1579.2695262,356.4838296,3678.5464665,15528.8098346,3.7676925,5380.1797487,75.0386996,920.2330102,17.1765916,6.7512392,"80 BO","Ambient","HNS"
"22",106.3701566,161.2254975,50.896506,1136.4179264,460.5971186,64.2885338,471.2981705,2006.3480756,0.4418311,709.8230922,10.5317817,111.2707791,2.2867859,0.8571284,"80 BO","Inter_Harvest","HNS"
"23",369.2838993,1176.3865161,312.2782565,8836.6440329,1611.9414531,349.0291628,3663.2321424,15528.8098346,3.7019607,5362.3618285,75.8250699,930.5870541,17.1185795,6.8415093,"80 WTH","Ambient","HNS"
"24",62.9259136,138.0687658,28.2724524,1137.2315863,257.8454739,50.91445,478.6781415,2006.3480756,0.4634713,701.6634908,10.1913847,117.653314,2.2209184,0.870801,"80 WTH","Inter_Harvest","HNS"
"25",68.4690837,992.5947337,17.3859101,7613.4098975,627.6199611,11.2595761,2685.3811059,13354.3927817,1.4337349,3964.7824231,19.2825123,2907.9797546,22.202544,9.8540756,"40 BO","Ambient","HNB"
"26",605.8473633,538.3842939,14.0646585,2314.1948911,2142.4780834,74.4248816,841.2173016,4116.9635279,0.4253437,1253.8598242,11.7165274,837.7197382,7.0003621,2.9533093,"40 BO","Inter_Harvest","HNB"
"27",254.7569948,1180.8276699,4.7114104,7642.9078528,1057.0432646,29.2203163,2738.4029644,13354.3927817,0.6616012,4725.7089137,20.5304442,2866.1019177,29.7192409,8.3932106,"40 WTH","Ambient","HNB"
"28",459.6815772,401.2973623,1.3305744,2289.2795582,1007.11835,96.1494689,856.816078,4116.9635279,0.1908461,1468.408374,8.0707449,860.602628,9.1052274,2.4936842,"40 WTH","Inter_Harvest","HNB"
"29",469.7668638,1428.488422,39.5157651,8785.3503571,1695.1432735,141.3713408,3079.6738944,15464.7833506,0.8540737,5558.0321698,24.8316132,3327.0914987,32.7098016,9.0365921,"80 BO","Ambient","HNB"
"30",94.1973944,208.6228667,1.2376337,1145.1068136,456.1706432,18.9045241,402.0886291,2006.572959,0.0724418,748.9695643,3.9950483,420.9266395,4.3464471,1.019563,"80 BO","Inter_Harvest","HNB"
"31",434.3036654,1409.9702003,11.2216108,8786.8571667,1837.3189573,143.4507327,3121.3471048,15464.7828451,0.8754913,5483.4915785,25.7096102,3355.6818467,34.3904806,9.8597317,"80 WTH","Ambient","HNB"
"32",47.218025,178.6618663,0.3598827,1146.3878062,288.3422958,18.6980714,407.9934942,2006.5728894,0.0801653,720.2476656,3.6609859,440.9896979,4.4435429,1.1134646,"80 WTH","Inter_Harvest","HNB"
