"","Harvest","Rock_Type","N","variable","value"
"97","H12","Sedimentary","High","DW_F",7664.8398438
"98","H12","Sedimentary","High","DW_Brk",17452.7636719
"99","H12","Sedimentary","High","DW_Brh",10803.3837891
"100","H12","Sedimentary","High","DW_Bol",103709.59375
"101","H13","Sedimentary","High","DW_F",8372.7890625
"102","H13","Sedimentary","High","DW_Brk",6854.2802734
"103","H13","Sedimentary","High","DW_Brh",4574.0927734
"104","H13","Sedimentary","High","DW_Bol",49294.078125
"105","H1","Basalt","High","DW_F",8019.5952148
"106","H1","Basalt","High","DW_Brk",19369.9863281
"107","H1","Basalt","High","DW_Brh",9416.0869141
"108","H1","Basalt","High","DW_Bol",139040.671875
"109","H2","Basalt","High","DW_F",9358.7900391
"110","H2","Basalt","High","DW_Brk",38831.265625
"111","H2","Basalt","High","DW_Brh",17829.3457031
"112","H2","Basalt","High","DW_Bol",250709.859375
"113","H3","Basalt","High","DW_F",9358.7900391
"114","H3","Basalt","High","DW_Brk",46586.71875
"115","H3","Basalt","High","DW_Brh",20570.9921875
"116","H3","Basalt","High","DW_Bol",309768.71875
"117","H4","Basalt","High","DW_F",9358.7900391
"118","H4","Basalt","High","DW_Brk",44811.671875
"119","H4","Basalt","High","DW_Brh",18305.8320312
"120","H4","Basalt","High","DW_Bol",293971.1875
"121","H5","Basalt","High","DW_F",9358.7900391
"122","H5","Basalt","High","DW_Brk",43425.203125
"123","H5","Basalt","High","DW_Brh",17639.7246094
"124","H5","Basalt","High","DW_Bol",285664.09375
"125","H6","Basalt","High","DW_F",9358.7900391
"126","H6","Basalt","High","DW_Brk",42852.9765625
"127","H6","Basalt","High","DW_Brh",17226.3339844
"128","H6","Basalt","High","DW_Bol",281497.0625
"129","H7","Basalt","High","DW_F",9358.7900391
"130","H7","Basalt","High","DW_Brk",40120.3828125
"131","H7","Basalt","High","DW_Brh",16094.9492188
"132","H7","Basalt","High","DW_Bol",264511.5
"133","H8","Basalt","High","DW_F",9358.7900391
"134","H8","Basalt","High","DW_Brk",39424.7695312
"135","H8","Basalt","High","DW_Brh",15617.3886719
"136","H8","Basalt","High","DW_Bol",259726.703125
"137","H9","Basalt","High","DW_F",3477.703125
"138","H9","Basalt","High","DW_Brk",25804.9003906
"139","H9","Basalt","High","DW_Brh",11863.6484375
"140","H9","Basalt","High","DW_Bol",164194.75
"141","H10","Basalt","High","DW_F",3334.0229492
"142","H10","Basalt","High","DW_Brk",992.1045532
"143","H10","Basalt","High","DW_Brh",525.0119629
"144","H10","Basalt","High","DW_Bol",8860.4101562
"145","H11","Basalt","High","DW_F",5218.324707
"146","H11","Basalt","High","DW_Brk",416.157959
"147","H11","Basalt","High","DW_Brh",310.1664429
"148","H11","Basalt","High","DW_Bol",4327.5654297
"149","H12","Basalt","High","DW_F",4459.2197266
"150","H12","Basalt","High","DW_Brk",256.2403259
"151","H12","Basalt","High","DW_Brh",228.7948761
"152","H12","Basalt","High","DW_Bol",3537.0131836
"153","H13","Basalt","High","DW_F",4801.652832
"154","H13","Basalt","High","DW_Brk",260.0679321
"155","H13","Basalt","High","DW_Brh",224.4309387
"156","H13","Basalt","High","DW_Bol",3363.9335938
"157","H1","Basalt","Low","DW_F",9358.7900391
"158","H1","Basalt","Low","DW_Brk",34718.3203125
"159","H1","Basalt","Low","DW_Brh",12718.8183594
"160","H1","Basalt","Low","DW_Bol",252393.34375
"161","H2","Basalt","Low","DW_F",9358.7900391
"162","H2","Basalt","Low","DW_Brk",39489.4296875
"163","H2","Basalt","Low","DW_Brh",17765.7636719
"164","H2","Basalt","Low","DW_Bol",256998.671875
"165","H3","Basalt","Low","DW_F",9247.4912109
"166","H3","Basalt","Low","DW_Brk",36783.1367188
"167","H3","Basalt","Low","DW_Brh",16407.8085938
"168","H3","Basalt","Low","DW_Bol",240282.359375
"169","H4","Basalt","Low","DW_F",8911.6933594
"170","H4","Basalt","Low","DW_Brk",29265.6367188
"171","H4","Basalt","Low","DW_Brh",14590.6103516
