YEAR;Month;PP N mol/m�;PP Ca mol/m�;PP Mg mol/m�;PP K mol/m�;PP S mol/m�;PP P mol/m�;PU N mol/m�;PU Ca mol/m�;PU Mg mol/m�;PU K mol/m�;PU S mol/m�;PU P mol/m�;AU N mol/m�;AU Ca mol/m�;AU Mg mol/m�;AU K mol/m�;AU S mol/m�;AU P mol/m�;PA N mol/m�;PA Ca mol/m�;PA Mg mol/m�;PA K mol/m�;PA S mol/m�;PA P mol/m�;AA N mol/m�;AA Ca mol/m�;AA Mg mol/m�;AA K mol/m�;AA S mol/m�;AA P mol/m�
        2005;          12;  62700.9375000;   8003.1738281;   2353.1638184;   3009.8037109;   1953.7873535;   1042.2744141;    339.4419861;      0.0000000;      0.0000000;      0.0000000;     17.1132927;     15.7505121;    339.4420166;      0.0000000;      0.0000000;   1851.6495361;     17.1132927;     15.7505121;  11372.8574219;   1132.3536377;    499.4773865;   1488.6256104;    303.2934265;    533.5988770;  11372.8574219;   1132.3536377;    499.4773865;   1488.6256104;    303.2934265;    533.5988770
        2006;           1;  32359.2792969;   4987.5166016;    971.3132324;  -1112.7602539;   1123.6236572;      0.0000000;    354.1550598;      0.0000000;      0.0000000;      0.0000000;     17.8583050;     16.4627876;    354.1550598;      0.0000000;      0.0000000;   1869.1245117;     17.8583031;     16.4627876;  32115.3730469;   3015.6572266;   1381.8505859;   4122.5639648;    848.0219727;   1491.8728027;  32115.3730469;   3015.6572266;   1381.8505859;   4122.5639648;    848.0219727;   1136.8723145
        2006;           2;  31023.4667969;   4577.5673828;    811.3688965;  -1587.7995605;   1065.5954590;      0.0000000;    354.1550598;      0.0000000;      0.0000000;      0.0000000;     35.7166100;     32.9255753;    354.1550598;      0.0000000;      0.0000000;   1942.0750732;     35.7166061;     32.9255753;   3384.8339844;    409.9492493;    159.9443207;    475.0393677;     93.7447662;    164.6411591;   3384.8339844;    409.9492493;    159.9443207;    475.0393677;     93.7447662;    125.2963104
        2006;           3;  29117.3671875;   3978.4726562;    595.0227661;  -1940.5877686;   1031.3137207;      0.0000000;    708.3101196;      0.0000000;      0.0000000;      0.0000000;     89.2915268;     82.3139420;    708.3101196;      0.0000000;      0.0000000;   1940.5877686;     89.2915192;     82.3139496;   4335.0849609;    599.0947266;    216.3461151;    640.9929199;    123.5731964;    216.8147430;   4335.0849609;    599.0947266;    216.3461151;    352.7882080;    123.5731964;    176.0059814
        2006;           4;  26333.2578125;    793.8532715;      0.0000000;  -1936.3509521;   1020.3931274;      0.0000000;   8853.8769531;    547.9496460;    155.4328003;    429.6060181;    446.4576416;    411.5697021;   8853.8769531;    547.9496460;    155.4328308;   2365.9572754;    446.4575500;    411.5697632;  12773.6318359;   3732.5690918;    942.9546509;   2754.5227051;    457.3781128;    796.9864502;  12773.6318359;   3732.5690918;    750.4555664;    425.3695068;    457.3781128;    473.3544006
        2006;           5;  25622.0625000;      0.0000000;      0.0000000;  -1931.6888428;   1127.3457031;      0.0000000;  17707.7539062;   4383.5971680;   1243.4624023;   3436.8481445;    892.9152832;    823.1394043;  17707.7539062;   4383.5971680;   1243.4626465;   5368.5361328;    892.9151001;    823.1395264;  20641.4921875;   7020.2104492;   1677.2674561;   4886.2270508;    785.9625244;   1367.3466797;  20641.4921875;   5177.4501953;   1243.4626465;   3432.1850586;    785.9625244;    943.8263550
        2006;           6;  22664.1484375;      0.0000000;     34.6638184;  -1924.0759277;    987.2376709;      0.0000000;  11332.9619141;   4383.5971680;   1243.4624023;   3436.8481445;    446.4576416;    411.5697021;  11332.9619141;   4383.5971680;   1243.4626465;   5360.9228516;    446.4575500;    201.6507874;  16392.9687500;   4781.5625000;   1208.7988281;   3531.2126465;    586.5655518;   1022.1161499;  16392.9687500;   4383.5971680;   1208.7988281;   3429.2338867;    586.5655518;    315.6893005
        2006;           7;  19429.1191406;      0.0000000;     80.2277832;  -1924.4614258;    978.8664551;      0.0000000;  11332.9619141;   4383.5971680;   1243.4624023;   3436.8481445;    571.4657593;    526.8092041;  11332.9619141;   4383.5971680;   1243.4626465;   5361.3085938;    571.4656982;    159.7372131;  16136.6738281;   4758.3183594;   1197.8986816;   3498.6743164;    579.8369141;   1010.2763672;  16136.6738281;   4383.5971680;   1197.8986816;   3437.2326660;    579.8369141;    244.4783936
        2006;           8;  18081.5898438;    272.2929688;    300.0187378;  -1475.8497314;    950.9422607;      0.0000000;   9916.3417969;   4383.5971680;   1243.4624023;   3436.8481445;    464.3159180;    428.0324707;   9916.3427734;   4383.5971680;   1243.4626465;   5364.0527344;    464.3158264;    168.3529816;  13543.7685547;   4111.3041992;   1023.6716919;   2988.2358398;    492.2399902;    857.3912964;  13543.7685547;   4111.3041992;   1023.6716919;   2988.2358398;    492.2399902;    290.9738159
        2006;           9;  17598.8828125;    131.4387207;    363.0006104;  -1465.7757568;    912.1923828;      0.0000000;   9208.0312500;   3835.6472168;   1088.0295410;   3007.2419434;    464.3159180;    428.0324707;   9208.0312500;   3835.6464844;   1088.0295410;   4930.6933594;    464.3158264;    168.7992706;  14327.9599609;   3976.5007324;   1025.0477295;   2997.1677246;    503.0656738;    877.0658569;  14327.9599609;   3976.5007324;   1025.0477295;   2997.1677246;    503.0656738;    417.4978638
