kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.0002698;      0.0005179;      0.0001458;      0.0001736;      0.0021970;      0.0031427;      0.0000000
        2005;           2;      0.0002533;      0.0004795;      0.0001337;      0.0001608;      0.0020215;      0.0029086;      0.0000000
        2005;           3;      0.0002953;      0.0005569;      0.0001545;      0.0001854;      0.0023338;      0.0033710;      0.0000000
        2005;           4;      0.0003286;      0.0006372;      0.0001769;      0.0002039;      0.0026400;      0.0038136;      0.0000000
        2005;           5;      0.0004237;      0.0008652;      0.0002412;      0.0002587;      0.0035234;      0.0050817;      0.0000000
        2005;           6;      0.0004839;      0.0010265;      0.0002871;      0.0002920;      0.0041320;      0.0059508;      0.0000000
        2005;           7;      0.0005586;      0.0012074;      0.0003378;      0.0003338;      0.0048226;      0.0069481;      0.0000000
        2005;           8;      0.0006303;      0.0013873;      0.0003879;      0.0003722;      0.0054951;      0.0079237;      0.0000000
        2005;           9;      0.0006141;      0.0013518;      0.0003778;      0.0003623;      0.0053511;      0.0077184;      0.0000000
        2005;          10;      0.0004985;      0.0010547;      0.0002947;      0.0003005;      0.0042441;      0.0061161;      0.0000000
        2005;          11;      0.0004018;      0.0007980;      0.0002208;      0.0002440;      0.0032532;      0.0047161;      0.0000000
        2005;          12;      0.0003363;      0.0006348;      0.0001753;      0.0002073;      0.0026333;      0.0038242;      0.0000000
        2006;           1;      0.0002980;      0.0005489;      0.0001510;      0.0001849;      0.0022951;      0.0033363;      0.0000000
        2006;           2;      0.0002695;      0.0004958;      0.0001364;      0.0001671;      0.0020731;      0.0030147;      0.0000000
        2006;           3;      0.0003058;      0.0005656;      0.0001563;      0.0001901;      0.0023674;      0.0034375;      0.0000000
        2006;           4;      0.0007749;      0.0008019;      0.0002229;      0.0003621;      0.0034327;      0.0059841;      0.0000000
        2006;           5;      0.0010848;      0.0011018;      0.0003170;      0.0005100;      0.0047886;      0.0083489;      0.0000000
        2006;           6;      0.0006583;      0.0010813;      0.0003152;      0.0003817;      0.0045914;      0.0068810;      0.0000000
        2006;           7;      0.0005737;      0.0012198;      0.0003411;      0.0003418;      0.0048795;      0.0070497;      0.0000000
        2006;           8;      0.0006443;      0.0014008;      0.0003910;      0.0003791;      0.0055484;      0.0080207;      0.0000000
        2006;           9;      0.0006264;      0.0013644;      0.0003805;      0.0003680;      0.0053976;      0.0078043;      0.0000000
        2006;          10;      0.0005074;      0.0010640;      0.0002965;      0.0003046;      0.0042773;      0.0061783;      0.0000000
        2006;          11;      0.0003920;      0.0007855;      0.0002190;      0.0002408;      0.0032199;      0.0046466;      0.0000000
        2006;          12;      0.0003304;      0.0006268;      0.0001744;      0.0002058;      0.0026154;      0.0037834;      0.0000000
        2007;           1;      0.0004815;      0.0006044;      0.0001700;      0.0002551;      0.0026253;      0.0042133;      0.0000000
        2007;           2;      0.0006865;      0.0006508;      0.0001742;      0.0003005;      0.0027310;      0.0049932;      0.0000000
        2007;           3;      0.0009457;      0.0008091;      0.0002122;      0.0003864;      0.0033364;      0.0064572;      0.0000000
        2007;           4;      0.0011787;      0.0009626;      0.0002575;      0.0004759;      0.0040019;      0.0078798;      0.0000000
        2007;           5;      0.0013057;      0.0011823;      0.0003415;      0.0005830;      0.0051580;      0.0094184;      0.0000000
        2007;           6;      0.0013966;      0.0013387;      0.0004032;      0.0006562;      0.0059709;      0.0105162;      0.0000000
        2007;           7;      0.0011355;      0.0013814;      0.0004218;      0.0005971;      0.0061397;      0.0099001;      0.0000000
        2007;           8;      0.0008435;      0.0014312;      0.0004254;      0.0004916;      0.0060736;      0.0090449;      0.0000000
        2007;           9;      0.0006116;      0.0013385;      0.0003774;      0.0003643;      0.0053391;      0.0076849;      0.0000000
        2007;          10;      0.0007729;      0.0011314;      0.0003381;      0.0004362;      0.0049261;      0.0075481;      0.0000000
        2007;          11;      0.0006682;      0.0008597;      0.0002544;      0.0003607;      0.0037887;      0.0060044;      0.0000000
        2007;          12;      0.0003841;      0.0006373;      0.0001819;      0.0002328;      0.0027405;      0.0040506;      0.0000000
        2008;           1;      0.0004865;      0.0006068;      0.0001707;      0.0002569;      0.0026366;      0.0042402;      0.0000000
        2008;           2;      0.0005899;      0.0006105;      0.0001671;      0.0002756;      0.0026056;      0.0045455;      0.0000000
        2008;           3;      0.0007393;      0.0007227;      0.0001968;      0.0003334;      0.0030695;      0.0054998;      0.0000000
        2008;           4;      0.0009381;      0.0008659;      0.0002376;      0.0004102;      0.0036742;      0.0067563;      0.0000000
        2008;           5;      0.0009619;      0.0010556;      0.0003070;      0.0004732;      0.0046138;      0.0077786;      0.0000000
        2008;           6;      0.0020208;      0.0015965;      0.0004652;      0.0008482;      0.0069687;      0.0135371;      0.0000000
        2008;           7;      0.0016535;      0.0015798;      0.0004817;      0.0007809;      0.0070889;      0.0124627;      0.0000000
        2008;           8;      0.0013197;      0.0015936;      0.0004912;      0.0006929;      0.0071038;      0.0114726;      0.0000000
        2008;           9;      0.0008333;      0.0013973;      0.0004161;      0.0004841;      0.0059415;      0.0088687;      0.0000000
        2008;          10;      0.0004947;      0.0010433;      0.0002939;      0.0003010;      0.0042276;      0.0060783;      0.0000000
        2008;          11;      0.0007337;      0.0008835;      0.0002620;      0.0003842;      0.0039090;      0.0063272;      0.0000000
        2008;          12;      0.0005974;      0.0007099;      0.0002046;      0.0003100;      0.0031184;      0.0050807;      0.0000000
        2009;           1;      0.0005787;      0.0006379;      0.0001791;      0.0002861;      0.0027743;      0.0046699;      0.0000000
        2009;           2;      0.0005809;      0.0006002;      0.0001673;      0.0002757;      0.0025972;      0.0044986;      0.0000000
        2009;           3;      0.0007615;      0.0007303;      0.0001999;      0.0003417;      0.0031130;      0.0056116;      0.0000000
        2009;           4;      0.0010807;      0.0009213;      0.0002498;      0.0004503;      0.0038721;      0.0074224;      0.0000000
        2009;           5;      0.0016480;      0.0013266;      0.0003755;      0.0006849;      0.0056965;      0.0110772;      0.0000000
        2009;           6;      0.0049059;      0.0029005;      0.0007020;      0.0015708;      0.0107761;      0.0271748;      0.0000000
        2009;           7;      0.0028675;      0.0020622;      0.0006218;      0.0011650;      0.0091003;      0.0184012;      0.0000000
        2009;           8;      0.0024985;      0.0020267;      0.0006418;      0.0011115;      0.0092694;      0.0173235;      0.0000000
        2009;           9;      0.0019145;      0.0017623;      0.0005638;      0.0009091;      0.0081068;      0.0142954;      0.0000000
        2009;          10;      0.0009445;      0.0011738;      0.0003602;      0.0005047;      0.0052420;      0.0083699;      0.0000000
        2009;          11;      0.0007924;      0.0009101;      0.0002682;      0.0004040;      0.0040175;      0.0066222;      0.0000000
        2009;          12;      0.0006391;      0.0007281;      0.0002079;      0.0003223;      0.0031816;      0.0052796;      0.0000000
        2010;           1;      0.0006960;      0.0006877;      0.0001884;      0.0003182;      0.0029393;      0.0052224;      0.0000000
        2010;           2;      0.0006709;      0.0006395;      0.0001741;      0.0002994;      0.0027196;      0.0049212;      0.0000000
        2010;           3;      0.0008127;      0.0007510;      0.0002038;      0.0003553;      0.0031805;      0.0058489;      0.0000000
        2010;           4;      0.0010515;      0.0009098;      0.0002480;      0.0004432;      0.0038393;      0.0072913;      0.0000000
        2010;           5;      0.0014829;      0.0012635;      0.0003584;      0.0006348;      0.0054433;      0.0102876;      0.0000000
        2010;           6;      0.0024453;      0.0017827;      0.0005115;      0.0009762;      0.0076700;      0.0156335;      0.0000000
        2010;           7;      0.0022066;      0.0017791;      0.0005528;      0.0009657;      0.0080403;      0.0151758;      0.0000000
        2010;           8;      0.0018560;      0.0017651;      0.0005658;      0.0008949;      0.0081205;      0.0141298;      0.0000000
        2010;           9;      0.0013358;      0.0015385;      0.0004899;      0.0006981;      0.0069956;      0.0113865;      0.0000000
        2010;          10;      0.0041333;      0.0025467;      0.0006656;      0.0014194;      0.0100551;      0.0237313;      0.0000000
        2010;          11;      0.0011845;      0.0010613;      0.0003081;      0.0005281;      0.0046477;      0.0085087;      0.0000000
        2010;          12;      0.0008106;      0.0007988;      0.0002235;      0.0003733;      0.0034458;      0.0061010;      0.0000000
        2011;           1;      0.0007192;      0.0006974;      0.0001900;      0.0003240;      0.0029679;      0.0053289;      0.0000000
        2011;           2;      0.0007390;      0.0006703;      0.0001785;      0.0003153;      0.0028016;      0.0052355;      0.0000000
        2011;           3;      0.0007508;      0.0007320;      0.0001981;      0.0003361;      0.0030943;      0.0055659;      0.0000000
        2011;           4;      0.0009128;      0.0008599;      0.0002349;      0.0004013;      0.0036361;      0.0066409;      0.0000000
        2011;           5;      0.0011641;      0.0011440;      0.0003254;      0.0005336;      0.0049342;      0.0087579;      0.0000000
        2011;           6;      0.0017463;      0.0014931;      0.0004339;      0.0007601;      0.0065184;      0.0122055;      0.0000000
        2011;           7;      0.0013043;      0.0014561;      0.0004398;      0.0006562;      0.0064586;      0.0107485;      0.0000000
        2011;           8;      0.0009608;      0.0014818;      0.0004422;      0.0005430;      0.0063564;      0.0096720;      0.0000000
        2011;           9;      0.0006272;      0.0013547;      0.0003808;      0.0003716;      0.0053989;      0.0077950;      0.0000000
        2011;          10;      0.0005403;      0.0010678;      0.0003039;      0.0003271;      0.0043893;      0.0063633;      0.0000000
        2011;          11;      0.0010906;      0.0010298;      0.0002968;      0.0004972;      0.0044944;      0.0080570;      0.0000000
        2011;          12;      0.0007613;      0.0007752;      0.0002188;      0.0003590;      0.0033637;      0.0058563;      0.0000000
        2012;           1;      0.0006752;      0.0006815;      0.0001865;      0.0003116;      0.0029098;      0.0051272;      0.0000000
        2012;           2;      0.0007344;      0.0006691;      0.0001781;      0.0003139;      0.0027963;      0.0052153;      0.0000000
        2012;           3;      0.0008855;      0.0007897;      0.0002074;      0.0003690;      0.0032599;      0.0061865;      0.0000000
        2012;           4;      0.0011227;      0.0009474;      0.0002507;      0.0004558;      0.0039099;      0.0076158;      0.0000000
        2012;           5;      0.0017282;      0.0013718;      0.0003769;      0.0006988;      0.0057745;      0.0114404;      0.0000000
        2012;           6;      0.0014288;      0.0013503;      0.0004069;      0.0006671;      0.0060259;      0.0106728;      0.0000000
        2012;           7;      0.0011379;      0.0013802;      0.0004223;      0.0005984;      0.0061434;      0.0099094;      0.0000000
        2012;           8;      0.0008058;      0.0014168;      0.0004195;      0.0004738;      0.0059782;      0.0088423;      0.0000000
        2012;           9;      0.0006062;      0.0013342;      0.0003762;      0.0003614;      0.0053183;      0.0076485;      0.0000000
        2012;          10;      0.0012413;      0.0013153;      0.0003930;      0.0006082;      0.0058258;      0.0098926;      0.0000000
        2012;          11;      0.0009319;      0.0009759;      0.0002805;      0.0004459;      0.0042476;      0.0073073;      0.0000000
        2012;          12;      0.0008185;      0.0008110;      0.0002222;      0.0003709;      0.0034441;      0.0061393;      0.0000000
        2013;           1;      0.0006890;      0.0006879;      0.0001866;      0.0003135;      0.0029171;      0.0051841;      0.0000000
        2013;           2;      0.0007564;      0.0006784;      0.0001794;      0.0003190;      0.0028208;      0.0053148;      0.0000000
        2013;           3;      0.0009537;      0.0008111;      0.0002136;      0.0003900;      0.0033549;      0.0064990;      0.0000000
        2013;           4;      0.0012764;      0.0010021;      0.0002661;      0.0005026;      0.0041366;      0.0083391;      0.0000000
        2013;           5;      0.0012247;      0.0011428;      0.0003345;      0.0005597;      0.0050272;      0.0090199;      0.0000000
        2013;           6;      0.0012717;      0.0012916;      0.0003918;      0.0006165;      0.0057788;      0.0099265;      0.0000000
        2013;           7;      0.0011332;      0.0013498;      0.0004253;      0.0005987;      0.0061043;      0.0098421;      0.0000000
        2013;           8;      0.0011523;      0.0014980;      0.0004728;      0.0006296;      0.0067248;      0.0105712;      0.0000000
        2013;           9;      0.0007519;      0.0013371;      0.0004029;      0.0004480;      0.0056941;      0.0083707;      0.0000000
        2013;          10;      0.0011875;      0.0012736;      0.0003925;      0.0005950;      0.0057375;      0.0096191;      0.0000000
        2013;          11;      0.0009981;      0.0009679;      0.0002922;      0.0004719;      0.0043320;      0.0075824;      0.0000000
        2013;          12;      0.0008894;      0.0008127;      0.0002333;      0.0003994;      0.0035522;      0.0064529;      0.0000000
        2014;           1;      0.0008359;      0.0007345;      0.0002017;      0.0003594;      0.0031330;      0.0058685;      0.0000000
        2014;           2;      0.0008220;      0.0007049;      0.0001858;      0.0003383;      0.0029214;      0.0056301;      0.0000000
        2014;           3;      0.0009169;      0.0007992;      0.0002106;      0.0003794;      0.0033077;      0.0063325;      0.0000000
        2014;           4;      0.0011720;      0.0009627;      0.0002557;      0.0004717;      0.0039822;      0.0078442;      0.0000000
        2014;           5;      0.0020641;      0.0015102;      0.0004097;      0.0007956;      0.0062763;      0.0130499;      0.0000000
        2014;           6;      0.0019998;      0.0015794;      0.0004676;      0.0008460;      0.0069542;      0.0134459;      0.0000000
        2014;           7;      0.0015681;      0.0015327;      0.0004760;      0.0007551;      0.0069415;      0.0120360;      0.0000000
