 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2009;           6;   3042.2385254;   9994.5068359;     82.6760559;     95.0132980;    301.5197144;     17.1294651
        2009;           7;   3042.2385254;   9994.5068359;     82.7408981;     95.0132980;    301.5197144;     17.1429024
        2009;           8;   3042.2385254;   9994.5068359;     75.6140594;     95.0132980;    301.5197144;     15.6663065
        2009;           9;   3042.2385254;   9994.5068359;     75.4967117;     95.0132980;    301.5197144;     15.6419945
        2009;          10;   3042.2385254;   9994.5068359;     78.0162506;     95.0132980;    301.5197144;     16.1640110
        2009;          11;   3042.2385254;   9994.5068359;     78.9103088;     95.0132980;    301.5197144;     16.3492508
        2009;          12;   3042.2385254;   9994.5068359;     77.2629929;     95.0132980;    301.5197144;     16.0079460
        2010;           1;   3042.2385254;   9994.5068359;     76.1019897;     95.0132980;    301.5197144;     15.7674007
        2010;           2;   3042.2385254;   9994.5068359;     74.7712631;     95.0132980;    301.5197144;     15.4916916
        2010;           3;   3042.2385254;   9994.5068359;     74.0071411;     95.0132980;    301.5197144;     15.3333740
        2010;           4;   3042.2385254;   9994.5068359;     74.5839844;     95.0132980;    301.5197144;     15.4528875
        2010;           5;   3042.2385254;   9994.5068359;     75.9602661;     95.0132980;    301.5197144;     15.7380381
        2010;           6;   3042.2385254;   9994.5068359;     78.3055420;     95.0132980;    301.5197144;     16.2239513
        2010;           7;   3042.2385254;   9994.5068359;     82.0736389;     95.0132980;    301.5197144;     17.0046539
        2010;           8;   3042.2385254;   9994.5068359;     82.1422882;     95.0132980;    301.5197144;     17.0188770
        2010;           9;   3042.2385254;   9994.5068359;     82.1422882;     95.0132980;    301.5197144;     17.0188770
        2010;          10;   3042.2385254;   9994.5068359;     82.4790573;     95.0132980;    301.5197144;     17.0886517
        2010;          11;   3042.2385254;   9994.5068359;     80.2818146;     95.0132980;    301.5197144;     16.6334114
        2010;          12;   3042.2385254;   9994.5068359;     77.1069565;     95.0132980;    301.5197144;     15.9756193
        2011;           1;   3042.2385254;   9994.5068359;     74.3304214;     95.0132980;    301.5197144;     15.4003544
        2011;           2;   3042.2385254;   9994.5068359;     71.9057770;     95.0132980;    301.5197144;     14.8979969
        2011;           3;   3042.2385254;   9994.5068359;     69.9108200;     95.0132980;    301.5197144;     14.4846659
        2011;           4;   3042.2385254;   9994.5068359;     69.7830658;     95.0132980;    301.5197144;     14.4581985
        2011;           5;   3042.2385254;   9994.5068359;     70.5761414;     95.0132980;    301.5197144;     14.6225119
        2011;           6;   3042.2385254;   9994.5068359;     73.2011337;     95.0132980;    301.5197144;     15.1663790
        2011;           7;   3042.2385254;   9994.5068359;     74.3942337;     95.0132980;    301.5197144;     15.4135771
        2011;           8;   3042.2385254;   9994.5068359;     74.6466827;     95.0132980;    301.5197144;     15.4658794
        2011;           9;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2011;          10;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2011;          11;   3042.2385254;   9994.5068359;     75.7304230;     95.0132980;    301.5197144;     15.6904182
        2011;          12;   3042.2385254;   9994.5068359;     75.7882462;     95.0132980;    301.5197144;     15.7023973
        2012;           1;   3042.2385254;   9994.5068359;     73.5422821;     95.0132980;    301.5197144;     15.2370625
        2012;           2;   3042.2385254;   9994.5068359;     72.0179520;     95.0132980;    301.5197144;     14.9212370
        2012;           3;   3042.2385254;   9994.5068359;     68.1703491;     95.0132980;    301.5197144;     14.1240635
        2012;           4;   3042.2385254;   9994.5068359;     67.1063843;     95.0132980;    301.5197144;     13.9036217
        2012;           5;   3042.2385254;   9994.5068359;     69.0402985;     95.0132980;    301.5197144;     14.3043032
        2012;           6;   3042.2385254;   9994.5068359;     74.3942337;     95.0132980;    301.5197144;     15.4135771
        2012;           7;   3042.2385254;   9994.5068359;     74.6466827;     95.0132980;    301.5197144;     15.4658794
        2012;           8;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2012;           9;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2012;          10;   3042.2385254;   9994.5068359;     74.6466827;     95.0132980;    301.5197144;     15.4658794
        2012;          11;   3042.2385254;   9994.5068359;     74.6779327;     95.0132980;    301.5197144;     15.4723539
        2012;          12;   3042.2385254;   9994.5068359;     72.4587708;     95.0132980;    301.5197144;     15.0125723
        2013;           1;   3042.2385254;   9994.5068359;     73.5422821;     95.0132980;    301.5197144;     15.2370625
        2013;           2;   3042.2385254;   9994.5068359;     72.5670471;     95.0132980;    301.5197144;     15.0350046
        2013;           3;   3042.2385254;   9994.5068359;     72.3497314;     95.0132980;    301.5197144;     14.9899807
        2013;           4;   3042.2385254;   9994.5068359;     73.6095810;     95.0132980;    301.5197144;     15.2510042
        2013;           5;   3042.2385254;   9994.5068359;     76.3534393;     95.0132980;    301.5197144;     15.8194971
        2013;           6;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2013;           7;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2013;           8;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2013;           9;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2013;          10;   3042.2385254;   9994.5068359;     80.9879150;     95.0132980;    301.5197144;     16.7797050
        2013;          11;   3042.2385254;   9994.5068359;     85.1912155;     95.0132980;    301.5197144;     17.6505775
        2013;          12;   3042.2385254;   9994.5068359;     83.4283218;     95.0132980;    301.5197144;     17.2853279
        2014;           1;   3042.2385254;   9994.5068359;     80.2818146;     95.0132980;    301.5197144;     16.6334114
        2014;           2;   3042.2385254;   9994.5068359;     73.8096924;     95.0132980;    301.5197144;     15.2924671
        2014;           3;   3042.2385254;   9994.5068359;     37.3160439;     95.0132980;    301.5197144;      7.7314267
        2014;           4;   3042.2385254;   9994.5068359;     49.7200661;     95.0132980;    301.5197144;     10.3013906
        2014;           5;   3042.2385254;   9994.5068359;     57.4589577;     95.0132980;    301.5197144;     11.9047937
        2014;           6;   3042.2385254;   9994.5068359;     59.1500587;     95.0132980;    301.5197144;     12.2551689
        2014;           7;   3042.2385254;   9994.5068359;     60.3739471;     95.0132980;    301.5197144;     12.5087442
        2014;           8;   3042.2385254;   9994.5068359;     60.3739471;     95.0132980;    301.5197144;     12.5087442
        2014;           9;   3042.2385254;   9994.5068359;     60.3739471;     95.0132980;    301.5197144;     12.5087442
        2014;          10;   3042.2385254;   9994.5068359;     70.8188705;     95.0132980;    301.5197144;     14.6728039
        2014;          11;   3042.2385254;   9994.5068359;     74.6466827;     95.0132980;    301.5197144;     15.4658794
        2014;          12;   3042.2385254;   9994.5068359;     74.4577560;     95.0132980;    301.5197144;     15.4267349
        2015;           1;   3042.2385254;   9994.5068359;     74.4894180;     95.0132980;    301.5197144;     15.4332972
        2015;           2;   3042.2385254;   9994.5068359;     72.3861618;     95.0132980;    301.5197144;     14.9975290
        2015;           3;   3042.2385254;   9994.5068359;     72.1293335;     95.0132980;    301.5197144;     14.9443150
        2015;           4;   3042.2385254;   9994.5068359;     73.3385239;     95.0132980;    301.5197144;     15.1948433
        2015;           5;   3042.2385254;   9994.5068359;     76.2979584;     95.0132980;    301.5197144;     15.8080025
        2015;           6;   3042.2385254;   9994.5068359;     78.7273483;     95.0132980;    301.5197144;     16.3113441
        2015;           7;   3042.2385254;   9994.5068359;     78.6348419;     95.0132980;    301.5197144;     16.2921772
        2015;           8;   3042.2385254;   9994.5068359;     78.6348419;     95.0132980;    301.5197144;     16.2921772
        2015;           9;   3042.2385254;   9994.5068359;     78.6348419;     95.0132980;    301.5197144;     16.2921772
        2015;          10;   3042.2385254;   9994.5068359;     78.6348419;     95.0132980;    301.5197144;     16.2921772
        2015;          11;   3042.2385254;   9994.5068359;     75.9031677;     95.0132980;    301.5197144;     15.7262087
        2015;          12;   3042.2385254;   9994.5068359;     73.0624924;     95.0132980;    301.5197144;     15.1376534
