 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2005;           1;   9032.8779297;  10013.5800781;     71.2546997;    212.6005554;    227.6621704;     11.1256342
        2005;           2;   9032.8779297;  10013.5800781;     68.1233368;    212.6005554;    227.6621704;     10.6367054
        2005;           3;   9043.5146484;  10032.6542969;     70.3710861;    212.8509064;    228.0958557;     10.9876680
        2005;           4;   9043.5146484;  10032.6542969;     75.4376602;    212.8509064;    228.0958557;     11.7787561
        2005;           5;   9043.5146484;  10032.6542969;     83.9002533;    212.8509064;    228.0958557;     13.1000977
        2005;           6;   9043.5146484;  10032.6542969;     84.3504105;    212.8509064;    228.0958557;     13.1703844
        2005;           7;   9043.5146484;  10051.7275391;     90.5980835;    212.8509064;    228.5294800;     14.1458902
        2005;           8;   9043.5146484;  10051.7275391;     90.5481644;    212.8509064;    228.5294800;     14.1380949
        2005;           9;   9043.5146484;  10051.7275391;     90.5481644;    212.8509064;    228.5294800;     14.1380949
        2005;          10;   9043.5146484;  10051.7275391;     90.0538559;    212.8509064;    228.5294800;     14.0609150
        2005;          11;   9043.5146484;  10070.8007812;     76.7085800;    212.8509064;    228.9631042;     11.9771957
        2005;          12;   9043.5146484;  10070.8007812;     72.6388168;    212.8509064;    228.9631042;     11.3417482
        2006;           1;   9043.5146484;  10070.8007812;     67.5493088;    212.8509064;    228.9631042;     10.5470772
        2006;           2;   9043.5146484;  10070.8007812;     64.3743744;    212.8509064;    228.9631042;     10.0513477
        2006;           3;   9043.5146484;  10070.8007812;     64.7169266;    212.8509064;    228.9631042;     10.1048336
        2006;           4;   9043.5146484;  10070.8007812;     69.3938751;    212.8509064;    228.9631042;     10.8350868
        2006;           5;   9043.5146484;  10070.8007812;     76.6815872;    212.8509064;    228.9631042;     11.9729824
        2006;           6;   9043.5146484;  10070.8007812;     77.3145981;    212.8509064;    228.9631042;     12.0718203
        2006;           7;   9043.5146484;  10089.8740234;     84.4052277;    212.8509064;    229.3967590;     13.1789436
