"";"X";"X.1";"Residue.L1.L2.L3";"X.2";"X.3";"X.4";"X.5";"X.6";"X.7";"L1.L2.L3";"X.8";"X.9";"X.10";"X.11";"X.12";"X.13";"Coarse.litter..L1.";"X.14";"X.15";"X.16";"X.17";"X.18";"X.19";"Fine.litter..L2.";"X.20";"X.21";"X.22";"X.23";"X.24";"X.25";"Humus..L3.";"X.26";"X.27";"X.28";"X.29";"X.30";"X.31";"X.32"
"1";"YEAR";"Month";NA;NA;NA;NA;NA;NA;NA;"C kg/ha";"N kg/ha";"Ca kg/ha";"Mg kg/ha";"K kg/ha";"S kg/ha";"P kg/ha";"C kg/ha";"N kg/ha";"Ca kg/ha";"Mg kg/ha";"K kg/ha";"S kg/ha";"P kg/ha";"C kg/ha";"N kg/ha";"Ca kg/ha";"Mg kg/ha";"K kg/ha";"S kg/ha";"P kg/ha";"C kg/ha";"N kg/ha";"Ca kg/ha";"Mg kg/ha";"K kg/ha";"S kg/ha";"P kg/ha";NA
"2";"        2005";"           1";5931,3984375;155,255127;125,0416412;23,3463154;22,2308578;18,9135628;13,6361837;"   5931.3984375";"    155.2551270";"    125.0416412";"     23.3463154";"     22.2308578";"     18.9135628";"     13.6361837";"   2531.7968750";"     66.1826248";"     53.5034294";"      9.9925900";"      9.5430193";"      8.0928040";"      5.8112278";"     21.7805042";"      0.6326165";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0588150";"   3377.8210449";"     88.4399033";"     71.5382156";"     13.3537226";"     12.6878386";"     10.8207588";"      7.7661400";NA
"3";"        2005";"           2";5927,9833984;155,1132507;124,3480377;23,2231579;22,1713924;18,8086014;13,6267881;"   5927.9833984";"    155.1132507";"    124.3480377";"     23.2231579";"     22.1713924";"     18.8086014";"     13.6267881";"   2511.7211914";"     65.5346069";"     52.9365959";"      9.8930998";"      9.5060368";"      8.0070190";"      5.7538786";"     44.0473175";"      1.2781255";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.1188238";"   3372.2153320";"     88.3005295";"     71.4114456";"     13.3300581";"     12.6653538";"     10.8015833";"      7.7540860";NA
"4";"        2005";"           3";5920,902832;154,8972321;123,457489;23,0632;22,0766296;18,6738529;13,6118546;"   5920.9028320";"    154.8972321";"    123.4574890";"     23.0632000";"     22.0766296";"     18.6738529";"     13.6118546";"   2483.9235840";"     64.6851273";"     52.2070312";"      9.7631912";"      9.4398289";"      7.8966208";"      5.6788406";"     71.5784607";"      2.0746670";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.1928671";"   3365.4013672";"     88.1374512";"     71.2504578";"     13.3000069";"     12.6367998";"     10.7772322";"      7.7401466";NA
"5";"        2005";"           4";5909,8618164;154,6263428;122,5342636;22,8948498;21,9529648;18,5341778;13,5923634;"   5909.8618164";"    154.6263428";"    122.5342636";"     22.8948498";"     21.9529648";"     18.5341778";"     13.5923634";"   2452.3071289";"     63.7801819";"     51.4480934";"      9.6255064";"      9.3453026";"      7.7817950";"      5.5990939";"     98.7989502";"      2.8611591";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.2659721";"   3358.7551270";"     87.9849930";"     71.0861740";"     13.2693396";"     12.6076622";"     10.7523823";"      7.7272973";NA
"6";"        2005";"           5";5899,9179688;154,3390808;121,3951492;22,6900749;21,83008;18,3618164;13,5724735;"   5899.9179688";"    154.3390808";"    121.3951492";"     22.6900749";"     21.8300800";"     18.3618164";"     13.5724735";"   2416.7734375";"     62.6974068";"     50.5191078";"      9.4599600";"      9.2596874";"      7.6412196";"      5.5034580";"    132.3939819";"      3.8291910";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.3559411";"   3350.7500000";"     87.8124847";"     70.8760376";"     13.2301159";"     12.5703926";"     10.7205973";"      7.7130742";NA
"7";"        2005";"           6";5890,8813477;154,0783691;120,3635788;22,5048389;21,7207699;18,2057323;13,5544806;"   5890.8813477";"    154.0783691";"    120.3635788";"     22.5048389";"     21.7207699";"     18.2057323";"     13.5544806";"   2384.9453125";"     61.7222633";"     49.6808777";"      9.3108101";"      9.1846628";"      7.5143757";"      5.4173117";"    162.1562500";"      4.6844835";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.4354231";"   3343.7807617";"     87.6716232";"     70.6827087";"     13.1940289";"     12.5361052";"     10.6913567";"      7.7017465";NA
"8";"        2005";"           7";5897,9130859;154,1600342;120,3118668;22,5010757;21,7708988;18,1978645;13,5617819;"   5897.9130859";"    154.1600342";"    120.3118668";"     22.5010757";"     21.7708988";"     18.1978645";"     13.5617819";"   2389.6791992";"     61.7319908";"     49.6489792";"      9.3107491";"      9.2383108";"      7.5095081";"      5.4177480";"    165.1686554";"      4.7708735";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.4434506";"   3343.0651855";"     87.6571655";"     70.6628799";"     13.1903276";"     12.5325880";"     10.6883564";"      7.7005835";NA
"9";"        2005";"           8";5911,2988281;154,3422241;120,4005737;22,5263176;21,8740063;18,2112179;13,5771675;"   5911.2988281";"    154.3422241";"    120.4005737";"     22.5263176";"     21.8740063";"     18.2112179";"     13.5771675";"   2403.0625000";"     61.9141083";"     49.7377243";"      9.3359957";"      9.3414211";"      7.5228667";"      5.4331255";"    165.1719818";"      4.7709680";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.4434594";"   3343.0644531";"     87.6571503";"     70.6628571";"     13.1903238";"     12.5325851";"     10.6883535";"      7.7005825";NA
"10";"        2005";"           9";5920,6318359;154,3580475;119,6720734;22,40695;21,9120274;18,1009045;13,5818481;"   5920.6318359";"    154.3580475";"    119.6720734";"     22.4069500";"     21.9120274";"     18.1009045";"     13.5818481";"   2393.7812500";"     61.3490105";"     49.1684685";"      9.2463512";"      9.4076862";"      7.4366393";"      5.3823290";"    189.2356415";"      5.4548550";"      0.0000000";"      0.0000000";"      0.0000000";"      0.0000000";"      0.5069829";"   3337.6147461";"     87.5541763";"     70.5036163";"     13.1605978";"     12.5043411";"     10.6642656";"      7.6925349";NA
