"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;16725,2558594;27,2345715;4,4330292;17,8421707;1,9586948;4,0905008;2005-01-01
"2";2;2005;16729,9628906;27,2422371;4,4342771;17,8471909;1,959246;4,0916524;2005-02-01
"3";3;2005;16739,3769531;27,2575665;4,4367719;17,857233;1,9603485;4,0939541;2005-03-01
"4";4;2005;16857,0488281;27,4491749;4,4679604;17,9827633;1,974129;4,1227336;2005-04-01
"5";5;2005;17092,390625;27,8323994;4,5303378;18,2338219;2,0016899;4,1802907;2005-05-01
"6";6;2005;17243,0097656;28,0776577;4,57026;18,3944988;2,0193288;4,2171283;2005-06-01
"7";7;2005;17393,6289062;28,3229198;4,6101818;18,5551758;2,036968;4,2539654;2005-07-01
"8";8;2005;17525,421875;28,5375233;4,6451135;18,6957703;2,052402;4,2861977;2005-08-01
"9";9;2005;17647,7988281;28,7367992;4,6775494;18,8263206;2,0667338;4,3161273;2005-09-01
"10";10;2005;17652,5058594;28,744463;4,6787968;18,8313408;2,0672851;4,3172789;2005-10-01
"11";11;2005;17657,2128906;28,7521267;4,6800447;18,8363628;2,0678363;4,3184299;2005-11-01
"12";12;2005;17661,9199219;28,7597923;4,6812921;18,8413849;2,0683875;4,319581;2005-12-01
"13";1;2006;17666,1796875;28,7667274;4,6824207;18,8459282;2,0688863;4,3206224;2006-01-01
"14";2;2006;17670,4375;28,7736626;4,6835494;18,8504734;2,0693848;4,3216643;2006-02-01
"15";3;2006;17678,9550781;28,7875309;4,6858072;18,8595581;2,0703824;4,3237472;2006-03-01
"16";4;2006;17785,4199219;28,9608936;4,7140255;18,9731312;2,0828507;4,3497858;2006-04-01
"17";5;2006;17998,3496094;29,3076172;4,7704625;19,2002811;2,1077867;4,4018617;2006-05-01
"18";6;2006;18134,625;29,5295238;4,8065825;19,3456573;2,1237459;4,4351907;2006-06-01
"19";7;2006;18270,8984375;29,7514248;4,8427019;19,4910336;2,1397047;4,4685192;2006-07-01
"20";8;2006;18390,1386719;29,945591;4,8743067;19,6182365;2,1536691;4,4976816;2006-08-01
"21";9;2006;18500,8613281;30,1258869;4,9036541;19,7363529;2,1666358;4,5247617;2006-09-01
"22";10;2006;18505,1210938;30,1328201;4,9047828;19,7408962;2,1671343;4,5258031;2006-10-01
"23";11;2006;18509,3789062;30,1397572;4,9059119;19,7454395;2,1676331;4,526845;2006-11-01
"24";12;2006;18513,6386719;30,1466923;4,9070401;19,7499828;2,1681318;4,5278859;2006-12-01
"25";1;2007;18517,3378906;30,1527119;4,9080205;19,7539291;2,1685648;4,52879;2007-01-01
"26";2;2007;18521,0371094;30,1587334;4,9090009;19,7578735;2,168998;4,5296946;2007-02-01
"27";3;2007;18528,4335938;30,1707802;4,9109612;19,7657623;2,1698642;4,5315037;2007-03-01
"28";4;2007;18620,8886719;30,321331;4,9354663;19,8643932;2,1806917;4,5541158;2007-04-01
"29";5;2007;18805,8007812;30,6224308;4,984478;20,0616531;2,202347;4,5993395;2007-05-01
"30";6;2007;18924,1445312;30,8151417;5,0158448;20,1879005;2,2162061;4,628283;2007-06-01
"31";7;2007;19042,4882812;31,0078468;5,0472121;20,314146;2,2300653;4,6506786;2007-07-01
"32";8;2007;19146,0390625;31,1764603;5,0746584;20,424614;2,242192;4,6598763;2007-08-01
"33";9;2007;19242,1933594;31,3330364;5,1001439;20,5271873;2,2534525;4,6708536;2007-09-01
"34";10;2007;19245,8925781;31,339056;5,1011243;20,5311337;2,2538855;4,6717577;2007-10-01
"35";11;2007;19249,5917969;31,3450775;5,1021047;20,535078;2,2543187;4,6722503;2007-11-01
"36";12;2007;19253,2890625;31,3510971;5,1030846;20,5390244;2,2547517;4,6724796;2007-12-01
"37";1;2008;19256,8769531;31,3569393;5,1040349;20,5428486;2,2551715;4,6725731;2008-01-01
"38";2;2008;19260,4628906;31,3627777;5,1049852;20,5466747;2,2555916;4,6733842;2008-02-01
"39";3;2008;19267,6347656;31,3744583;5,1068869;20,554327;2,2564316;4,675138;2008-03-01
"40";4;2008;19357,2890625;31,5204449;5,1306496;20,6499672;2,2669311;4,6970644;2008-04-01
"41";5;2008;19536,5996094;31,8124218;5,1781754;20,8412514;2,2879298;4,7409182;2008-05-01
"42";6;2008;19651,3554688;31,9992886;5,2085919;20,9636726;2,3013692;4,7689843;2008-06-01
"43";7;2008;19766,1132812;32,1861534;5,2390079;21,086092;2,3148084;4,7879009;2008-07-01
"44";8;2008;19866,5253906;32,3496628;5,2656226;21,1932106;2,3265676;4,7995172;2008-08-01
"45";9;2008;19959,7675781;32,5014954;5,2903361;21,2926769;2,337487;4,8126802;2008-09-01
"46";10;2008;19963,3535156;32,5073318;5,2912865;21,2965031;2,3379068;4,8135571;2008-10-01
"47";11;2008;19966,9394531;32,5131721;5,2922368;21,3003273;2,3383269;4,8139944;2008-11-01
"48";12;2008;19970,5253906;32,5190125;5,2931871;21,3041534;2,3387468;4,8142061;2008-12-01
"49";1;2009;19973,7753906;32,5243034;5,2940488;21,307621;2,3391275;4,8143039;2009-01-01
"50";2;2009;19977,0253906;32,5295944;5,2949104;21,3110886;2,3395081;4,8150148;2009-02-01
"51";3;2009;19983,5253906;32,5401802;5,2966332;21,3180218;2,3402693;4,8166051;2009-03-01
"52";4;2009;20064,7734375;32,6724777;5,3181677;21,4046955;2,3497841;4,8364754;2009-04-01
"53";5;2009;20227,2734375;32,9370842;5,361238;21,5780487;2,3688145;4,8762183;2009-05-01
