"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,4094305;0;0;0;0;0;0;2,056298;2,5730648;4,3052831;0,4029164;13,571928;21,7559109;0,6952055;NA;2005;32,01791;18,7794857;4,229094;23,9711285;2,3153346;3,7066231;20,404583;7,060205;2,0077941;8,1952219;1,3093146;2,0844312;20,1642227;15,5631351;2,964515;3,358171;2,3769612;1,8028564;-280,802948;-0,0057878;-0,0035099;-0,0056463;-25,5738201;-18,2854576;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,7011824;0;0;0;0;0;0;2,0669465;2,5392575;4,2299566;0,4013603;13,4066925;21,4927731;0,7086074;NA;2006;32,2671547;20,9025688;4,3744478;25,7216949;2,3428705;4,0588489;20,8801575;7,2247601;2,0545902;8,3862286;1,3398311;2,1330132;18,6789532;12,6407309;2,5433612;4,0913901;1,9778425;1,7232251;-67,2830429;-0,0108293;-0,0065674;-0,0105646;-5,7243991;-2,8303647;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;10,5812397;0;0;0;0;0;0;2,05617;2,5013413;4,1507964;0,3943729;13,1871862;21,1512299;0,7171749;NA;2007;32,0102501;20,928339;4,3995204;26,4327888;2,3267508;4,0133467;20,973011;7,2568865;2,0637271;8,423522;1,345789;2,142499;18,6522331;11,2249556;2,3801324;4,8572268;1,7987051;1,7625996;-7,1059179;-0,0126161;-0,007651;-0,0123077;-0,1273396;1,5014729;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;11,5013313;0;0;0;0;0;0;2,0482073;2,477329;4,1006627;0,3893642;13,0429821;20,9280663;0,7231081;NA;2008;28,3908997;21,1660271;4,4573512;27,3040981;2,3253634;3,9945405;20,9450512;7,2816172;2,0707598;8,4522285;1,3503758;2,1498005;19,0898666;10,4552965;2,3185112;5,5464363;1,7107686;1,8358073;7,2586989;-0,0134219;-0,0081396;-0,0130938;1,4448973;2,7087178;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;12,0098085;0;0;0;0;0;0;2,0439785;2,4496086;4,0427213;0,3840603;12,8833494;20,6780052;0,7325182;NA;2009;25,2275887;21,4254036;4,5047169;27,8710804;2,3371336;4,0076509;19,9660339;7,1666098;2,0380538;8,3187313;1,3290478;2,1158464;19,5194187;9,963376;2,2915723;6,1121898;1,658903;1,9063749;8,99963;-0,0138965;-0,0084274;-0,0135568;1,8806144;3,044605;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;12,3972073;0;0;0;0;0;0;2,0390859;2,4362621;4,0157037;0,3815208;12,8068666;20,5581703;0,7346423;NA;2010;25,0758629;20,6295834;4,5234079;28,2129478;2,3350329;3,9928863;18,7097073;6,9908051;1,9880583;8,114665;1,2964447;2,0639427;19,7109127;9,5910044;2,2715852;6,5445318;1,6197815;1,9605677;8,6819468;-0,014221;-0,0086242;-0,0138733;1,9958208;3,1182907;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;13,1055994;0;0;0;0;0;0;2,036495;2,4278073;3,9971695;0,3800137;12,7546883;20,4790916;0,7367172;NA;2011;25,1194305;18,4093647;4,5543857;28,8241024;2,3267949;3,9638288;18,0269966;6,9822083;1,9856136;8,1046858;1,2948503;2,0614042;19,7115631;9,2966681;2,2554119;6,8824902;1,588728;2,0026863;8,1904774;-0,0144553;-0,0087663;-0,014102;2,0205989;3,1171756;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;13,8848944;0;0;0;0;0;0;2,0361466;2,4140563;3,9678407;0,3773923;12,6742315;20,3536263;0,7429891;NA;2012;24,7644215;18,3762703;4,5837922;29,4809933;2,3127377;3,9307144;17,5944099;7,0013304;1,9910507;8,1268806;1,2983962;2,0670488;19,6117325;9,0657082;2,2437882;7,1584291;1,5647337;2,0377762;8,2383995;-0,0146363;-0,0088761;-0,0142785;2,0200348;3,0952592;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;14,6611452;0;0;0;0;0;0;2,0334656;2,4078147;3,9558737;0,3762208;12,6401005;20,2991562;0,7434397;NA;2013;24,6082535;18,3081741;4,3675852;30,1534519;2,3020968;3,90379;17,3430939;7,0335751;2,0002208;8,1643095;1,3043759;2,0765686;19,4632626;8,8839035;2,2358048;7,3873711;1,5462517;2,0676248;8,0696554;-0,014783;-0,008965;-0,0144216;2,0124876;3,0706868;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;15,4204235;0;0;0;0;0;0;2,0317822;2,4031019;3,9453177;0,3752808;12,6095276;20,2534256;0,7447925;NA;2014;24,7219315;18,3926296;4,2523427;29,954792;2,2958665;3,8868754;17,1842537;7,0571756;2,0069318;8,1917028;1,3087523;2,0835359;19,2984886;8,7391148;2,2302091;7,5773826;1,5317984;2,0928545;7,7719421;-0,0149057;-0,0090395;-0,0145414;2,003114;3,0478311;NA
"11";"        2015";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;16,1424599;0;0;0;0;0;0;2,0326719;2,393352;3,9241688;0,3734813;12,5525341;20,1646118;0,7500392;NA;2015;24,3840904;18,5987892;4,3082724;29,8615799;2,2896352;3,8699617;17,0934505;7,0833268;2,0143692;8,2220602;1,3136022;2,0912571;19,1376858;8,6235666;2,226439;7,736012;1,5205065;2,1143172;7,9558134;-0,01501;-0,0091027;-0,0146431;1,9932908;3,0248923;NA
