"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;2,5988263;2,9666956;4,2446173;0,9157776;15,9380116;26,8984975;0,3008263
"2";2006;2,4681124;2,8546316;4,1409042;0,865985;15,403452;25,8751292;0,2859838
"3";2007;2,6209373;2,9291859;4,2824036;0,9159842;16,1526714;27,0002656;0,2917855
"4";2008;2,6607022;2,9886282;4,4380302;0,9197961;16,5975379;27,6383867;0,3023965
"5";2009;2,6492627;2,9305611;4,233492;0,9320219;16,0975322;26,9769158;0,2933026
"6";2010;2,8078003;3,0768484;4,5017512;0,9765769;17,103465;28,5531253;0,3143653
"7";2011;2,7391308;3,0396501;4,599831;0,9330537;17,1657784;28,4022184;0,3104913
"8";2012;2,7425754;3,0630943;4,6168717;0,9376873;17,1961744;28,5118355;0,3166241
"9";2013;2,9034549;3,2406055;4,8245021;0,9955976;18,035283;30,060301;0,3418906
"10";2014;2,8289524;3,1140087;4,6611135;0,9721308;17,5283479;29,0988538;0,3237001
"11";2015;2,7035052;3,0265523;4,590594;0,918802;17,0610175;28,2224671;0,3120536
"12";2016;2,7644013;3,096206;4,7312898;0,933851;17,5197695;28,9419912;0,3238127
"13";2017;2,7190214;3,0725021;4,6782898;0,9195675;17,2645174;28,5726536;0,3259092
"14";2018;2,6496296;3,0259452;4,5829521;0,8970795;16,8453636;27,9446129;0,3259885
"15";2019;2,8464745;3,1399602;4,750626;0,9694502;17,7850319;29,4358954;0,3269347
"16";2020;2,7904534;3,1470311;4,7931745;0,9416055;17,6886712;29,2764605;0,336983
"17";2021;2,9638132;3,243624;4,8584814;1,017173;18,3117316;30,4062558;0,3407646
"18";2022;2,9083836;3,2072947;4,7867094;0,9966624;17,9748591;29,8785125;0,3419167
"19";2023;2,8464628;3,1813377;4,875049;0,9551493;18,0163305;29,7439038;0,3417292
"20";2024;2,8816584;3,2336753;4,8867758;0,9773123;18,0928718;30,0381896;0,3566372
"21";2025;2,9586602;3,3434407;4,9970542;1,0057244;18,5037645;30,8642004;0,3696974
"22";2026;2,9183175;3,2293923;4,8652856;0,9921384;18,1688132;30,1411333;0,3494337
"23";2027;2,8042379;3,1643875;4,8419103;0,942732;17,8354007;29,4823342;0,342934
"24";2028;2,8311835;3,219984;4,9518696;0,9450625;18,1209785;29,9448829;0,3544022
"25";2029;2,8018929;3,1799981;4,8247307;0,9436178;17,7386913;29,4383482;0,3589884
"26";2030;2,6828416;3,0642381;4,6830455;0,8929975;17,1191908;28,318174;0,3428297
"27";2031;2,8484196;3,1864277;4,9085152;0,9498207;18,1093074;29,8425935;0,3422779
"28";2032;2,8327897;3,2402621;4,9197325;0,9527082;18,0032318;29,9010976;0,3675571
"29";2033;2,9963859;3,3035788;4,9682911;1,0222445;18,6027561;30,8854194;0,3566241
"30";2034;3,0166048;3,2991891;4,9437683;1,0293221;18,5843362;30,8570646;0,356147
"31";2035;3,0004798;3,3696239;5,0378842;1,016711;18,6610741;31,1254218;0,3807015
"32";2036;2,9173894;3,2708292;4,934206;0,9853413;18,2492046;30,3206154;0,3699635
"33";2037;3,0119974;3,4031809;5,0872713;1,0200512;18,7989189;31,3707079;0,3863961
"34";2038;2,9683015;3,3264889;5,0114719;1,0045807;18,5644205;30,8645836;0,372861
"35";2039;2,8707373;3,2498365;4,9734625;0,9605852;18,2541634;30,2042784;0,3635071
"36";2040;2,8634402;3,2852809;5,0029768;0,9581375;18,2457492;30,2984277;0,3780698
"37";2041;2,8186098;3,2071543;4,8724069;0,942289;17,8505152;29,6222619;0,3707889
"38";2042;2,7927851;3,1635477;4,816832;0,9321707;17,6733822;29,279247;0,3626379
"39";2043;2,9285321;3,3348069;5,064516;0,9844542;18,5658515;30,8400568;0,3768367
"40";2044;2,8648533;3,2727203;4,9452724;0,9633506;18,111706;30,1286795;0,3750106
"41";2045;3,066358;3,3778885;5,0621997;1,0447957;18,9554454;31,5208165;0,3700783
"42";2046;3,0929643;3,433746;5,0847324;1,0538316;18,997617;31,7451383;0,3851637
"43";2047;2,9387723;3,3209806;5,0388034;0,9861188;18,5152629;30,7405656;0,3785547
"44";2048;2,9729791;3,3306477;4,9963494;1,0038631;18,4881858;30,7871156;0,3831818
"45";2049;2,9912881;3,4082106;5,0711084;1,0089009;18,6534129;31,2052322;0,3986121
"46";2050;3,0256448;3,3780233;5,0623049;1,0236386;18,7901792;31,2923925;0,3827891
"47";2051;2,9626604;3,3830332;5,1026028;0,9978662;18,6918366;31,1459347;0,3938764
