"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9405.1699219
"2","H1","Sedimentary","Low","DW_Brk",28724.2539062
"3","H1","Sedimentary","Low","DW_Brh",11277.8476562
"4","H1","Sedimentary","Low","DW_Bol",209488.65625
"5","H2","Sedimentary","Low","DW_F",11596.0546875
"6","H2","Sedimentary","Low","DW_Brk",25580.5625
"7","H2","Sedimentary","Low","DW_Brh",10446.6455078
"8","H2","Sedimentary","Low","DW_Bol",164344.875
"9","H3","Sedimentary","Low","DW_F",11337.7441406
"10","H3","Sedimentary","Low","DW_Brk",20873.6015625
"11","H3","Sedimentary","Low","DW_Brh",9051.2275391
"12","H3","Sedimentary","Low","DW_Bol",132671.46875
"13","H4","Sedimentary","Low","DW_F",11297.9003906
"14","H4","Sedimentary","Low","DW_Brk",20412.2148438
"15","H4","Sedimentary","Low","DW_Brh",9001.2705078
"16","H4","Sedimentary","Low","DW_Bol",129102.421875
"17","H5","Sedimentary","Low","DW_F",11228.4091797
"18","H5","Sedimentary","Low","DW_Brk",20129.21875
"19","H5","Sedimentary","Low","DW_Brh",9022.6816406
"20","H5","Sedimentary","Low","DW_Bol",126663.875
"21","H6","Sedimentary","Low","DW_F",11177.0117188
"22","H6","Sedimentary","Low","DW_Brk",19949.2519531
"23","H6","Sedimentary","Low","DW_Brh",9010.6933594
"24","H6","Sedimentary","Low","DW_Bol",125122.84375
"25","H7","Sedimentary","Low","DW_F",11177.0117188
"26","H7","Sedimentary","Low","DW_Brk",19949.2519531
"27","H7","Sedimentary","Low","DW_Brh",9010.6933594
"28","H7","Sedimentary","Low","DW_Bol",125122.84375
"29","H8","Sedimentary","Low","DW_F",11170.28125
"30","H8","Sedimentary","Low","DW_Brk",19790.0527344
"31","H8","Sedimentary","Low","DW_Brh",8941.2480469
"32","H8","Sedimentary","Low","DW_Bol",124086.6015625
"33","H9","Sedimentary","Low","DW_F",11115.9658203
"34","H9","Sedimentary","Low","DW_Brk",19510.484375
"35","H9","Sedimentary","Low","DW_Brh",8837.8369141
"36","H9","Sedimentary","Low","DW_Bol",122256.234375
"37","H10","Sedimentary","Low","DW_F",11075.609375
"38","H10","Sedimentary","Low","DW_Brk",19107.5507812
"39","H10","Sedimentary","Low","DW_Brh",8654.5859375
"40","H10","Sedimentary","Low","DW_Bol",119827.5703125
"41","H11","Sedimentary","Low","DW_F",10989.5322266
"42","H11","Sedimentary","Low","DW_Brk",18100.5703125
"43","H11","Sedimentary","Low","DW_Brh",8245.4609375
"44","H11","Sedimentary","Low","DW_Bol",113542.953125
