,Harvest,Rock_Type,N,variable,value,,
122,H5,Basalt,High,DW_Brk,46046.3476562,,
123,H5,Basalt,High,DW_Brh,18872.5429688,,
124,H5,Basalt,High,DW_Bol,301233.5,,
125,H6,Basalt,High,DW_F,9358.7900391,,369844.7158203
126,H6,Basalt,High,DW_Brk,45336.671875,,
127,H6,Basalt,High,DW_Brh,18366.0664062,,
128,H6,Basalt,High,DW_Bol,296783.1875,,
129,H7,Basalt,High,DW_F,9358.7900391,,341985.0732423
130,H7,Basalt,High,DW_Brk,41941.5429688,,
131,H7,Basalt,High,DW_Brh,17445.3339844,,
132,H7,Basalt,High,DW_Bol,273239.40625,,
133,H8,Basalt,High,DW_F,9358.7900391,,314049.7167969
134,H8,Basalt,High,DW_Brk,38024.2578125,,
135,H8,Basalt,High,DW_Brh,15173.5595703,,
136,H8,Basalt,High,DW_Bol,251493.109375,,
137,H9,Basalt,High,DW_F,9358.7900391,,312786.8339844
138,H9,Basalt,High,DW_Brk,37896.2539062,,
139,H9,Basalt,High,DW_Brh,14986.9775391,,
140,H9,Basalt,High,DW_Bol,250544.8125,,
141,H10,Basalt,High,DW_F,9358.7900391,,261442.5400391
142,H10,Basalt,High,DW_Brk,31259.9921875,,
143,H10,Basalt,High,DW_Brh,12611.2578125,,
144,H10,Basalt,High,DW_Bol,208212.5,,
145,H11,Basalt,High,DW_F,54.0549927,,50805.2546997
146,H11,Basalt,High,DW_Brk,6438.3496094,,
147,H11,Basalt,High,DW_Brh,5174.4086914,,
148,H11,Basalt,High,DW_Bol,39138.4414062,,
149,H12,Basalt,High,DW_F,52.9220886,,15290.3456726
150,H12,Basalt,High,DW_Brk,1593.4182129,,
151,H12,Basalt,High,DW_Brh,1218.2553711,,
152,H12,Basalt,High,DW_Bol,12425.75,,
153,H13,Basalt,High,DW_F,2.0336628,,14798.3235798
154,H13,Basalt,High,DW_Brk,1534.1315918,,
155,H13,Basalt,High,DW_Brh,1163.413208,,
156,H13,Basalt,High,DW_Bol,12098.7451172,,
157,H1,Basalt,Low,DW_F,9191.53125,,310609.2646485
158,H1,Basalt,Low,DW_Brk,34908.0898438,,
159,H1,Basalt,Low,DW_Brh,12764.2529297,,
160,H1,Basalt,Low,DW_Bol,253745.390625,,
161,H2,Basalt,Low,DW_F,9324.0224609,,301699.2705078
162,H2,Basalt,Low,DW_Brk,36631.265625,,
163,H2,Basalt,Low,DW_Brh,16674.5917969,,
164,H2,Basalt,Low,DW_Bol,239069.390625,,
165,H3,Basalt,Low,DW_F,9252.6669922,,267908.6318359
166,H3,Basalt,Low,DW_Brk,32322.1953125,,
167,H3,Basalt,Low,DW_Brh,15135.1914062,,
168,H3,Basalt,Low,DW_Bol,211198.578125,,
169,H4,Basalt,Low,DW_F,9121.0693359,,223943.1455078
170,H4,Basalt,Low,DW_Brk,26736.3125,,
171,H4,Basalt,Low,DW_Brh,13096.8574219,,
172,H4,Basalt,Low,DW_Bol,174988.90625,,
173,H5,Basalt,Low,DW_F,8717.3710938,,162365.1699219
174,H5,Basalt,Low,DW_Brk,18990.7011719,,
175,H5,Basalt,Low,DW_Brh,10347.3164062,,
176,H5,Basalt,Low,DW_Bol,124309.78125,,
177,H6,Basalt,Low,DW_F,1074.8798828,,73261.4072265
178,H6,Basalt,Low,DW_Brk,8891.6123047,,
179,H6,Basalt,Low,DW_Brh,7044.7236328,,
180,H6,Basalt,Low,DW_Bol,56250.1914062,,
181,H7,Basalt,Low,DW_F,1134.1386719,,20193.5118409
182,H7,Basalt,Low,DW_Brk,2055.0751953,,
183,H7,Basalt,Low,DW_Brh,1847.3155518,,
184,H7,Basalt,Low,DW_Bol,15156.9824219,,
185,H8,Basalt,Low,DW_F,1091.619751,,20135.4099121
186,H8,Basalt,Low,DW_Brk,1999.7561035,,
187,H8,Basalt,Low,DW_Brh,1755.1483154,,
188,H8,Basalt,Low,DW_Bol,15288.8857422,,
189,H9,Basalt,Low,DW_F,1391.8381348,,20187.7735596
190,H9,Basalt,Low,DW_Brk,1966.026001,,
191,H9,Basalt,Low,DW_Brh,1717.7561035,,
192,H9,Basalt,Low,DW_Bol,15112.1533203,,
193,H10,Basalt,Low,DW_F,1339.2799072,,19953.9051514
194,H10,Basalt,Low,DW_Brk,1936.1020508,,
195,H10,Basalt,Low,DW_Brh,1685.9987793,,
196,H10,Basalt,Low,DW_Bol,14992.5244141,,
197,H11,Basalt,Low,DW_F,1281.7485352,,19641.5628663
198,H11,Basalt,Low,DW_Brk,1902.5889893,,
199,H11,Basalt,Low,DW_Brh,1648.7634277,,
200,H11,Basalt,Low,DW_Bol,14808.4619141,,
201,H12,Basalt,Low,DW_F,1641.3469238,,19723.732666
202,H12,Basalt,Low,DW_Brk,1866.5797119,,
203,H12,Basalt,Low,DW_Brh,1611.9251709,,
204,H12,Basalt,Low,DW_Bol,14603.8808594,,
205,H13,Basalt,Low,DW_F,1231.0289307,,18153.4785156
206,H13,Basalt,Low,DW_Brk,1765.1055908,,
207,H13,Basalt,Low,DW_Brh,1549.8713379,,
208,H13,Basalt,Low,DW_Bol,13607.4726562,,
