"";"N_Manz";"YEAR"
"1";-3,08129012857144;2005
"2";-3,38491649999999;2006
"3";-3,15801027142858;2007
"4";-2,7478974142857;2008
"5";-1,90780005714287;2009
"6";-0,504787857142854;2010
"7";-0,193563242857146;2011
"8";0,0080163857142728;2012
"9";0,0476625000000033;2013
"10";0,0390767000000137;2014
"11";0,0610341428571226;2015
"12";0,0322149857142782;2016
"13";0,0273674428571492;2017
"14";0,0123049857142823;2018
"15";0,00388479999999853;2019
"16";-0,0588863285714345;2020
"17";-0,00237281428571886;2021
"18";-0,04777784285714;2022
"19";-0,0905128142857166;2023
"20";-0,0615677857143027;2024
"21";-149,096620671429;2025
"22";37,0280548571428;2026
"23";30,7561178142857;2027
"24";25,6423116;2028
"25";21,4472545714286;2029
"26";17,998975;2030
"27";15,1548246142857;2031
"28";12,8029085714285;2032
"29";10,8631115;2033
"30";9,2571789;2034
"31";7,92240111428572;2035
"32";6,81499608571429;2036
"33";5,88931375714286;2037
"34";5,11203774285715;2038
"35";-2,95047335714285;2039
"36";-2,08650061428571;2040
"37";-1,53941678571429;2041
"38";-3,01140927142858;2042
"39";-4,21752974285714;2043
"40";-7,01912167142856;2044
"41";-7,60890854285715;2045
"42";-5,15367735714285;2046
"43";-4,94750641428571;2047
"44";-4,64770722857142;2048
"45";-4,36810818571428;2049
"46";-4,15809441428573;2050
"47";-3,85013550000001;2051
"48";-3,55820608571429;2052
"49";-3,32900528571427;2053
"50";-3,04561272857143;2054
"51";-2,81632915714287;2055
"52";-2,64933731428574;2056
"53";-2,43102698571429;2057
"54";-2,24729835714287;2058
"55";-2,12576939999999;2059
"56";-1,96872127142857;2060
"57";-1,84194994285711;2061
"58";-1,76433301428571;2062
"59";-1,6437347;2063
"60";-1,55432344285716;2064
"61";-1,51370159999999;2065
"62";-1,42900631428572;2066
"63";-166,092693985714;2067
"64";44,0872049571429;2068
"65";36,2617586285714;2069
"66";29,9088256714286;2070
"67";24,7259964714286;2071
"68";20,4906601142857;2072
"69";17,0198822857143;2073
"70";14,1699253142857;2074
"71";11,8351673285714;2075
"72";9,91565525714286;2076
"73";8,33322828571428;2077
"74";7,03091867142858;2078
"75";5,95349117142857;2079
"76";5,05810987142858;2080
"77";-3,09455461428572;2081
"78";-2,31022359999999;2082
"79";-1,81764467142857;2083
"80";-3,3164774;2084
"81";-4,54014401428571;2085
"82";-7,35503567142858;2086
"83";-7,94810944285715;2087
"84";-5,53902710000001;2088
"85";-5,35084191428572;2089
"86";-5,01637861428571;2090
"87";-4,70319167142856;2091
"88";-4,44046651428572;2092
"89";-4,11979490000001;2093
"90";-3,86798328571428;2094
"91";-3,65325805714285;2095
"92";-3,38696584285714;2096
"93";-3,16363070000001;2097
"94";-2,98857202857143;2098
"95";-2,77184585714285;2099
"96";-2,58529908571429;2100
"97";-2,46408702857142;2101
"98";-2,29682595714286;2102
"99";-2,16420452857143;2103
"100";-2,0915802;2104
"101";-1,9595401;2105
"102";-1,87016645714286;2106
"103";-1,83153232857142;2107
"104";-1,73545522857142;2108
"105";-165,922508614286;2109
"106";43,8061176571429;2110
"107";35,9849360857143;2111
"108";29,6363841571429;2112
"109";24,4589551142857;2113
"110";20,2292833857143;2114
"111";16,7646518142857;2115
"112";13,9211268714286;2116
"113";11,5929360571429;2117
"114";9,67959537142858;2118
"115";8,1034584;2119
"116";6,80695721428572;2120
"117";5,73514948571428;2121
"118";4,84569888571428;2122
"119";-3,30383734285714;2123
"120";-2,52856131428571;2124
"121";-2,03765771428572;2125
"122";-3,53404537142858;2126
"123";-4,74860911428571;2127
"124";-7,566375;2128
"125";-8,15869577142857;2129
"126";-5,73771552857143;2130
"127";-5,54061667142856;2131
"128";-5,25499591428571;2132
"129";-4,95536305714285;2133
"130";-4,64248488571428;2134
"131";-4,30407488571429;2135
"132";-3,99652895714285;2136
"133";-3,761908;2137
"134";-3,53251687142857;2138
"135";-3,32139732857144;2139
"136";-3,15072509999999;2140
"137";-2,93350324285714;2141
"138";-2,74131101428571;2142
"139";-2,60894107142857;2143
"140";-2,44249971428571;2144
"141";-2,30428767142858;2145
"142";-2,21917425714285;2146
"143";-2,08348041428573;2147
"144";-1,98526384285714;2148
"145";-1,93990892857142;2149
"146";-1,84260987142858;2150
"147";-168,280555042857;2151
"148";43,9516337571429;2152
"149";36,1111576714286;2153
"150";29,7448085857143;2154
"151";24,5509159142857;2155
"152";20,3058350857143;2156
"153";16,8270031142857;2157
"154";13,9707021285714;2158
"155";11,6308544285714;2159
"156";9,70700698571428;2160
"157";8,12162308571428;2161
"158";6,81660255714285;2162
"159";5,73699737142857;2163
"160";4,84074197142856;2164
"161";-3,31518032857143;2165
"162";-2,55710901428572;2166
"163";-2,07313662857142;2167
"164";-3,57605270000001;2168
"165";-4,79464152857144;2169
"166";-7,61778295714285;2170
"167";-8,22176794285714;2171
"168";-5,7951512857143;2172
"169";-5,60270282857144;2173
"170";-5,31701081428571;2174
"171";-5,02039044285714;2175
"172";-4,74661184285714;2176
"173";-4,41746169999998;2177
"174";-4,06976935714285;2178
"175";-3,81185688571428;2179
"176";-3,53014631428572;2180
"177";-3,30626595714288;2181
"178";-3,17327371428571;2182
"179";-2,97438722857143;2183
"180";-2,78942111428573;2184
"181";-2,66275794285713;2185
"182";-2,49590752857143;2186
"183";-2,35568474285715;2187
"184";-2,27435104285714;2188
"185";-2,13712722857142;2189
"186";-2,03871247142858;2190
"187";-1,99432342857144;2191
"188";-1,89450244285714;2192
"189";-169,923377228571;2193
"190";44,0752609714286;2194
"191";36,2226703428572;2195
"192";29,8448738142857;2196
"193";24,6402864857143;2197
"194";20,3847787714286;2198
"195";16,8962373571429;2199
"196";14,0308916428571;2200
"197";11,6828341428571;2201
"198";9,75154731428571;2202
"199";8,15939471428572;2203
"200";6,84807785714285;2204
"201";5,76274857142857;2205
"202";4,86148095714286;2206
"203";-3,29893772857143;2207
"204";-2,54541247142858;2208
"205";-2,06527372857142;2209
"206";-3,573117;2210
"207";-4,7985985;2211
"208";-7,62700922857142;2212
"209";-8,24169548571429;2213
"210";-5,81749388571428;2214
"211";-5,63135149999999;2215
"212";-5,34431392857143;2216
"213";-5,04623567142857;2217
"214";-4,77234050000001;2218
"215";-4,44449185714286;2219
"216";-4,13557955714287;2220
"217";-3,88252225714285;2221
"218";-3,56535305714286;2222
"219";-3,31697144285714;2223
"220";-3,14202652857144;2224
"221";-2,9369923857143;2225
"222";-2,78423142857143;2226
"223";-2,67041402857142;2227
"224";-2,51203257142858;2228
"225";-2,37268085714285;2229
"226";-2,28891924285713;2230
"227";-2,1552097142857;2231
"228";-2,05238870000001;2232
"229";-2,00318148571429;2233
"230";-1,90422308571429;2234
"231";-170,616256914286;2235
"232";44,1098805;2236
"233";36,2575888714286;2237
"234";29,8792372714286;2238
"235";24,6733875285714;2239
"236";20,4158465857143;2240
"237";16,9249337428571;2241
"238";14,0572008714286;2242
"239";11,7066422285714;2243
"240";9,77294731428571;2244
"241";8,17843412857143;2245
"242";6,86473612857143;2246
"243";5,77727987142857;2247
"244";4,87410802857143;2248
"245";-3,28767735714286;2249
"246";-2,53001747142856;2250
"247";-2,05326775714286;2251
"248";-3,56369378571429;2252
"249";-4,79235134285714;2253
"250";-7,62416674285715;2254
"251";-8,2478167;2255
"252";-5,83109798571429;2256
"253";-5,64249312857143;2257
"254";-5,35693447142857;2258
"255";-5,05809942857143;2259
"256";-4,78279497142857;2260
"257";-4,45554084285714;2261
"258";-4,1400568;2262
"259";-3,88754268571428;2263
"260";-3,6060263;2264
"261";-3,35869374285714;2265
"262";-3,14680461428571;2266
"263";-2,9142919;2267
"264";-2,72059285714286;2268
"265";-2,60690281428571;2269
"266";-2,48371667142857;2270
"267";-2,36397760000001;2271
"268";-2,29059302857143;2272
"269";-2,16029098571427;2273
"270";-2,05935705714287;2274
"271";-2,01158482857143;2275
"272";-1,91173574285714;2276
"273";-170,541871314286;2277
"274";44,0686252;2278
"275";36,2236995714286;2279
"276";29,8515952857143;2280
"277";24,6507728428571;2281
"278";20,3970570428571;2282
"279";16,9092419857143;2283
"280";14,0440080142857;2284
"281";11,6954825285714;2285
"282";9,76344631428572;2286
"283";8,17037865714286;2287
"284";6,85781075714287;2288
"285";5,77125358571429;2289
"286";4,86881902857143;2290
"287";-3,29160351428571;2291
"288";-2,52170478571429;2292
"289";-2,04696285714285;2293
"290";-3,56214621428571;2294
"291";-4,79248485714286;2295
"292";-7,62204054285714;2296
"293";-8,24844911428572;2297
"294";-5,83647581428572;2298
