 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;     21.0325089;     26.8336906;     12.5001516;     55.1892662;      6.3237691;      2.0485284;     22.8175659;     48.9772453;      0.6960831;    179.4924774;      0.0000859;     10.1074219;      0.0000014;     29.9126492;      0.0027602;     21.6419525
        2005;           2;     30.2507725;     38.6776581;     16.3032246;     68.1260757;     42.4274254;      4.4172134;     26.9602394;     52.4499855;      3.1852260;    775.2210693;     17.1301823;      4.8808594;      0.4365298;     95.7772675;     33.4262428;     99.1396866
        2005;           3;     46.4855499;     59.6592064;     22.3700256;     85.1517410;     72.1584320;      9.6815910;     33.0835953;     82.4851913;      4.4699392;   1301.8128662;     37.0916710;      4.6347656;      1.4904139;    149.0388184;     67.9300308;    160.3814850
        2005;           4;    119.8357315;    154.1766205;     41.6130371;    155.2053833;    219.5639648;     20.4635372;     42.9916496;    127.5557709;     11.5342550;   3650.7897949;     63.5037880;      4.5292969;      3.3547912;    403.1344910;    205.3305206;    632.2552490
        2005;           5;    172.8803558;    223.0581818;     40.6202049;    157.1547394;    285.3764954;     15.1700163;     25.3304462;    109.9499664;      3.7833047;   4354.4599609;     11.2230806;      5.1015625;      0.2281961;    570.4789429;    155.2644043;   1302.9383545
        2005;           6;    306.6058960;    397.4062195;     62.6600037;    253.4274292;    767.4362183;     29.1938972;     36.8964539;    159.0479584;     35.7451859;  11553.5449219;    167.3605957;      4.0546875;     48.4600372;   1058.5238037;    867.0671387;   2652.6550293
        2005;           7;    360.7476501;    469.6069031;     49.3628082;    216.2661896;    861.1917114;     12.2769423;     16.3059559;    141.4062500;      0.0000000;  10398.1904297;     66.7142715;      4.1757812;     11.8546133;   1002.6768799;    730.3549194;   4685.1679688
        2005;           8;    375.4184570;    491.3023071;     50.3638649;    233.6953735;    887.3521729;      6.2410750;     17.0709152;    141.7968750;      0.0000000;   9358.3710938;     35.8663750;      4.4453125;      2.4342618;   1002.6251831;    557.1033936;   6709.3769531
        2005;           9;    404.7452087;    532.9335938;     62.6490936;    301.1284790;   1016.2086792;      4.6199403;     26.0659485;    203.9647064;      0.0000000;  10549.9248047;     73.0676041;      4.2929688;      8.3299627;   1066.5806885;    691.7401123;   8332.2763672
        2005;          10;    269.7605896;    357.8289490;     46.5682716;    225.3269501;    874.8998413;      9.8716745;     24.3253078;    181.9558868;     17.1889629;   9972.5849609;    154.2415009;      3.8867188;     90.9552612;    848.1041870;    813.9934082;   5040.5371094
        2005;          11;     39.2635994;     52.6103859;     17.1528244;     65.6710968;     90.1251450;      4.8252878;     23.3007927;     71.2555847;      0.7113537;   1061.8881836;     42.0542068;      4.4277344;      3.0181785;    113.0317154;     63.9496536;    395.0103455
        2005;          12;     18.8945560;     25.4037189;     11.3761244;     40.8955269;     22.2398853;      3.9060476;     21.4082050;     58.1901588;      0.7949627;    325.5819397;     16.7383003;      4.7910156;      0.4895014;     39.1735535;     15.0900993;     92.1231995
        2006;           1;     13.6645947;     18.4388313;      9.7884607;     33.4344063;      9.1327333;      4.4470501;     22.1069565;     48.6023293;      0.7913283;    214.1755676;     15.4958277;      4.8378906;      0.4201459;     26.1328812;      9.5630465;     38.3314552
