"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",12771.2578125
"2","H1","Sedimentary","Low","DW_Brk",55514.2382812
"3","H1","Sedimentary","Low","DW_Brh",16268.1601562
"4","H1","Sedimentary","Low","DW_Bol",430602.6875
"5","H2","Sedimentary","Low","DW_F",12751.1582031
"6","H2","Sedimentary","Low","DW_Brk",57500.0820312
"7","H2","Sedimentary","Low","DW_Brh",16970.0917969
"8","H2","Sedimentary","Low","DW_Bol",435917.5
"9","H3","Sedimentary","Low","DW_F",12732.8417969
"10","H3","Sedimentary","Low","DW_Brk",57113.578125
"11","H3","Sedimentary","Low","DW_Brh",16816.9140625
"12","H3","Sedimentary","Low","DW_Bol",432915.96875
"13","H4","Sedimentary","Low","DW_F",12658.7011719
"14","H4","Sedimentary","Low","DW_Brk",53422.1640625
"15","H4","Sedimentary","Low","DW_Brh",15878.9111328
"16","H4","Sedimentary","Low","DW_Bol",404893.78125
"17","H5","Sedimentary","Low","DW_F",12483.8037109
"18","H5","Sedimentary","Low","DW_Brk",48184.3515625
"19","H5","Sedimentary","Low","DW_Brh",14591.7822266
"20","H5","Sedimentary","Low","DW_Bol",364621.1875
"21","H6","Sedimentary","Low","DW_F",7532.0600586
"22","H6","Sedimentary","Low","DW_Brk",9134.9941406
"23","H6","Sedimentary","Low","DW_Brh",4725.7670898
"24","H6","Sedimentary","Low","DW_Bol",61809.8085938
"25","H7","Sedimentary","Low","DW_F",5381.387207
"26","H7","Sedimentary","Low","DW_Brk",1558.71521
"27","H7","Sedimentary","Low","DW_Brh",958.3867798
"28","H7","Sedimentary","Low","DW_Bol",14041.0664062
"29","H1","Sedimentary","High","DW_F",12468.7900391
"30","H1","Sedimentary","High","DW_Brk",44726.046875
"31","H1","Sedimentary","High","DW_Brh",14839.4609375
"32","H1","Sedimentary","High","DW_Bol",334657.15625
"33","H2","Sedimentary","High","DW_F",12487.21875
"34","H2","Sedimentary","High","DW_Brk",18862.2519531
"35","H2","Sedimentary","High","DW_Brh",5677.9150391
"36","H2","Sedimentary","High","DW_Bol",147924.21875
"37","H3","Sedimentary","High","DW_F",12499.2050781
"38","H3","Sedimentary","High","DW_Brk",19285.7578125
"39","H3","Sedimentary","High","DW_Brh",5646.3774414
"40","H3","Sedimentary","High","DW_Bol",153267.90625
"41","H4","Sedimentary","High","DW_F",12505.2685547
"42","H4","Sedimentary","High","DW_Brk",19996.7070312
"43","H4","Sedimentary","High","DW_Brh",5793.340332
"44","H4","Sedimentary","High","DW_Bol",160638.21875
"45","H5","Sedimentary","High","DW_F",12527.0263672
"46","H5","Sedimentary","High","DW_Brk",20491.0078125
"47","H5","Sedimentary","High","DW_Brh",5880.3881836
"48","H5","Sedimentary","High","DW_Bol",166008.75
"49","H6","Sedimentary","High","DW_F",12528.7109375
"50","H6","Sedimentary","High","DW_Brk",20164.8984375
"51","H6","Sedimentary","High","DW_Brh",5832.7841797
"52","H6","Sedimentary","High","DW_Bol",166217.328125
"53","H7","Sedimentary","High","DW_F",9711.4824219
"54","H7","Sedimentary","High","DW_Brk",4111.0366211
"55","H7","Sedimentary","High","DW_Brh",3507.1286621
"56","H7","Sedimentary","High","DW_Bol",42662.75
"57","H1","Basalt","High","DW_F",8041.2451172
"58","H1","Basalt","High","DW_Brk",22319.1679688
"59","H1","Basalt","High","DW_Brh",10245.5585938
"60","H1","Basalt","High","DW_Bol",160439.859375
"61","H2","Basalt","High","DW_F",7204.8408203
"62","H2","Basalt","High","DW_Brk",3590.2319336
"63","H2","Basalt","High","DW_Brh",2384.9440918
"64","H2","Basalt","High","DW_Bol",29424.7363281
"65","H3","Basalt","High","DW_F",7203.4467773
"66","H3","Basalt","High","DW_Brk",3143.894043
"67","H3","Basalt","High","DW_Brh",2076.916748
"68","H3","Basalt","High","DW_Bol",26370.7402344
"69","H4","Basalt","High","DW_F",7207.9296875
"70","H4","Basalt","High","DW_Brk",3143.9736328
"71","H4","Basalt","High","DW_Brh",2084.1977539
"72","H4","Basalt","High","DW_Bol",26442.125
"73","H5","Basalt","High","DW_F",7227.1005859
"74","H5","Basalt","High","DW_Brk",3157.1987305
"75","H5","Basalt","High","DW_Brh",2105.2021484
"76","H5","Basalt","High","DW_Bol",26605.4414062
"77","H6","Basalt","High","DW_F",7234.1962891
"78","H6","Basalt","High","DW_Brk",3169.003418
"79","H6","Basalt","High","DW_Brh",2123.128418
"80","H6","Basalt","High","DW_Bol",26733.015625
"81","H7","Basalt","High","DW_F",4424.7832031
"82","H7","Basalt","High","DW_Brk",1997.4873047
"83","H7","Basalt","High","DW_Brh",1913.3660889
"84","H7","Basalt","High","DW_Bol",17238.265625
"85","H1","Basalt","Low","DW_F",12755.2207031
"86","H1","Basalt","Low","DW_Brk",53812.8984375
"87","H1","Basalt","Low","DW_Brh",15949.5292969
"88","H1","Basalt","Low","DW_Bol",416848.8125
"89","H2","Basalt","Low","DW_F",12754.6669922
