"";"YEAR";"Ca_WET";"Mg_WET";"K_WET";"X.2";"X.3";"N_WET";"S_WET";"X.6";"X.7";"X.8";"Dry.Deposition.kg.ha.yr";"X.9";"X.10";"X.11";"X.12";"X.13";"X.14";"X.15";"X.16";"X.17";"Total.Deposition.kg.ha.yr";"X.18";"X.19";"X.20";"X.21";"X.22";"X.23";"X.24";"X.25";"X.26";"Throughfall.kg.ha.yr";"X.27";"X.28";"X.29";"X.30";"X.31";"X.32";"X.33";"X.34";"X.35";"Ca_THRU";"Mg_THRU";"K_THRU";"X.38";"X.39";"N_THRU";"S_THRU";"X.42";"X.43";"X.44";"Litterflow.flux.kg.ha.yr";"X.45";"X.46";"X.47";"X.48";"X.49";"X.50";"X.51";"X.52";"X.53";"Leaching.flux.kg.ha.yr";"X.54";"X.55";"X.56";"X.57";"X.58";"X.59";"X.60";"X.61";"X.62";"Ca_WTH";"Mg_WTH";"K_WTH";"X.65";"X.66";"X.67";"P_WTH"
"1";2005;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;8,9656467;1,9908495;6,0776324;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;0,7629756;0,2705492;5,8511252;0;0;0;0;0;0;0;23,0354099;5,8235707;4,7966175;25,7502689;1,7749114;27,5251827;5,7489223;16,0885429;29,2160072;0;2,0127444;1,8946127;0,7169289;7,5248084;0,2361616;7,7609706;8,5592947;73,0111847;70,7119064;1,2907727;18,2078724;1,0440434;18,9453335;0,2966156;2,387768;8,0752048;5,7419834
"2";2006;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;12,5050726;2,0574088;6,8805385;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0,8801745;0,3121077;6,7499027;0;0;0;0;0;0;0;21,7056084;4,5962882;4,5985017;18,2381248;1,6851454;19,9232674;4,5809054;16,1259956;28,8638268;0;0,4940194;1,0661141;0,0918361;2,5224457;0,0898595;2,6123054;8,1270981;41,9272079;43,4358177;1,0440226;17,783886;0,999487;18,9898148;0,3180302;2,5390079;7,7979155;5,4296865
"3";2007;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;9,7456512;2,1124666;6,982358;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;0,9186831;0,3257627;6,8656926;0;0;0;0;0;0;0;18,8183174;4,6581421;5,5021381;19,073576;1,6939267;20,7674999;4,6372676;16,3634109;30,0525627;0;0,4070491;1,486696;0,1081326;2,6034043;0,1042463;2,7076504;7,8058543;31,2716541;30,7019691;1,5658593;17,7159023;0,9963793;18,9423275;0,3187571;2,5400481;7,7816114;5,3904181
"4";2008;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,1595297;2,0595996;7,1831298;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;0,977645;0,3466704;7,0665412;0;0;0;0;0;0;0;18,080616;4,5963221;6,2220035;20,017292;1,6992528;21,716547;4,458312;16,0885429;29,2160072;0;0,4260593;1,7974;0,1273361;2,9198372;0,1159644;3,0358019;7,5029764;22,2244129;19,0453854;1,9580096;17,6744633;0,9951798;18,9068775;0,3167277;2,5298681;7,7652302;5,3700399
"5";2009;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;12,6572971;2,111387;7,4325871;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,0527786;0,3733127;7,3857269;0;0;0;0;0;0;0;21,4099426;4,6277089;6,7208052;19,8011055;1,7019477;21,5030556;4,4071298;16,1259956;28,8638268;0;0,4788327;3,2755315;0,1926478;2,8512294;0,1688734;3,020103;7,1440229;19,856369;30,8086395;4,5135536;17,6122684;0,9921303;18,8896389;0,3098499;2,4893408;7,7102327;5,3279686
"6";2010;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;9,9377375;2,1805801;7,7907586;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,1311287;0,4010955;7,7661815;0;0;0;0;0;0;0;18,5255909;4,6728692;7,1609893;20,3023167;1,704798;22,0071125;4,4803219;16,3634109;30,0525627;0;0,16155;4,1278172;0,2025444;3,0334322;0,1951462;3,2285786;6,9170523;17,8109074;37,2154274;6,5181956;17,5544415;0,9956537;18,8425941;0,309249;2,4837728;7,7383509;5,2884917
"7";2011;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,3694544;2,1340384;8,1859894;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;1,207058;0,4280199;8,1611795;0;0;0;0;0;0;0;17,8023071;4,6014695;7,5414491;21,0039921;1,7058833;22,7098751;4,3172603;16,0885429;29,2160072;0;0,0469075;3,1400695;0,1590902;3,2854154;0,1825323;3,4679475;6,7250152;15,6203003;23,4384098;4,6548681;17,5112362;0,9937834;18,8107319;0,309741;2,4906459;7,726759;5,2680173
"8";2012;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;12,866209;2,185467;8,5091705;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,2807599;0,4541544;8,5592785;0;0;0;0;0;0;0;21,1522903;4,6272779;7,782649;20,6044979;1,7054271;22,3099251;4,2813396;16,1259956;28,8638268;0;0,0552459;3,4311657;0,1562649;3,1847126;0,1946307;3,3793437;6,4891319;16,8278866;30,2704697;5,5385799;17,4502029;0,9850093;18,7992325;0,3074675;2,4770999;7,6531677;5,2337813
"9";2013;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;10,1404886;2,2524753;8,8810415;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,352115;0,4794569;8,9536657;0;0;0;0;0;0;0;18,2876339;4,6682458;8,0234118;20,9482384;1,7055562;22,6537952;4,3680444;16,3634109;30,0525627;0;0,0648435;3,4623804;0,1390616;3,3075428;0,2034093;3,5109522;6,3044219;16,7359352;31,7549477;5,9190612;17,356266;0,9801818;18,7541065;0,3075555;2,4785814;7,6194873;5,1773314
"10";2014;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,5654182;2,203527;9,2714911;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;1,4206927;0,5037744;9,3437433;0;0;0;0;0;0;0;17,5807819;4,5930533;8,2450628;21,5102139;1,7043604;23,2145729;4,2165265;16,0885429;29,2160072;0;0,059255;2,7981176;0,0996209;3,4879074;0,1892394;3,6771467;6,1750469;15,5577106;23,1399345;4,6845179;17,2970161;0,9740971;18,7254353;0,3087511;2,490818;7,5775461;5,1492357
"11";2015;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;13,0558462;2,2527118;9,5770845;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,4872472;0,5273744;9,7218924;0;0;0;0;0;0;0;20,9458237;4,61587;8,3588266;20,9972343;1,7019712;22,6992054;4,1907377;16,1259956;28,8638268;0;0,0841623;3,0585313;0,0875242;3,2851851;0,197062;3,4822474;5,9228444;16,7152195;30,2704697;5,6052923;17,2112598;0,9617363;18,7170925;0,3067637;2,4812651;7,4763865;5,0991645
"12";2016;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;10,3211784;2,3165481;9,91714;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,5488281;0,5492109;10,0814857;0;0;0;0;0;0;0;18,0948715;4,654479;8,4969568;21,2400951;1,7003746;22,9404697;4,2863317;16,3634109;30,0525627;0;0,1159838;3,104763;0,0677944;3,4183168;0,2047455;3,6230624;5,9437723;16,6719913;31,7549477;6,0651464;17,1184845;0,9557478;18,6700706;0,3062993;2,4795856;7,4329123;5,0471082
"13";2017;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,7385311;2,2649119;10,2803259;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;1,6091688;0,5706075;10,4420519;0;0;0;0;0;0;0;17,3993187;4,5770636;8,6343384;21,7110176;1,6976848;23,4087009;4,1423965;16,0885429;29,2160072;0;0,1277569;2,5084341;0,0385339;3,6543269;0,1908122;3,8451395;5,8453317;15,5425682;23,1399345;4,814805;17,0788517;0,9501366;18,6404972;0,3048005;2,4758203;7,3812089;5,0366154
"14";2018;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;13,2193861;2,3107026;10,5569124;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,6652701;0,5905008;10,7883673;0;0;0;0;0;0;0;20,7738323;4,5978537;8,6797457;21,1242046;1,6939774;22,818182;4,1231165;16,1259956;28,8638268;0;0,2159511;2,7840903;0,0225879;3,5823638;0,2024112;3,7847753;5,7645016;16,7450981;30,2704697;5,8650327;17,0296116;0,9405623;18,6307907;0,3015146;2,4559028;7,297955;5,0138898
"15";2019;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;10,4722967;2,3701334;10,8505335;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,7127492;0,6073366;11,0932093;0;0;0;0;0;0;0;17,9296322;4,6342306;8,7618904;21,2944889;1,6911284;22,9856186;4,2240715;16,3634109;30,0525627;0;0,3099439;2,8153973;0,0074196;3,7874193;0,2124729;3,9998915;5,6649561;16,6846523;31,7549477;6,2835102;16,9155769;0,9308068;18,5820789;0,2982677;2,4413643;7,2118382;4,9523396
"16";2020;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,8524885;2,3053207;11,0378389;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;1,7316796;0,6140491;11,2549314;0;0;0;0;0;0;0;17,2310677;4,5520163;8,8477697;21,6778316;1,6870828;23,3649139;4,0830865;16,0885429;29,2160072;0;0,3185268;2,3059833;0,0025155;4,199986;0,1984975;4,3984833;5,6296906;15,597724;23,1399345;5,0921826;16,9829559;0,9350969;18,546854;0,293658;2,4097114;7,2275414;5,0209789
"17";2021;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;13,303688;2,3405957;11,1502333;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,7552059;0,6223913;11,424922;0;0;0;0;0;0;0;20,5890751;4,5641541;8,8409071;20,9869251;1,6817656;22,6686916;4,0636978;16,1259956;28,8638268;0;0,503864;2,5687413;0,0027688;4,2818027;0,213015;4,4948177;5,5439281;16,7704315;30,2704697;6,2282109;16,9548359;0,9255952;18,5308151;0,2859856;2,3629987;7,1229925;5,0228047
"18";2022;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;10,5573969;2,4003091;11,356266;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,8042425;0,6397796;11,6390753;0;0;0;0;0;0;0;17,7294235;4,5926476;8,8700886;21,0590763;1,6774367;22,7365112;4,1643548;16,3634109;30,0525627;0;0,6823406;2,566772;0,0027822;4,1955166;0,2195835;4,4151006;5,4805555;16,5492916;31,7549477;6,5341077;16,723959;0,9042352;18,4909611;0,2878661;2,3878486;6,9629564;4,8760843
"19";2023;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;0;0;0;0;0;0;0;0;0;0;8,2778721;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0;9,9601517;2,343498;11,587348;2,5752928;0,2602989;2,8355916;2,2833993;16,0885429;29,2160072;0;1,848696;0,6555428;11,8559885;0;0;0;0;0;0;0;17,0302963;4,5077205;8,912014;21,3872776;1,6724911;23,0597668;4,0255971;16,0885429;29,2160072;0;0,6441766;1,7835776;0,0023862;4,1641855;0,1861791;4,3503647;3,6076257;15,2875948;23,1399345;4,2762537;16,6566849;0,8959948;18,4664192;0,2911659;2,4127593;6,9141493;4,8436594
"20";2024;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;0;0;0;0;0;0;0;0;0;0;11,7005682;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;13,4300337;2,3853977;11,7550249;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0;1,8929335;0,6712294;12,0844145;0;0;0;0;0;0;0;20,4040451;4,5227175;8,8730259;20,6965065;1,6668676;22,3633728;4,0112815;16,1259956;28,8638268;0;1,1185046;2,2305453;0,0027417;3,9170642;0,2018663;4,1189308;5,3398557;16,5819016;30,2704697;5,9132833;16,5556431;0,8792219;18,4601784;0,2881251;2,3991973;6,7715969;4,7884555
"21";2025;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;0;0;0;0;0;0;0;0;0;0;8,9104061;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0;10,1777563;2,2656903;8,7890177;2,0269656;0,2356215;2,2625871;2,4048183;16,3634109;30,0525627;0;1,4355236;0,5090331;9,1274471;0;0;0;0;0;0;0;17,4488468;4,518342;8,765358;20,4979172;1,6535934;22,1515102;4,0954752;16,3634109;30,0525627;0;1,7052938;2,3932099;0,0029255;5,5298162;0,224398;5,7542143;5,3111277;16,9629974;31,7549477;6,7921109;16,3819771;0,8641347;18,413353;0,2873822;2,404778;6,6525507;4,6856036
