"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;46,1898689;22,4733505;4,7953949;21,380579;6,3998308;4,1172976;26,8229275;7,8727846;2,5378816;9,6599989;1,5172249;2,2344396;32,9827385;14,7364216;4,069118;3,8314703;3,4687662;2,323359;24,0625286;-0,0185164;-0,0112291;-0,017545;0,9645163;4,2359066;57,0452671;6,5592656;4,4332825
"2";2006;46,1582985;22,5657368;4,7850633;21,6848011;6,4782281;4,0735784;27,4480991;8,0562763;2,5970323;9,8851461;1,5525872;2,2865186;23,9478035;10,0050364;2,8241549;3,8875616;2,2983017;1,7452099;23,3955059;-0,0316757;-0,0192992;-0,0299265;1,0668768;4,0282221;47,3433094;5,773432;3,3651785
"3";2007;46,169796;22,0226498;4,7993183;22,1970615;6,076179;4,0596056;27,2650547;8,0025492;2,5797133;9,6382084;1,5422335;2,27127;24,9352188;9,9309406;2,8493128;4,8105454;2,2387609;1,858;21,4133968;-0,0352344;-0,0217462;-0,0336588;0,9519479;3,9667628;46,3486156;5,8247628;3,1907088
"4";2008;46,2750893;20,4170284;4,8171754;22,7128086;5,7530203;4,0542622;26,7496471;7,8512726;2,5309474;9,250576;1,5130798;2,2283349;25,7177372;9,8520699;2,8654699;5,5470171;2,1851859;1,9490759;20,0138264;-0,0358782;-0,0226188;-0,0350703;1,1419004;3,9410233;45,7315636;5,8900992;3,3270863
"5";2009;46,2011032;16,0254021;4,82201;23,3847122;5,5255494;4,0338268;26,617403;7,812459;2,5184357;9,071825;1,5055993;2,2173185;26,316515;9,7599001;2,8718641;6,1306829;2,1341009;2,0214365;19,872366;-0,0353809;-0,0230198;-0,0357704;1,2479672;3,9071991;46,188881;5,9286356;3,3820681
"6";2010;46,0377197;15,6886444;4,8206277;23,8834705;5,512496;4,0030422;26,7031879;7,8376355;2,5265508;9,0258799;1,5104511;2,2244647;26,7999382;9,6687756;2,8738916;6,6095324;2,0875585;2,0812593;19,2680588;-0,0349758;-0,0232686;-0,0361967;1,2876239;3,8693995;46,067997;5,9506588;3,3751824
"7";2011;45,7863197;15,6796637;4,572227;24,0069771;5,4734011;3,9722562;26,8301525;7,8748999;2,538564;9,0277796;1,5176328;2,2350416;27,2004414;9,5833502;2,8737073;7,0115213;2,0458505;2,131654;18,3340092;-0,0351031;-0,0234604;-0,0365126;1,3392656;3,8316901;45,5344506;5,9633441;3,3851161
"8";2012;45,5023613;15,4047413;4,5172844;23,6349754;5,4093399;3,9327667;26,8660545;7,8854375;2,541961;8,990653;1,5196638;2,2380316;27,5254822;9,5016489;2,8712378;7,3481941;2,0080781;2,1735916;18,3434258;-0,0352739;-0,0236244;-0,0365615;1,3842692;3,7840655;45,868908;5,9576571;3,3923473
"9";2013;45,3755035;15,2717943;4,4551296;23,0297489;5,2604747;3,9145718;26,8592339;7,8834381;2,541316;8,7844257;1,5192785;2,2374637;27,7783642;9,4210787;2,8661261;7,6165128;1,9732987;2,2076464;17,9879074;-0,0354139;-0,0237692;-0,0365393;1,3641206;3,7585917;45,7662716;5,9662381;3,3374193
"10";2014;45,2622795;15,155056;4,3814898;22,5770912;5,0097461;3,8963771;26,7733517;7,8560915;2,533191;8,614892;1,5144207;2,2303104;27,964241;9,3400707;2,8582866;7,8116498;1,9408348;2,2345026;17,3603535;-0,0355846;-0,0238981;-0,0360567;1,3114076;3,7344623;45,3245945;5,9689649;3,2522424
"11";2015;45,2446365;14,8195143;4,1326241;19,7079868;4,3989844;3,5476153;26,3143253;7,6539798;2,4897599;8,3489618;1,4884565;2,1920722;28,0620613;9,2452459;2,8452382;7,9463711;1,9086677;2,2526271;17,6054707;-0,035616;-0,0240115;-0,0345024;1,166095;3,3857179;45,667532;5,638345;3,0747627
"12";2016;35,3230476;14,9450636;3,1338317;17,5318432;2,7332304;2,642761;25,0968533;7,3122244;2,3745673;7,7922955;1,4195904;2,0906527;28,0136166;9,1175232;2,8210518;8,0006657;1,8727934;2,2573593;9,7430964;-0,0357945;-0,0241053;-0,0326723;0,886016;2,6749382;37,756713;4,9322975;2,7588094
"13";2017;28,1562214;15,3532991;3,1628356;17,384531;2,3806963;2,3722656;24,2672405;7,0841885;2,296073;7,3923078;1,3726642;2,0215433;27,789156;8,9546947;2,782553;7,9693141;1,8309184;2,2463827;4,9805484;-0,0363501;-0,02417;-0,0318338;0,8601807;2,5385761;32,7697044;4,7849588;2,6910991
"14";2018;27,9511356;14,7912893;3,1191626;17,2547054;2,2236936;2,339129;23,8411579;6,9696717;2,2557588;7,1597781;1,3485626;1,9860489;27,486763;8,7825108;2,7387097;7,8934331;1,788067;2,2280061;4,1951056;-0,0367103;-0,0242113;-0,0316317;0,8391998;2,4947767;31,6818686;4,7227828;2,6272668
"15";2019;27,5328636;14,3827095;3,0806966;17,1842861;2,1114063;2,302134;23,5049591;6,8784513;2,2239492;6,9852853;1,3295457;1,9580424;27,1557674;8,6130219;2,6939244;7,7965913;1,7465794;2,2064569;3,9284153;-0,036793;-0,0242386;-0,0316008;0,8112889;2,4574816;31,0841827;4,6639385;2,5578683
"16";2020;27,500351;11,8534641;3,0693524;17,2572861;2,0659556;2,2912412;23,3017693;6,8241053;2,2047236;6,8716378;1,3180524;1,9411159;26,8169193;8,4504519;2,6499305;7,6905785;1,7072408;2,1835673;3,7126858;-0,0373175;-0,0242576;-0,0316112;0,807879;2,4430561;30,5296051;4,6266234;2,5151198
"17";2021;27,2233772;9,958354;3,0539052;17,3100605;2,0183263;2,2686937;23,0798626;6,7628365;2,183728;6,7674861;1,3055006;1,9226303;26,482996;8,2970705;2,6077387;7,582736;1,6704419;2,1604893;3,8405879;-0,0380996;-0,0242721;-0,0316306;0,7989405;2,419523;30,3235839;4,5800123;2,4693824
"18";2022;26,7624817;9,8461323;3,0330837;17,3520489;1,9667672;2,2390559;22,9796753;6,7362037;2,1742492;6,7097483;1,2998335;1,9142845;26,160656;8,1536474;2,567812;7,4772673;1,6362717;2,1378548;3,8894103;-0,0386025;-0,024284;-0,03165;0,7810872;2,3906069;30,0500663;4,5284617;2,4173589
"19";2023;26,6181087;9,8065243;3,0257223;17,4571152;1,9422446;2,2246006;22,8751926;6,7075911;2,1643639;6,6582642;1,2939239;1,9055806;25,8580151;8,0215979;2,5307693;7,3779049;1,6049414;2,1164048;3,7664511;-0,0390291;-0,024295;-0,031669;0,7759508;2,3730533;29,6244662;4,4894581;2,3808922
"20";2024;26,1183376;9,7045765;2,9986608;17,4569912;1,8832545;2,1847768;22,7471695;6,6715446;2,1522503;6,6054387;1,2866824;1,8949159;25,5722485;7,8992991;2,4962177;7,2845917;1,576077;2,0959599;3,8609581;-0,0393054;-0,024306;-0,0316887;0,764248;2,3339584;29,4332066;4,4299183;2,340325
"21";2025;20,999155;9,1924772;2,8324108;14,9430437;1,7789079;2,0636258;13,0186853;3,8187578;1,2317784;3,7753065;0,7363954;1,0845002;24,9742489;7,6891418;2,4327767;7,1022778;1,5308795;2,0491543;3,1537929;-0,0395088;-0,0243092;-0,0316956;0,7550129;2,2580478;28,1280418;4,3072021;2,2858924
"22";2026;0;0;0;0;0;0;0;0;0;0;0;0;22,2180061;6,848906;2,1656506;6,296505;1,3647795;1,822253;2,303364;-0,0395088;-0,0241427;-0,0349708;0,7011569;1,0483845;24,5213701;2,8706375;2,0659364
"23";2027;0;0;0;0;0;0;0;0;0;0;0;0;19,044138;5,8903646;1,8599927;5,372684;1,1760857;1,5602896;2,1625051;-0,0391087;-0,0237688;-0,0371452;0,6996887;1,0298985;21,2066431;2,5901881;1,8757744
"24";2028;0,6724599;0,3641226;0,0570797;0,3005336;0,2825966;0,0478514;0;0;0;0;0;0;16,33395;5,070487;1,5987331;4,5855169;1,0145255;1,336712;2,4438889;-0,0385068;-0,0233667;-0,0370921;0,6986795;1,0297842;18,7778389;2,3664962;1,713205
"25";2029;0,6724599;0,3720838;0,0599027;0,3680865;0,2580625;0,0478514;0;0;0;0;0;0;14,0189953;4,3688989;1,375335;3,9147122;0,8761229;1,1458457;2,7998092;-0,0379148;-0,0229973;-0,0366814;0,6976465;1,034034;16,8188045;2,1798797;1,5737694
