"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"11";2015;200,3468359;23,0681292;11,70639;20,324081;5,9469319;7,2726949;197,476672;0,0025669;0,0026409;0,0026176;2,3995157;5,3844148;50,0408032;0,0025669;0,0026409;0,0026176;0,0550408;0,4863981;127,1200355;0,0889586;0,0993106;0,085158;0,0912148;0,9355123;147,8732776;0,0914335;0,1014336;0,0908628;0,1424166;1,3926008;0;37,898486136;3,63017871478;9,2101611205;7,914037543788;2,821742518915;2,64662763568
"12";2016;200,0009711;22,7494474;11,6068797;20,4629503;5,8351565;7,2879738;197,4591665;0,0028413;0,0029264;0,0028881;2,3917994;5,3673766;50,1375738;0,0028413;0,0029264;0,0028881;0,0550834;0,4873636;134,0322178;0,0900398;0,0996233;0,0806407;0,0962561;1,1961233;157,1499855;0,0921533;0,1021045;0,0864524;0,1475171;1,5598075;0;36,879908772;3,54892263287;9,082122869164;7,970204596746;2,79754992954;2,60670235588
"13";2017;198,3984682;22,3431677;11,4484784;20,3827671;5,7046847;7,252534;197,5016034;0,0031177;0,0032134;0,0031531;2,3858237;5,3523121;50,2387297;0,0031177;0,0032134;0,0031531;0,0551282;0,4883728;135,9210173;0,09207;0,0998066;0,0808054;0,0964374;1,2344989;167,1164035;0,0938162;0,1026581;0,0845728;0,1503734;1,6731647;0;36,397067602;3,52139652784;8,918599363704;7,938893784504;2,75907569786;2,5628991626
"14";2018;196,2395632;21,9135444;11,2680917;20,1886859;5,5711704;7,1932032;197,5787239;0,0033965;0,0035013;0,0034162;2,3800247;5,3376105;50,3438122;0,0033965;0,0035013;0,0034162;0,0551748;0,4894214;136,12555;0,0921854;0,0999212;0,080925;0,0965499;1,2462574;173,0623142;0,0949939;0,1031158;0,0843193;0,1513067;1,7142358;0;36,076983194;3,49482708611;8,74648901418;7,863068022558;2,71527483099;2,51819925112
"15";2019;193,8764381;21,4906491;11,0838272;19,9409984;5,4419039;7,1236326;197,6626048;0,0036771;0,0037898;0,0036794;2,3744095;5,3231577;50,4523994;0,0036771;0,0037898;0,0036794;0,0552231;0,4905051;136,2956824;0,0920694;0,100001;0,0810061;0,0966277;1,2539624;174,7232981;0,0954805;0,1035164;0,0845037;0,1516677;1,733472;0;35,73407047;3,46641880063;8,577168435168;7,766298361266;2,6705400688;2,47493123542
"16";2020;191,4572552;21,0850143;10,9028185;19,6698524;5,3193359;7,0497327;197,749375;0,0039583;0,0040785;0,003943;2,3689996;5,3088953;50,5641004;0,0039583;0,0040785;0,003943;0,0552732;0,4916201;136,458698;0,0953228;0,1000609;0,0810715;0,0966856;1,2513981;175,7300711;0,0970703;0,1038831;0,0847934;0,1518503;1,7411455;0;35,384710508;3,43990910003;8,413415093848;7,660363190422;2,626601514105;2,43388295794
"17";2021;189,0732374;20,7023058;10,7292276;19,3940309;5,2046786;6,9752251;197,8377175;0,0042431;0,0043679;0,0042067;2,363603;5,294737;50,67858;0,0042431;0,0043679;0,0042067;0,0553248;0,4927627;136,5396775;0,0962561;0,1001102;0,0811283;0,0967328;1,2563117;175,7140836;0,0993068;0,1042323;0,085107;0,1519746;1,7450244;0;35,051978836;3,41092752888;8,259780942528;7,552603394114;2,584468602165;2,39537854528
"18";2022;186,7719023;20,3444478;10,564952;19,1242739;5,0982129;6,9021478;197,9248987;0,0045299;0,0046574;0,0044709;2,3582968;5,2807213;50,7955115;0,0045299;0,0046574;0,0044709;0,0553772;0,4939298;136,6411602;0,097355;0,1001541;0,0811741;0,0978051;1,2588917;175,3525801;0,1008483;0,1045708;0,0854208;0,1524998;1,7496355;0;34,727789712;3,38315580078;8,116040313252;7,447219192286;2,544601110665;2,35920069476
"19";2023;184,6112419;20,0149657;10,4125461;18,8701423;5,0005957;6,8328948;198,0121015;0,0048179;0,0049472;0,0047353;2,3531366;5,266859;50,9146121;0,0048179;0,0049472;0,0047353;0,0554311;0,4951188;136,7761622;0,0983381;0,1001991;0,0812255;0,0968175;1,2544994;175,6897887;0,1022005;0,1049062;0,0857335;0,1526122;1,750875;0;34,418605368;3,35877528768;7,98371849858;7,347942098058;2,50761835531;2,32656688488
"20";2024;182,5710396;19,7098155;10,270388;18,6314794;4,9106625;6,7668886;198,1000868;0,0051065;0,005237;0,0049997;2,3480147;5,2531248;51,035619;0,0051065;0,005237;0,0049997;0,0554857;0,4963266;136,8494022;0,0987024;0,1002446;0,0812766;0,0968607;1,2619221;175,70368;0,1031789;0,1052415;0,0860486;0,1523968;1,7535714;0;34,135041388;3,33178087561;7,861396166896;7,25471307345;2,47312620622;2,2960783699
