"","Harvest","Rock_Type","N","variable","value"
"101","H5","Basalt","Low","DW_F",12174.6376953
"102","H5","Basalt","Low","DW_Brk",31850.7070312
"103","H5","Basalt","Low","DW_Brh",12843.0126953
"104","H5","Basalt","Low","DW_Bol",225057.953125
"105","H6","Basalt","Low","DW_F",12139.1171875
"106","H6","Basalt","Low","DW_Brk",29960.59375
"107","H6","Basalt","Low","DW_Brh",12280.7900391
"108","H6","Basalt","Low","DW_Bol",212088.5625
"109","H7","Basalt","Low","DW_F",9200.1923828
"110","H7","Basalt","Low","DW_Brk",15850.4970703
"111","H7","Basalt","Low","DW_Brh",9388.2207031
"112","H7","Basalt","Low","DW_Bol",100606.5625
