"","Ca_Tot","Mg_Tot","K_Tot","N_Tot","P_Tot","S_Tot","Ca_Har","Mg_Har","K_Har","N_Har","P_Har","S_Har","Ca_Leach","Mg_Leach","K_Leach","N_Leach","P_Leach","S_Leach","P_OCC","S_OCC","Site","Treatment"
"1",2139.67193969,1621.883683729,1508.693640281,2655.045706389,1252.015773001,1628.216820983,1289.64181259,214.459186329,983.999857981,1920.363619189,197.625961001,844.818650283,850.0301271,1407.4244974,524.6937823,734.6820872,14.5725436,1170.8614714,1039.8172684,-387.4633007,"LNS","80BO"
"2",4394.649325364,3947.015177083,1069.289463019,2827.58770117,1302.185387101,1638.93126856,1204.436016864,199.505329083,856.681799019,1894.59524147,185.475997701,778.54902596,3190.2133085,3747.509848,212.607664,932.9924597,251.0010535,1352.0770648,865.7083359,-491.6948222,"LNB","80BO"
"3",963.277630484,1396.747943419,602.161157295,8610.448823175,1803.025411818,1461.559193003,579.279036684,115.385649419,520.149303295,1277.492231075,106.581442618,461.008905503,383.9985938,1281.362294,82.011854,7332.9565921,27.1988482,1843.8166439,1669.245121,-843.2663564,"HNS","80BO"
"4",1280.578688946,1377.766738515,275.935599879,4848.646691513,1115.414759908,1318.866425333,212.233059746,35.952377315,141.608914779,392.073974813,33.197452608,137.272265533,1068.3456292,1341.8143612,134.3266851,4456.5727167,8.2136375,1579.3469762,1074.0036698,-397.7528164,"HNB","80BO"
