 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit
        2005;           1;      0.8471322;      1.6038344;      3.7149274;     17.3387642;      2.7783568;      0.3485387;      0.5616173;     20.3233414;      0.0000000;      0.0000000;      0.0109905;      7.9589844
        2005;           2;      1.5122002;      2.9814298;     17.5359097;     28.8264294;      3.7610123;      1.9720085;      3.1957357;     35.3415031;      0.0000000;      0.0000000;      0.0019899;      8.7011719
        2005;           3;      1.8468095;      5.0030212;      9.6161680;     45.5334663;      3.6024735;      1.9050264;      5.2560668;     55.4740715;      0.0000000;      0.0000000;      0.0192822;      7.7148438
        2005;           4;      1.6964633;      3.1890380;     21.1215477;     30.5207767;      4.3422980;      2.7137542;      4.7139192;     35.7473145;      0.0000000;      0.0000000;      0.0016180;      8.7910156
        2005;           5;      2.3672247;      3.5131149;     28.9244289;     30.1254616;      5.1367602;      4.7334256;      6.1375370;     34.5973663;      0.0000000;      0.0000000;      0.0010274;      8.9882812
        2005;           6;      0.8089876;      1.7979852;     43.8668251;     18.7631969;      2.9328089;      0.2344384;      3.5366700;     21.3521366;      0.0000000;      0.0000000;      0.0006793;      9.1679688
        2005;           7;      2.4249938;      0.7997441;    600.4771118;      6.3412275;      9.7181215;      4.3101678;      6.8799138;      8.1692076;      0.0000000;      0.0000000;      0.0000723;     10.1406250
        2005;           8;    741.6840210;   2408.3854980; 571085.3750000;  22010.4277344;    553.1550903;     25.3512383;   3808.5441895;  24521.1464844;      0.0000000;      0.0000000;      0.0000016;     11.7949219
        2005;           9;      4.8084750;     18.9606247;     62.3766022;    179.6792145;      0.4504414;      0.1548288;     15.0609198;    203.3683777;      0.0000000;      0.0000000;      0.0004635;      9.3339844
        2005;          10;      1.0847496;      2.0195112;     41.2253838;     21.2894611;      2.1260607;      1.0106592;      2.7738619;     24.5251980;      0.0000000;      0.0000000;      0.0006641;      9.1777344
        2005;          11;      1.5003376;      4.1233311;      4.0552998;     41.7940636;      1.4546560;      0.7638957;      3.6123598;     48.8324928;      0.0000000;      0.0000000;      0.0564876;      7.2480469
        2005;          12;      1.2901235;      4.8773699;      6.2192497;     45.0362244;      1.7288064;      0.2796411;      3.3083498;     53.3926086;      0.0000000;      0.0000000;      0.0106979;      7.9707031
        2006;           1;      3.0120254;      3.8802440;      4.0824752;     36.7559891;      1.1153988;      0.2091232;      2.8536937;     42.9521217;      0.0000000;      0.0000000;      0.0045725;      8.3398438
        2006;           2;      0.8547218;      0.9215328;     17.4785633;      9.2267504;      3.0173092;      1.7528965;      2.0573404;     10.9257650;      0.0000000;      0.0000000;      0.0016924;      8.7714844
        2006;           3;      1.8468095;      3.7522657;      9.7643290;     34.6100311;      2.1103246;      0.6594322;      3.7287803;     40.7108078;      0.0000000;      0.0000000;      0.0038891;      8.4101562
        2006;           4;      2.3750486;      4.6436872;     22.0750999;     40.8126640;      4.1449213;      2.7137542;      5.8322363;     49.0566635;      0.0000000;      0.0000000;      0.0016035;      8.7949219
        2006;           5;      1.1497948;      1.0595108;     28.6957207;     10.1990318;      3.8033886;      2.1788783;      3.4567735;     12.0804062;      0.0000000;      0.0000000;      0.0010650;      8.9726562
        2006;           6;      0.9145077;      0.3479971;     44.6968269;      2.1461174;      2.0688808;      0.3125846;      2.0838468;      2.7833326;      0.0000000;      0.0000000;      0.0006180;      9.2089844
        2006;           7;      2.4249938;      1.9193858;    618.2758179;     15.7262421;     11.0661201;      0.3232626;      8.3975420;     19.2442398;      0.0000000;      0.0000000;      0.0000717;     10.1445312
        2006;           8;      0.0000000;      0.0000000; 587554.7500000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000016;     11.8027344
        2006;           9;      0.6271924;      0.4596515;     60.3320160;      6.0743484;      1.3738462;      0.1548288;      2.3114731;      6.5386696;      0.0000000;      0.0000000;      0.0004614;      9.3359375
        2006;          10;      2.6593859;      8.4819460;     43.7639084;     71.6765442;      1.2213540;      1.7880892;      8.9493542;     87.1435699;      0.0000000;      0.0000000;      0.0007432;      9.1289062
        2006;          11;      1.7191370;      4.0717893;      3.9855499;     40.3228264;      1.6162844;      0.6944506;      4.3556976;     46.3943977;      0.0000000;      0.0000000;      0.2339595;      6.6308594
        2006;          12;      1.4159892;      4.2028399;      6.0833106;     42.3483162;      1.3220284;      0.4893719;      3.1901946;     48.0213356;      0.0000000;      0.0000000;      0.0052095;      8.2832031
        2007;           1;      1.5427769;      3.8689682;     10.1646118;     36.9248505;      1.3088279;      0.7140942;      3.3658838;     44.5093269;      0.0000000;      0.0000000;      0.0038197;      8.4179688
        2007;           2;      1.3343847;      4.5054755;      6.6478972;     43.9768105;      1.7250080;      1.3411549;      4.1754742;     49.5637207;      0.0000000;      0.0000000;      0.0057513;      8.2402344
        2007;           3;      1.8093677;      5.4042149;     16.3710423;     49.4565010;      3.0451596;      2.2754421;      6.6801658;     58.3134155;      0.0000000;      0.0000000;      0.0029827;      8.5253906
        2007;           4;      2.5334115;      5.1119370;     15.0718250;     46.6055794;      3.2103946;      0.7406034;      5.5213604;     54.6026306;      0.0000000;      0.0000000;      0.0026416;      8.5781250
        2007;           5;      2.2604666;      6.1532044;     50.5827866;     54.8565636;      3.6875231;      2.5509453;      7.6646266;     66.0741730;      0.0000000;      0.0000000;      0.0006321;      9.1992188
        2007;           6;      3.0581806;      2.0843658;     69.2674026;     17.0602150;      9.0928698;      3.0801678;      7.8937473;     19.8669949;      0.0000000;      0.0000000;      0.0004698;      9.3281250
        2007;           7;      2.2950077;      0.6549886;    178.5058899;      3.2314804;     11.4679785;      7.5503154;      3.1487658;      4.3406329;      0.0000000;      0.0000000;      0.0001778;      9.7500000
        2007;           8;      0.8459923;      0.7609137;    140.6508484;      5.0277820;      3.9271803;      1.3669648;      3.2568915;      5.3903689;      0.0000000;      0.0000000;      0.0002187;      9.6601562
        2007;           9;      0.9033180;      1.0128846;     52.7204628;     10.0784111;      2.4989898;      0.4816654;      2.6833920;     11.9271469;      0.0000000;      0.0000000;      0.0005376;      9.2695312
        2007;          10;      2.5411308;      5.7683635;     16.0956192;     51.6059990;      1.6211751;      1.4664251;      4.7915826;     63.0859947;      0.0000000;      0.0000000;      0.0020443;      8.6894531
        2007;          11;      0.8994504;      1.4831588;      9.8284903;     16.3520985;      1.8894727;      0.4995866;      2.3186157;     18.9921417;      0.0000000;      0.0000000;      0.0039066;      8.4082031
        2007;          12;      1.8998468;      6.7354631;      5.5952182;     62.9279518;      1.1052005;      0.2110484;      4.4256349;     76.1714096;      0.0000000;      0.0000000;      0.2236708;      6.6503906
        2008;           1;      0.8554528;      1.6195874;      5.1347046;     17.5090675;      2.8056459;      0.3519621;      0.5671335;     20.5229588;      0.0000000;      0.0000000;      0.0066117;      8.1796875
        2008;           2;      1.4998866;      2.9571526;     12.0483036;     28.5917034;      3.7303870;      1.9559506;      3.1697135;     35.0537262;      0.0000000;      0.0000000;      0.0036354;      8.4394531
        2008;           3;      1.8248007;      4.9433990;      8.6221981;     44.9908333;      3.5595419;      1.8823237;      5.1934295;     54.8129768;      0.0000000;      0.0000000;      0.0673170;      7.1718750
        2008;           4;      1.6356374;      3.0746970;      9.6680441;     29.4264698;      4.1866074;      2.6164539;      4.5449042;     34.4656105;      0.0000000;      0.0000000;      0.0067925;      8.1679688
        2008;           5;      2.7958267;      4.1491880;     75.7900848;     35.5798836;      6.0668054;      5.5904441;      7.2487798;     40.8614540;      0.0000000;      0.0000000;      0.0003820;      9.4179688
        2008;           6;      0.7669039;      1.7044538;     23.8627758;     17.7871342;      2.7802436;      0.2222429;      3.3526917;     20.2413960;      0.0000000;      0.0000000;      0.0013949;      8.8554688
        2008;           7;      3.8781385;      1.2789799;   1279.3560791;     10.1411219;     15.5415745;      6.8929777;     11.0026083;     13.0644951;      0.0000000;      0.0000000;      0.0000439;     10.3574219
        2008;           8;      4.6471291;     15.0900879;     40.3725166;    137.9095154;      3.4658735;      0.1588418;     23.8629875;    153.6407928;      0.0000000;      0.0000000;      0.0018024;      8.7441406
        2008;           9;      6.9227409;     27.2975292;    458.1483459;    258.6834106;      0.6484985;      0.2229064;     21.6831398;    292.7886047;      0.0000000;      0.0000000;      0.0000874;     10.0585938
        2008;          10;      1.0194798;      1.8979964;     16.0278530;     20.0084667;      1.9981351;      0.9498475;      2.6069577;     23.0495090;      0.0000000;      0.0000000;      0.0018769;      8.7265625
        2008;          11;      1.5122333;      4.1560235;      6.3409534;     42.1254349;      1.4661894;      0.7699524;      3.6410010;     49.2196655;      0.0000000;      0.0000000;      0.0087773;      8.0566406
        2008;          12;      1.3103230;      4.9537349;      6.2993708;     45.7413597;      1.7558743;      0.2840194;      3.3601487;     54.2285767;      0.0000000;      0.0000000;      0.0106499;      7.9726562
        2009;           1;      3.0347397;      3.9095061;      7.0571470;     37.0331726;      1.1238102;      0.2107002;      2.8752139;     43.2760277;      0.0000000;      0.0000000;      0.0029033;      8.5371094
        2009;           2;      0.8623555;      0.9297630;     11.9937277;      9.3091555;      3.0442569;      1.7685516;      2.0757146;     11.0233431;      0.0000000;      0.0000000;      0.0027632;      8.5585938
        2009;           3;      1.8161955;      3.6900654;      7.5925732;     34.0363121;      2.0753424;      0.6485010;      3.6669691;     40.0359573;      0.0000000;      0.0000000;      0.0059889;      8.2226562
        2009;           4;      2.3441591;      4.5832925;     14.4084816;     40.2818680;      4.0910134;      2.6784599;      5.7563839;     48.4186478;      0.0000000;      0.0000000;      0.0032342;      8.4902344
        2009;           5;      1.1150424;      1.0274874;     12.4703293;      9.8907690;      3.6884322;      2.1130223;      3.3522935;     11.7152796;      0.0000000;      0.0000000;      0.0034912;      8.4570312
        2009;           6;      1.1049141;      0.4204524;     75.8674774;      2.5929527;      2.4996347;      0.3776667;      2.5177171;      3.3628402;      0.0000000;      0.0000000;      0.0003752;      9.4257812
        2009;           7;      1.8141270;      1.4358839;    148.5202637;     11.7647305;      8.2785139;      0.2418313;      6.2821631;     14.3965302;      0.0000000;      0.0000000;      0.0002217;      9.6542969
        2009;           8;      0.0000000;      0.0000000;    236.7237854;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0001395;      9.8554688
        2009;           9;      0.6832529;      0.5007367;     54.8062401;      6.6172938;      1.4966452;      0.1686680;      2.5180802;      7.1231174;      0.0000000;      0.0000000;      0.0005094;      9.2929688
        2009;          10;      2.5293403;      8.0671740;     12.3679571;     68.1715240;      1.1616291;      1.7006506;      8.5117254;     82.8821945;      0.0000000;      0.0000000;      0.0096466;      8.0156250
