"";"SO4";"PO4";"Cl";"group_id";"Date"
"3054";64,3080292;478,6021118;42,0453987;"1";2259-06-01
"3055";64,4670105;478,6582031;42,4276962;"1";2259-07-01
"3056";64,6046524;478,7324219;43,1409607;"1";2259-08-01
"3057";64,8770676;478,9445801;44,2594147;"1";2259-09-01
"3058";64,9343872;479,1177979;43,8660355;"1";2259-10-01
"3059";64,7529068;479,2752991;46,3663826;"1";2259-11-01
"3060";64,388649;479,4147644;46,4268074;"1";2259-12-01
"3061";64,0318604;479,5569153;44,4389763;"1";2260-01-01
"3062";63,8339157;479,6999817;43,608963;"1";2260-02-01
"3063";63,9200821;479,8501892;43,7001839;"1";2260-03-01
"3064";64,2332535;480,0057983;44,55476;"1";2260-04-01
"3065";64,453392;480,1907654;43,2205162;"1";2260-05-01
"3066";64,6818008;480,3978882;42,0453987;"1";2260-06-01
"3067";64,8433075;480,4570923;42,4276962;"1";2260-07-01
"3068";64,9840775;480,5358887;43,1409607;"1";2260-08-01
"3069";65,2626419;480,7602539;44,2594147;"1";2260-09-01
"3070";65,3186722;480,942688;43,8660355;"1";2260-10-01
"3071";65,1248245;481,1065674;46,3663826;"1";2260-11-01
"3072";64,7469711;481,2519836;46,4268074;"1";2260-12-01
"3073";64,378418;481,4000854;44,4389763;"1";2261-01-01
"3074";64,1729279;481,5491943;43,608963;"1";2261-02-01
"3075";64,2525024;481,7059021;43,7001839;"1";2261-03-01
"3076";64,5622177;481,8684387;44,55476;"1";2261-04-01
"3077";64,7837601;482,0618896;43,2205162;"1";2261-05-01
"3078";65,0151901;482,2779236;42,0453987;"1";2261-06-01
"3079";65,1772385;482,3401794;42,4276962;"1";2261-07-01
"3080";65,3199158;482,4224548;43,1409607;"1";2261-08-01
"3081";65,6019135;482,656189;44,2594147;"1";2261-09-01
"3082";65,6562805;482,8460083;43,8660355;"1";2261-10-01
"3083";65,4509277;483,0158081;46,3663826;"1";2261-11-01
"3084";65,0605927;483,1654968;46,4268074;"1";2261-12-01
"3085";64,6818008;483,3184509;44,4389763;"1";2262-01-01
"3086";64,4695511;483,4723511;43,608963;"1";2262-02-01
"3087";64,5426788;483,6343079;43,7001839;"1";2262-03-01
"3088";64,8492126;483,8027344;44,55476;"1";2262-04-01
"3089";65,0706711;484,0029602;43,2205162;"1";2262-05-01
"3090";65,304039;484,2267151;42,0453987;"1";2262-06-01
"3091";65,4646683;484,290863;42,4276962;"1";2262-07-01
"3092";65,6073227;484,3754883;43,1409607;"1";2262-08-01
"3093";65,8916855;484,6169739;44,2594147;"1";2262-09-01
"3094";65,9440689;484,8125;43,8660355;"1";2262-10-01
"3095";65,7288132;484,986969;46,3663826;"1";2262-11-01
"3096";65,3274384;485,1403503;46,4268074;"1";2262-12-01
"3097";64,9394379;485,296936;44,4389763;"1";2263-01-01
"3098";64,7207489;485,4551392;43,608963;"1";2263-02-01
"3099";64,7884064;485,6212769;43,7001839;"1";2263-03-01
"3100";65,0920944;485,7938538;44,55476;"1";2263-04-01
"3101";65,313652;485,9995728;43,2205162;"1";2263-05-01
"3102";65,5487213;486,2289734;42,0453987;"1";2263-06-01
"3103";65,7089386;486,2949219;42,4276962;"1";2263-07-01
"3104";65,8520584;486,381958;43,1409607;"1";2263-08-01
"3105";66,1378098;486,629425;44,2594147;"1";2263-09-01
"3106";66,1882782;486,8294678;43,8660355;"1";2263-10-01
"3107";65,9642563;487,0075073;46,3663826;"1";2263-11-01
"3108";65,5532913;487,1639099;46,4268074;"1";2263-12-01
