"";"YEAR";"Month";"C";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";"        2005";"           1";5933,7348633;155,4024506;125,5582733;23,4395313;22,2901077;19,0057716;13,6340237;2005-01-01
"2";"        2005";"           2";5931,7680664;155,403595;125,3822556;23,4092045;22,2843704;18,994751;13,6207733;2005-02-01
"3";"        2005";"           3";5929,0883789;155,3948669;125,1810226;23,3742027;22,2744427;18,9816971;13,6048517;2005-03-01
"4";"        2005";"           4";5925,0209961;155,3559265;124,9704132;23,3365669;22,2539673;18,9667816;13,5858727;2005-04-01
"5";"        2005";"           5";5921,7900391;155,3475647;124,7205734;23,2932205;22,2427578;18,9505558;13,5663605;2005-05-01
"6";"        2005";"           6";5919,4033203;155,3490906;124,5080261;23,2566471;22,2362881;18,9370537;13,5504675;2005-06-01
"7";"        2005";"           7";5922,1455078;155,4155273;124,5021667;23,2579021;22,2588692;18,9393673;13,5552597;2005-07-01
"8";"        2005";"           8";5927,3505859;155,5297089;124,534729;23,2674007;22,2990837;18,9460621;13,5667124;2005-08-01
"9";"        2005";"           9";5931,6206055;155,6706543;124,3892288;23,2471161;22,3424625;18,9424343;13,5668221;2005-09-01
"10";"        2005";"          10";5956,9301758;156,2742004;124,3733139;23,2648792;22,5483227;18,9657383;13,613061;2005-10-01
"11";"        2005";"          11";5963,4462891;156,4595337;124,2621536;23,2519894;22,6076756;18,9660397;13,619173;2005-11-01
"12";"        2005";"          12";5962,9697266;156,4868774;124,1238174;23,2290382;22,612072;18,9582024;13,6108055;2005-12-01
"13";"        2006";"           1";5960,921875;156,4813843;123,9701385;23,2023315;22,604723;18,9480286;13,5986996;2006-01-01
"14";"        2006";"           2";5959,0170898;156,4833527;123,8021774;23,17342;22,5993023;18,9371967;13,5861101;2006-02-01
"15";"        2006";"           3";5956,3935547;156,475174;123,6098709;23,1399689;22,5896358;18,9243374;13,5708952;2006-03-01
"16";"        2006";"           4";5952,3427734;156,4359589;123,407959;23,1038132;22,5691681;18,9095707;13,5525303;2006-04-01
"17";"        2006";"           5";5949,1782227;156,428299;123,1691971;23,0623856;22,5582275;18,8935909;13,533884;2006-05-01
"18";"        2006";"           6";5946,8603516;156,4306641;122,9662323;23,0274754;22,552042;18,8803215;13,5187473;2006-06-01
"19";"        2006";"           7";5949,6904297;156,4989319;122,962059;23,0290718;22,5751209;18,882761;13,5237942;2006-07-01
"20";"        2006";"           8";5955,0322266;156,6161041;122,9955597;23,0388222;22,6161232;18,8896408;13,5355244;2006-08-01
"21";"        2006";"           9";5959,5332031;156,7615509;122,8594971;23,0202713;22,6607151;18,8864403;13,5366001;2006-09-01
"22";"        2006";"          10";5985,637207;157,3819122;122,8568039;23,0407238;22,8709488;18,9109173;13,5848408;2006-10-01
"23";"        2006";"          11";5992,4023438;157,5722046;122,7542191;23,0294075;22,93153;18,9116573;13,5918493;2006-11-01
"24";"        2006";"          12";5991,9624023;157,5999908;122,6222382;23,0075378;22,9359283;18,9039688;13,5839281;2006-12-01
"25";"        2007";"           1";5989,9165039;157,594101;122,4749374;22,9818897;22,9283886;18,8939037;13,5722189;2007-01-01
"26";"        2007";"           2";5987,9057617;157,5933228;122,313324;22,9539433;22,9220715;18,8830547;13,559823;2007-02-01
"27";"        2007";"           3";5985,1679688;157,5821686;122,1281891;22,9215927;22,911438;18,870182;13,5448399;2007-03-01
"28";"        2007";"           4";5981,0224609;157,540451;121,9335709;22,8865833;22,8901615;18,8554287;13,5267639;2007-04-01
"29";"        2007";"           5";5977,7148438;157,5289764;121,7036667;22,8465137;22,8779964;18,8394337;13,5083942;2007-05-01
"30";"        2007";"           6";5975,2792969;157,5280457;121,5082626;22,8127537;22,8707695;18,8261452;13,4934778;2007-06-01
"31";"        2007";"           7";5978,0678711;157,5949554;121,5046768;22,8143864;22,8933907;18,8285313;13,4984446;2007-07-01
"32";"        2007";"           8";5983,3745117;157,7104187;121,5376968;22,8239708;22,9339046;18,8353138;13,5099869;2007-08-01
"33";"        2007";"           9";5987,78125;157,8509216;121,4077072;22,806221;22,9769859;18,8319893;13,511117;2007-09-01
"34";"        2007";"          10";6013,7724609;158,4593201;121,4093781;22,8268318;23,1834507;18,8559742;13,5589685;2007-10-01
"35";"        2007";"          11";6020,4702148;158,6443024;121,3118668;22,8161335;23,2423592;18,856554;13,5660076;2007-11-01
