kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2009;           2;      0.0003206;      0.0003016;      0.0001825;      0.0001588;      0.0012153;      0.0025350;      0.0000360
        2009;           3;      0.0004021;      0.0003780;      0.0002279;      0.0001974;      0.0015142;      0.0031647;      0.0000451
        2009;           4;      0.0005294;      0.0005037;      0.0003051;      0.0002541;      0.0019937;      0.0041702;      0.0000599
        2009;           5;      0.0008226;      0.0007886;      0.0004786;      0.0003860;      0.0030914;      0.0064731;      0.0000938
        2009;           6;      0.0009619;      0.0009374;      0.0005758;      0.0004455;      0.0036633;      0.0076475;      0.0001108
        2009;           7;      0.0011494;      0.0011290;      0.0006978;      0.0005301;      0.0044338;      0.0092239;      0.0001323
        2009;           8;      0.0012006;      0.0011989;      0.0007508;      0.0005498;      0.0046992;      0.0097433;      0.0001403
        2009;           9;      0.0009197;      0.0009261;      0.0005825;      0.0004215;      0.0036297;      0.0075103;      0.0001090
        2009;          10;      0.0005340;      0.0005361;      0.0003368;      0.0002516;      0.0021262;      0.0043877;      0.0000629
        2009;          11;      0.0004511;      0.0004314;      0.0002632;      0.0002187;      0.0017237;      0.0035900;      0.0000513
        2009;          12;      0.0003720;      0.0003486;      0.0002101;      0.0001837;      0.0014039;      0.0029308;      0.0000419
        2010;           1;      0.0003463;      0.0003239;      0.0001951;      0.0001719;      0.0013063;      0.0027276;      0.0000388
        2010;           2;      0.0003266;      0.0003062;      0.0001846;      0.0001616;      0.0012322;      0.0025733;      0.0000366
        2010;           3;      0.0003947;      0.0003721;      0.0002249;      0.0001939;      0.0014909;      0.0031137;      0.0000443
        2010;           4;      0.0005340;      0.0005075;      0.0003071;      0.0002563;      0.0020087;      0.0042027;      0.0000604
        2010;           5;      0.0007938;      0.0007644;      0.0004653;      0.0003721;      0.0029912;      0.0062607;      0.0000906
        2010;           6;      0.0011070;      0.0010587;      0.0006387;      0.0005117;      0.0041199;      0.0086513;      0.0001258
        2010;           7;      0.0011710;      0.0011411;      0.0007004;      0.0005395;      0.0044531;      0.0093003;      0.0001345
        2010;           8;      0.0012491;      0.0012412;      0.0007746;      0.0005730;      0.0048701;      0.0101066;      0.0001448
        2010;           9;      0.0009530;      0.0009553;      0.0006001;      0.0004391;      0.0037588;      0.0077769;      0.0001121
