YEAR;Total Uptake kg/ha/yr;;;;;;Litterfall kg/ha/yr;;;;;;Litter mineralisation kg/ha/yr;;;;;;SOM mineralisation kg/ha/yr;;;;;;
;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;
        2005;      9.5089531;      8.3807182;      1.4470637;     14.4450760;      1.0985022;      0.6901125;      6.1059499;      2.9897053;      0.8502178;      4.0827503;      0.6930506;      0.5178333;     12.1970291;      9.1310053;      1.7203525;      1.8129021;      1.3955251;      1.0788131;   -356.7749634;      0.0000000;      0.0000000;     -0.0004508;      0.0000000;    -32.4306755;
        2006;      9.9211159;      8.7842903;      1.5111177;     15.6682892;      1.1463245;      0.6769768;      6.3341737;      3.0928524;      0.8808752;      4.2053618;      0.7189295;      0.5250277;     12.0790644;      8.4624596;      1.6341780;      2.1628392;      1.3261335;      1.0664634;    -96.0186920;      0.0000000;      0.0000000;     -0.0009423;      0.0000000;     -7.4857526;
        2007;     10.1681995;      8.9595919;      1.5473166;     15.2606726;      1.1746495;      0.6982349;      6.0490098;      2.9649107;      0.8494876;      4.0253882;      0.6935686;      0.4964920;     12.2346907;      7.5843782;      1.5012299;      2.3749616;      1.2187274;      1.0806334;    -22.3819084;      0.0000000;      0.0000000;     -0.0010632;      0.0000000;     -0.6334382;
        2008;      8.2444143;      9.1761732;      1.5855024;     14.9857111;      1.2037499;      0.7872232;      5.7096176;      2.8045533;      0.8068715;      3.8064053;      0.6633042;      0.4632936;     12.7385798;      7.1673617;      1.4510876;      2.6235352;      1.1787570;      1.1240183;     -1.0037770;      0.0000000;      0.0000000;     -0.0011365;      0.0000000;      1.8694420;
        2009;      5.3651185;      9.4527054;      1.6290333;     14.8091726;      1.2361940;      0.7894427;      5.3548279;      2.6700459;      0.7695138;      3.6283581;      0.6379859;      0.4351485;     12.3688316;      6.5022845;      1.3438660;      2.6975563;      1.0928867;      1.0888896;      1.8443878;      0.0000000;      0.0000000;     -0.0013281;      0.0000000;      2.0262427;
        2010;      6.1490579;      9.6132860;      1.6571449;     14.6248827;      1.2575889;      0.9425212;      5.0331478;      2.5529888;      0.7358270;      3.4750912;      0.6162187;      0.4115040;     14.9506235;      7.3402824;      1.5456661;      3.3756940;      1.2591208;      1.3142581;      3.7408042;      0.0000000;      0.0000000;     -0.0013946;      0.0000000;      3.1374214;
        2011;      5.7743006;      9.7514000;      1.6827680;     14.4678431;      1.2772933;      0.8248922;      4.7476444;      2.4488833;      0.7061189;      3.3350201;      0.5972499;      0.3907242;     12.1580143;      5.6395097;      1.2085526;      2.8367927;      0.9868131;      1.0674543;      2.3654115;      0.0000000;      0.0000000;     -0.0013498;      0.0000000;      2.4651675;
        2012;      5.8020654;      9.7697668;      1.6938424;     14.2551470;      1.2868273;      0.8459526;      4.4736457;      2.3306248;      0.6772593;      3.1765981;      0.5743166;      0.3709554;     12.0748367;      5.3337822;      1.1618428;      2.8975773;      0.9511408;      1.0594075;      3.3737969;      0.0000000;      0.0000000;     -0.0013682;      0.0000000;      2.9065151;
        2013;      5.9209599;      9.8442898;      1.7111348;     14.0846510;      1.3005855;      0.8603591;      4.2432528;      2.2343640;      0.6566331;      3.0512958;      0.5577799;      0.3547785;     14.5840502;      6.0388680;      1.3352453;      3.4966664;      1.0958149;      1.2807499;      3.0796566;      0.0000000;      0.0000000;     -0.0014263;      0.0000000;      3.0887518;
        2014;      5.7131472;      9.8927088;      1.7229533;     13.9458609;      1.3100500;      0.8533729;      4.0344124;      2.1631658;      0.6424040;      2.9562209;      0.5461217;      0.3405496;     14.8328590;      5.9048834;      1.3248311;      3.6164522;      1.0899234;      1.3026088;      2.9027984;      0.0000000;      0.0000000;     -0.0016891;      0.0000000;      3.2230518;
        2015;      5.3197417;      9.9411230;      1.7347714;     13.8468733;      1.3195148;      0.7473335;      3.8414102;      2.1106582;      0.6323603;      2.8842382;      0.5378688;      0.3268915;     11.6656590;      4.5906954;      1.0451900;      2.9599106;      0.8618744;      1.0236742;      1.6553739;      0.0000000;      0.0000000;     -0.0015449;      0.0000000;      2.3615735;
