kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.0285196;      0.0476613;      0.0134173;      0.0187499;      0.2102760;      0.3038538;      0.0000000
        2005;           2;      0.0278055;      0.0461742;      0.0128918;      0.0180141;      0.2018988;      0.2934993;      0.0000000
        2005;           3;      0.1201668;      0.0896338;      0.0230209;      0.0488482;      0.3786213;      0.7657956;      0.0000000
        2005;           4;      0.1686190;      0.1215200;      0.0330872;      0.0689524;      0.5260656;      1.0675458;      0.0000000
        2005;           5;      0.4534453;      0.2688081;      0.0673873;      0.1598474;      1.0785233;      2.5562723;      0.0000000
        2005;           6;      0.3617027;      0.2420962;      0.0718826;      0.1495477;      1.0942124;      2.2452381;      0.0000000
        2005;           7;      0.4481974;      0.2946742;      0.0885275;      0.1860085;      1.3443593;      2.7660167;      0.0000000
        2005;           8;      0.3767764;      0.2806650;      0.0894010;      0.1723703;      1.3344315;      2.5171320;      0.0000000
        2005;           9;      0.2416173;      0.2050956;      0.0647983;      0.1165784;      0.9678681;      1.7292110;      0.0000000
        2005;          10;      0.2038480;      0.1496885;      0.0426492;      0.0864030;      0.6656960;      1.3163747;      0.0000000
        2005;          11;      0.3024738;      0.1770196;      0.0388806;      0.0962611;      0.6437988;      1.6495917;      0.0000000
        2005;          12;      0.1648145;      0.1067679;      0.0239061;      0.0566952;      0.4057999;      0.9489897;      0.0000000
        2006;           1;      0.1187697;      0.0854027;      0.0198631;      0.0442374;      0.3370765;      0.7258070;      0.0000000
        2006;           2;      0.0596489;      0.0579068;      0.0157483;      0.0292929;      0.2569659;      0.4463753;      0.0000000
        2006;           3;      0.0336705;      0.0567162;      0.0158580;      0.0216688;      0.2462858;      0.3582179;      0.0000000
        2006;           4;      0.0697432;      0.0822380;      0.0242628;      0.0386804;      0.3745675;      0.5972722;      0.0000000
        2006;           5;      0.2959797;      0.1980617;      0.0557852;      0.1185780;      0.8672072;      1.8156489;      0.0000000
        2006;           6;      0.4131117;      0.2643487;      0.0776759;      0.1643071;      1.1743672;      2.4968352;      0.0000000
        2006;           7;      0.6550580;      0.3867199;      0.1079780;      0.2418220;      1.6400527;      3.7584732;      0.0000000
        2006;           8;      0.7106601;      0.4241000;      0.1240067;      0.2733943;      1.8669229;      4.1447368;      0.0000000
        2006;           9;      0.4703104;      0.2991005;      0.0897896;      0.1891951;      1.3470070;      2.8477521;      0.0000000
        2006;          10;      0.3635803;      0.2193104;      0.0566418;      0.1274773;      0.8792782;      2.0709586;      0.0000000
        2006;          11;      0.3047382;      0.1780208;      0.0391104;      0.0967034;      0.6462062;      1.6601576;      0.0000000
        2006;          12;      0.1648071;      0.1067405;      0.0239184;      0.0567152;      0.4058899;      0.9490048;      0.0000000
        2007;           1;      0.0601779;      0.0599146;      0.0163778;      0.0301886;      0.2674012;      0.4580160;      0.0000000
        2007;           2;      0.0783077;      0.0657052;      0.0170398;      0.0343213;      0.2819386;      0.5329838;      0.0000000
        2007;           3;      0.1069128;      0.0840556;      0.0220781;      0.0454194;      0.3615640;      0.7044295;      0.0000000
        2007;           4;      0.1500618;      0.1137852;      0.0315685;      0.0638519;      0.5004023;      0.9803835;      0.0000000
        2007;           5;      0.3750689;      0.2341861;      0.0622978;      0.1407311;      0.9843436;      2.1955976;      0.0000000
        2007;           6;      0.6849870;      0.3907436;      0.0957903;      0.2290706;      1.5078361;      3.7632074;      0.0000000
        2007;           7;      0.7583304;      0.4360430;      0.1137227;      0.2652874;      1.7602463;      4.2354646;      0.0000000
        2007;           8;      0.7095053;      0.4235789;      0.1240146;      0.2729188;      1.8647944;      4.1393309;      0.0000000
        2007;           9;      0.4946928;      0.3098249;      0.0922118;      0.1960716;      1.3835117;      2.9656277;      0.0000000
        2007;          10;      0.2682922;      0.1771060;      0.0501784;      0.1038480;      0.7617931;      1.6302158;      0.0000000
        2007;          11;      0.2480192;      0.1511079;      0.0362734;      0.0841336;      0.5826766;      1.4007446;      0.0000000
        2007;          12;      0.1787998;      0.1127331;      0.0249086;      0.0600052;      0.4222488;      1.0132567;      0.0000000
        2008;           1;      0.0735324;      0.0658176;      0.0172502;      0.0336991;      0.2852249;      0.5202466;      0.0000000
        2008;           2;      0.0541018;      0.0558585;      0.0153625;      0.0276936;      0.2495357;      0.4210331;      0.0000000
        2008;           3;      0.0566988;      0.0643255;      0.0181991;      0.0308782;      0.2905611;      0.4702914;      0.0000000
        2008;           4;      0.0629343;      0.0811628;      0.0235966;      0.0361481;      0.3645188;      0.5671923;      0.0000000
        2008;           5;      0.1999795;      0.1621689;      0.0461765;      0.0899705;      0.7263752;      1.3619740;      0.0000000
