 ;;Total litter;;;;;;;Coarse litter;;;;;;;Fine litter;;;;;;;Humus;;;;;;;
YEAR;Month;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha
        2005;           1;   7031.5239258;    208.9785614;     94.7658463;     26.0118847;     21.5668640;      1.9188068;     14.5242043;   3312.0527344;     98.2976303;     44.5838585;     12.2388649;     10.2673073;      0.9289561;      6.8404646;     11.7404881;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3707.7304688;    110.6809311;     50.1819878;     13.7730169;     11.2995548;      0.9898508;      7.6837392
        2005;           2;   7069.5527344;    209.2824249;     94.9231796;     26.0578384;     21.8751755;      1.9811140;     14.5649080;   3347.4687500;     98.6710434;     44.7727242;     12.2934752;     10.5827198;      0.9918852;      6.8859963;     16.6760044;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3705.4077148;    110.6113892;     50.1504555;     13.7643642;     11.2924547;      0.9892288;      7.6789107
        2005;           3;   7098.8686523;    208.9984283;     94.8139877;     26.0306396;     22.1235924;      2.0381904;     14.5648088;   3368.2968750;     98.6086960;     44.7640266;     12.2938623;     10.8537674;      1.0509440;      6.9012856;     32.5460129;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3698.0249023;    110.3897171;     50.0499573;     13.7367811;     11.2698250;      0.9872464;      7.6635227
        2005;           4;   7113.2666016;    208.4982452;     94.5999298;     25.9736862;     22.2525425;      2.0724025;     14.5428152;   3373.9921875;     98.3347778;     44.6525383;     12.2650604;     11.0058155;      1.0871793;      6.8950000;     48.7649307;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3690.5104980;    110.1634750;     49.9473801;     13.7086258;     11.2467279;      0.9852229;      7.6478162
        2005;           5;   7150.7524414;    208.1170349;     94.4520187;     25.9366283;     22.5672379;      2.1449847;     14.5413570;   3400.1298828;     98.2430191;     44.6358871;     12.2640247;     11.3500605;      1.1623505;      6.9136357;     69.6901245;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3680.9326172;    109.8740082;     49.8161316;     13.6726046;     11.2171745;      0.9826341;      7.6277204
        2005;           6;   7183.9213867;    207.6183777;     94.2492294;     25.8842678;     22.8463268;      2.2114422;     14.5300760;   3421.0273438;     98.0530624;     44.5730362;     12.2500734;     11.6606655;      1.2315687;      6.9237843;     92.1345596;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3670.7595215;    109.5653305;     49.6761856;     13.6341934;     11.1856613;      0.9798735;      7.6062918
        2005;           7;   7220.9716797;    208.0209808;     94.4497986;     25.9418736;     23.1431656;      2.2700007;     14.5761089;   3456.7490234;     98.4887543;     44.7886238;     12.3118029;     11.9608812;      1.2904233;      6.9721160;     94.5525589;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3669.6691895;    109.5322266;     49.6611748;     13.6300755;     11.1822824;      0.9795775;      7.6039934
        2005;           8;   7277.0087891;    208.7437592;     94.8038483;     26.0427837;     23.5904808;      2.3567359;     14.6527004;   3512.2524414;     99.2244873;     45.1485481;     12.4143209;     12.4095192;      1.3772745;      7.0496063;     95.5147095;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3669.2421875;    109.5192642;     49.6552925;     13.6284609;     11.1809597;      0.9794616;      7.6030931
        2005;           9;   7388.8935547;    210.0834198;     95.4646072;     26.2316952;     24.4834728;      2.5312302;     14.7991810;   3621.5695801;    100.6228943;     45.8359375;     12.6105413;     13.3085108;      1.5522940;      7.2001643;    100.0148392;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3667.3090820;    109.4605331;     49.6286659;     13.6211529;     11.1749620;      0.9789363;      7.5990152
        2005;          10;   7719.5317383;    213.7700043;     97.2947311;     26.7564774;     27.1086483;      3.0474725;     15.2141380;   3939.3168945;    104.5624924;     47.7807770;     13.1668081;     15.9595184;      2.0707989;      7.6326876;    121.2000504;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3659.0146484;    109.2075119;     49.5139503;     13.5896683;     11.1491318;      0.9766735;      7.5814505
        2005;          11;   7841.7119141;    214.8749542;     97.8556900;     26.9189339;     28.0714722;      3.2400236;     15.3509569;   4052.3200684;    105.8396378;     48.4198074;     13.3506937;     16.9399223;      2.2648904;      7.7814603;    136.0072632;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3653.3847656;    109.0353165;     49.4358788;     13.5682392;     11.1315508;      0.9751334;      7.5694962
        2005;          12;   7881.6357422;    214.9298859;     97.9018707;     26.9346237;     28.3786812;      3.3053291;     15.3760996;   4084.1174316;    106.0450897;     48.5342445;     13.3851156;     17.2624969;      2.3315418;      7.8170519;    149.0428467;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3648.4748535;    108.8847961;     49.3676300;     13.5495090;     11.1161842;      0.9737872;      7.5590467
        2006;           1;   7905.0297852;    214.6800537;     97.8025665;     26.9093552;     28.5514412;      3.3457026;     15.3727741;   4097.9907227;    105.9702988;     48.5143242;     13.3816319;     17.4531307;      2.3734813;      7.8258805;    164.2583618;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3642.7807617;    108.7097321;     49.2882576;     13.5277224;     11.0983105;      0.9722216;      7.5468926
        2006;           2;   7936.1655273;    214.5791016;     97.7740936;     26.9039860;     28.7860775;      3.3974376;     15.3830881;   4120.2568359;    106.0309525;     48.5591049;     13.3963709;     17.7042618;      2.4266613;      7.8474126;    178.3693390;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3637.5388184;    108.5481567;     49.2149963;     13.5076170;     11.0818167;      0.9707766;      7.5356760
        2006;           3;   7966.8408203;    214.4223480;     97.7202911;     26.8916645;     29.0147495;      3.4486170;     15.3895092;   4141.1381836;    106.0509109;     48.5854187;     13.4060392;     17.9509754;      2.4794207;      7.8661013;    193.8810730;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3631.8220215;    108.3714294;     49.1348686;     13.4856262;     11.0637751;      0.9691961;      7.5234079
        2006;           4;   7979.9130859;    213.8874359;     97.4875412;     26.8291645;     29.0984974;      3.4735668;     15.3621588;   4142.0043945;    105.7355728;     48.4522018;     13.3708620;     18.0571404;      2.5063341;      7.8539939;    213.1645508;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3624.7448730;    108.1518707;     49.0353241;     13.4583035;     11.0413599;      0.9672325;      7.5081654
        2006;           5;   8016.0136719;    213.4806976;     97.3243942;     26.7874069;     29.3585930;      3.5347466;     15.3552513;   4162.5571289;    105.6053009;     48.4144249;     13.3635073;     18.3454590;      2.5699868;      7.8662796;    237.5825806;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3615.8742676;    107.8754044;     48.9099770;     13.4239016;     11.0131340;      0.9647600;      7.4889722
        2006;           6;   8054.1215820;    213.3378448;     97.2805634;     26.7783394;     29.6406631;      3.5972204;     15.3663120;   4189.1035156;    105.6661987;     48.4629631;     13.3797932;     18.6483288;      2.6342826;      7.8914843;    255.6596832;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3609.3586426;    107.6716461;     48.8175964;     13.3985453;     10.9923325;      0.9629378;      7.4748268
        2006;           7;   8091.9345703;    213.7923431;     97.5044708;     26.8423271;     29.9401264;      3.6556690;     15.4157600;   4225.8549805;    106.1392365;     48.6952896;     13.4460897;     18.9496861;      2.6928971;      7.9422193;    257.3131714;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3608.7661133;    107.6530991;     48.8091812;     13.3962374;     10.9904394;      0.9627720;      7.4735398
        2006;           8;   8148.7880859;    214.5662384;     97.8817749;     26.9496231;     30.3935394;      3.7430501;     15.4959612;   4282.7099609;    106.9131470;     49.0725937;     13.5533867;     19.4030991;      2.7802782;      8.0224228;    257.3131714;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3608.7661133;    107.6530991;     48.8091812;     13.3962374;     10.9904394;      0.9627720;      7.4735398
        2006;           9;   8253.3447266;    215.4817810;     98.3475647;     27.0846519;     31.2055187;      3.9056463;     15.6103306;   4377.8955078;    107.9827271;     49.6082230;     13.7075815;     20.2308044;      2.9442520;      8.1474857;    271.5952148;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3603.8547363;    107.4990540;     48.7393417;     13.3770685;     10.9747124;      0.9613943;      7.4628458
        2006;          10;   8595.5097656;    219.8945465;    100.5080109;     27.7002392;     33.9197388;      4.4315858;     16.0767574;   4715.1445312;    112.4677277;     51.8014069;     14.3321552;     22.9523983;      3.4708376;      8.6189251;    278.8095398;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3601.5559082;    107.4268417;     48.7066002;     13.3680840;     10.9673405;      0.9607485;      7.4578323
