YEAR;Month;C mmol/m�;N mmol/m�;Ca mmol/m�;Mg mmol/m�;K mmol/m�;S mmol/m�;P mmol/m�;
        2005;           1;    121.7661514;      4.6209054;      0.7355776;      0.3329518;      0.1726516;      0.0188946;      0.1459559;
        2005;           2;     51.1529274;      1.9296114;      0.3072643;      0.1391034;      0.0735437;      0.0082693;      0.0610779;
        2005;           3;    164.7105103;      6.1708984;      0.9829528;      0.4450731;      0.2398594;      0.0276681;      0.1957437;
        2005;           4;    168.8275909;      6.2958326;      1.0030682;      0.4542314;      0.2478383;      0.0290466;      0.1999854;
        2005;           5;    218.3443909;      8.0730457;      1.2867570;      0.5828232;      0.3256253;      0.0392967;      0.2571366;
        2005;           6;    234.9470215;      8.6170645;      1.3740079;      0.6224686;      0.3554159;      0.0440013;      0.2751649;
        2005;           7;     25.2986469;      0.9233297;      0.1472697;      0.0667278;      0.0387067;      0.0048781;      0.0295399;
        2005;           8;     10.0365095;      0.3636116;      0.0580201;      0.0262946;      0.0155999;      0.0020146;      0.0116648;
        2005;           9;     46.6837463;      1.6664222;      0.2661297;      0.1206620;      0.0747679;      0.0100907;      0.0537519;
        2005;          10;    216.8875122;      7.4248834;      1.1886474;      0.5395987;      0.3750392;      0.0559407;      0.2432365;
        2005;          11;    151.2278748;      5.0996137;      0.8171220;      0.3711097;      0.2681400;      0.0411868;      0.1680035;
        2005;          12;    133.2530823;      4.4673347;      0.7160438;      0.3252574;      0.2382825;      0.0369680;      0.1474759;
        2006;           1;    155.8355103;      5.2015853;      0.8339223;      0.3788468;      0.2802007;      0.0437658;      0.1719609;
        2006;           2;    144.7356262;      4.8071709;      0.7708980;      0.3502635;      0.2619831;      0.0412409;      0.1591922;
        2006;           3;    159.3670807;      5.2662907;      0.8447555;      0.3838748;      0.2903633;      0.0460599;      0.1746960;
        2006;           4;    198.7396851;      6.5427780;      1.0497004;      0.4770493;      0.3634473;      0.0579326;      0.2172816;
        2006;           5;    252.4184265;      8.2543716;      1.3247669;      0.6021643;      0.4652734;      0.0748561;      0.2747250;
        2006;           6;    187.2707214;      6.0879521;      0.9773920;      0.4443412;      0.3478036;      0.0564266;      0.2030360;
        2006;           7;     17.1172256;      0.5544120;      0.0890299;      0.0404797;      0.0319876;      0.0052209;      0.0185179;
        2006;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;
        2006;           9;    147.0805359;      4.6815071;      0.7525939;      0.3423753;      0.2819813;      0.0471977;      0.1574272;
        2006;          10;     73.3497086;      2.2624657;      0.3644696;      0.1659825;      0.1472905;      0.0256960;      0.0770643;
        2006;          11;    191.1542816;      5.8250442;      0.9390982;      0.4278389;      0.3896607;      0.0688938;      0.1993451;
        2006;          12;    158.1846619;      4.7980342;      0.7737381;      0.3525522;      0.3240374;      0.0575536;      0.1644733;
        2007;           1;    146.2728424;      4.4217291;      0.7131908;      0.3249952;      0.3005996;      0.0535576;      0.1517503;
        2007;           2;    179.6308594;      5.4078884;      0.8724508;      0.3976149;      0.3705471;      0.0662638;      0.1858539;
        2007;           3;    214.8858337;      6.4418268;      1.0394942;      0.4737991;      0.4448643;      0.0798426;      0.2216974;
        2007;           4;    216.1199951;      6.4593005;      1.0424656;      0.4751885;      0.4482753;      0.0806368;      0.2224955;
        2007;           5;    156.8289032;      4.6645198;      0.7530294;      0.3433058;      0.3269603;      0.0590808;      0.1609624;
        2007;           6;     78.2464294;      2.3173444;      0.3742120;      0.1706274;      0.1639640;      0.0297522;      0.0801030;
        2007;           7;     52.4086456;      1.5472047;      0.2499001;      0.1139577;      0.1102382;      0.0200651;      0.0535501;
        2007;           8;    104.5005951;      3.0703044;      0.4960596;      0.2262448;      0.2209777;      0.0403989;      0.1064640;
        2007;           9;    207.3089905;      6.0330992;      0.9753514;      0.4449807;      0.4429681;      0.0816762;      0.2099812;
        2007;          10;    256.9055481;      7.2874789;      1.1802572;      0.5389503;      0.5657861;      0.1067072;      0.2563818;
        2007;          11;    204.2286682;      5.7380180;      0.9299180;      0.4247751;      0.4542992;      0.0863278;      0.2026565;
        2007;          12;    180.2405396;      5.0445871;      0.8177303;      0.3735731;      0.4021802;      0.0766243;      0.1784141;
        2008;           1;    157.6810913;      4.4009085;      0.7135051;      0.3259853;      0.3525419;      0.0672872;      0.1557987;
        2008;           2;    191.0263062;      5.3135161;      0.8616327;      0.3937004;      0.4281080;      0.0818850;      0.1883260;
        2008;           3;    201.9420013;      5.5979667;      0.9079373;      0.4148991;      0.4536197;      0.0869482;      0.1986393;
        2008;           4;    219.3037415;      6.0638609;      0.9836231;      0.4495131;      0.4931472;      0.0946496;      0.2153296;
        2008;           5;     57.8968239;      1.5952731;      0.2588362;      0.1183025;      0.1306935;      0.0251511;      0.0567341;
        2008;           6;    256.9910278;      7.0502853;      1.1442077;      0.5230318;      0.5817366;      0.1122392;      0.2511048;
        2008;           7;      0.7131766;      0.0195237;      0.0031691;      0.0014488;      0.0016188;      0.0003129;      0.0006961;
        2008;           8;    205.5819550;      5.6032200;      0.9097616;      0.4159556;      0.4681713;      0.0907314;      0.2000866;
        2008;           9;     38.4094200;      1.0396415;      0.1688902;      0.0772395;      0.0881698;      0.0171762;      0.0372412;
        2008;          10;    302.9737244;      8.0288076;      1.3063366;      0.5979043;      0.7107479;      0.1404660;      0.2902650;
        2008;          11;    262.0848999;      6.8896790;      1.1216261;      0.5135076;      0.6190979;      0.1229451;      0.2499025;
        2008;          12;    179.8319550;      4.7126288;      0.7673591;      0.3513504;      0.4256855;      0.0846763;      0.1711342;
        2009;           1;    192.3069763;      5.0271225;      0.8186827;      0.3748761;      0.4557563;      0.0907629;      0.1827032;
        2009;           2;    205.0579224;      5.3451509;      0.8706210;      0.3986921;      0.4867136;      0.0970616;      0.1944512;
        2009;           3;    221.7787018;      5.7640939;      0.9390175;      0.4300499;      0.5271701;      0.1052741;      0.2098980;
        2009;           4;    246.0700378;      6.3811426;      1.0396491;      0.4761620;      0.5851932;      0.1169602;      0.2325095;
        2009;           5;    347.6615601;      8.9794807;      1.4633043;      0.6702703;      0.8281325;      0.1658049;      0.3276005;
        2009;           6;    176.1844940;      4.5367084;      0.7394525;      0.3387415;      0.4205260;      0.0843274;      0.1657038;
        2009;           7;    134.5211639;      3.4557369;      0.5633478;      0.2580881;      0.3215800;      0.0645630;      0.1263331;
        2009;           8;     47.3138313;      1.2118986;      0.1976069;      0.0905406;      0.1134363;      0.0228149;      0.0443630;
        2009;           9;    329.3336182;      8.3766747;      1.3665174;      0.6262669;      0.7935650;      0.1601839;      0.3074851;
        2009;          10;    326.2832336;      8.1557941;      1.3323171;      0.6110109;      0.7992650;      0.1629369;      0.3017538;
        2009;          11;    262.9296570;      6.5280757;      1.0669465;      0.4894306;      0.6474592;      0.1324386;      0.2422186;
        2009;          12;    185.5667419;      4.5949378;      0.7511261;      0.3445870;      0.4576320;      0.0937186;      0.1706611;
        2010;           1;    265.9714661;      6.5701594;      1.0741434;      0.4928045;      0.6562644;      0.1345059;      0.2441935;
        2010;           2;    267.7910767;      6.5978179;      1.0788190;      0.4949847;      0.6612633;      0.1356581;      0.2454212;
        2010;           3;    269.2979126;      6.6174545;      1.0821865;      0.4965654;      0.6655053;      0.1366577;      0.2463546;
        2010;           4;    285.4429932;      6.9997668;      1.1448095;      0.5253232;      0.7054264;      0.1449388;      0.2607188;
        2010;           5;    333.8049927;      8.1580296;      1.3344971;      0.6124237;      0.8258502;      0.1698904;      0.3041902;
        2010;           6;    412.7363586;     10.0518837;      1.6445830;      0.7547929;      1.0217491;      0.2104255;      0.3751799;
        2010;           7;      6.7562079;      0.1643236;      0.0268881;      0.0123412;      0.0167493;      0.0034521;      0.0061374;
        2010;           8;    114.4301758;      2.7753122;      0.4542184;      0.2085011;      0.2843000;      0.0586737;      0.1037828;
        2010;           9;    463.0534668;     11.1588421;      1.8270735;      0.8388621;      1.1543390;      0.2388577;      0.4182881;
        2010;          10;    369.0332031;      8.7628384;      1.4365280;      0.6599512;      0.9320557;      0.1942720;      0.3307569;
        2010;          11;    272.6354370;      6.4366703;      1.0556571;      0.4850824;      0.6914241;      0.1444802;      0.2435609;
        2010;          12;    256.8654785;      6.0487928;      0.9921962;      0.4559563;      0.6519867;      0.1363576;      0.2290827;
        2011;           1;    242.0616302;      5.6889696;      0.9332705;      0.4288995;      0.6146119;      0.1286156;      0.2155811;
        2011;           2;    228.8124542;      5.3658671;      0.8803792;      0.4046181;      0.5813497;      0.1217418;      0.2034841;
        2011;           3;    276.3887024;      6.4662142;      1.0610526;      0.4876863;      0.7025878;      0.1472371;      0.2453921;
        2011;           4;    277.4609375;      6.4796138;      1.0633335;      0.4887534;      0.7052392;      0.1478554;      0.2460073;
        2011;           5;    339.3908386;      7.9021606;      1.2970008;      0.5962068;      0.8632791;      0.1811572;      0.3003027;
        2011;           6;    159.6716156;      3.7095258;      0.6089478;      0.2799432;      0.4066216;      0.0854002;      0.1410940;
        2011;           7;    168.7010498;      3.9119661;      0.6422583;      0.2952743;      0.4299500;      0.0903589;      0.1488956;
        2011;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;
        2011;           9;    118.7529984;      2.7363281;      0.4495002;      0.2067129;      0.3044547;      0.0641773;      0.1044805;
        2011;          10;    395.4021301;      8.9946384;      1.4792125;      0.6806234;      1.0247746;      0.2172463;      0.3455820;
        2011;          11;    282.0791931;      6.3850789;      1.0504695;      0.4834408;      0.7334454;      0.1557856;      0.2458544;
        2011;          12;    226.3871918;      5.1134820;      0.8413817;      0.3872416;      0.5890425;      0.1251966;      0.1970407;
        2012;           1;    250.8588562;      5.6561174;      0.9307551;      0.4283950;      0.6528179;      0.1388143;      0.2180635;
        2012;           2;    271.8949890;      6.1178761;      1.0068548;      0.4634467;      0.7077661;      0.1505801;      0.2360135;
        2012;           3;    274.2846680;      6.1589746;      1.0137331;      0.4666388;      0.7141883;      0.1520286;      0.2377478;
        2012;           4;    365.4017334;      8.1894073;      1.3480226;      0.6205386;      0.9509645;      0.2024963;      0.3162450;
        2012;           5;    416.9178772;      9.3175058;      1.5339363;      0.7061709;      1.0851902;      0.2312366;      0.3600963;
        2012;           6;    474.8197632;     10.5808372;      1.7421472;      0.8020759;      1.2356602;      0.2634625;      0.4092181;
        2012;           7;    170.2053680;      3.7873158;      0.6236399;      0.2871329;      0.4430772;      0.0945094;      0.1465459;
        2012;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;
        2012;           9;      2.0229688;      0.0447883;      0.0073789;      0.0033982;      0.0052947;      0.0011321;      0.0017379;
        2012;          10;    425.9542847;      9.3258038;      1.5379859;      0.7086414;      1.1251453;      0.2416591;      0.3638974;
        2012;          11;    344.1019287;      7.5001345;      1.2373347;      0.5702112;      0.9111740;      0.1959996;      0.2932206;
        2012;          12;    276.6839294;      6.0185223;      0.9930224;      0.4576491;      0.7328717;      0.1577252;      0.2354478;
        2013;           1;    234.0645447;      5.0837154;      0.8388519;      0.3866124;      0.6200196;      0.1334835;      0.1989650;
        2013;           2;    292.8190613;      6.3477335;      1.0475318;      0.4828136;      0.7757376;      0.1670807;      0.2485747;
        2013;           3;    337.4001160;      7.2993965;      1.2046998;      0.5552803;      0.8937840;      0.1925873;      0.2859973;
        2013;           4;    397.2164307;      8.5780258;      1.4158049;      0.6526026;      1.0514969;      0.2266239;      0.3361978;
        2013;           5;    473.6454773;     10.2008610;      1.6838690;      0.7762126;      1.2535429;      0.2703149;      0.4000798;
        2013;           6;    257.6799316;      5.5389905;      0.9144319;      0.4215488;      0.6821734;      0.1471744;      0.2173750;
        2013;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;
        2013;           8;     87.7216949;      1.8807461;      0.3105696;      0.1431885;      0.2327510;      0.0502664;      0.0739091;
