"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2016653;495977,1015626;126267,3925781;331205,470703;192928,8496093;71755,0971679;279772,9833984;51968,5664367;18572,7125093;47876,7631682;19674,5932997;11788,9143064;279773,001953;53803,1922762;19645,4521561;62298,7641601;19674,5921783;11788,9143064;-0,018554599955678;-1834,6258395;-1072,7396468;-14422,0009919;0,00112139999691863;0
"2";2006;1710539,484375;458660,0195311;111722,5322264;284813,2343749;183346,9628904;57628,7375488;283790,533203;56796,2772827;18657,3355408;48209,3356321;20425,9038695;12836,1474612;283790,5305177;58992,4271695;19941,4626237;65473,2579346;20425,9017333;12836,1474612;0,00268530001631007;-2196,1498868;-1284,1270829;-17263,9223025;0,00213620000067749;0
"3";2007;1411639,7421875;430366,7031252;97601,6137694;239975,8955077;174025,0664064;44157,3481445;280666,8471678;54755,0156859;18403,434845;47632,7245483;20525,2066346;12628,1997072;279483,7338867;57150,3896332;19804,0537338;66462,7683104;20525,2052609;12628,2011724;1183,1132811;-2395,3739473;-1400,6188888;-18830,0437621;0,00137370000084047;-0,00146519999907468
"4";2008;655824,8984376;400033,4882813;81686,6030272;190035,3574218;163694,4912111;29120,7468261;280773,5666503;54296,4285582;18360,3552247;47566,5407714;20823,5504761;12583,0869144;227588,449707;56901,4598846;19883,5620422;68044,6577147;20823,5482176;12583,0869144;53185,1169433;-2605,0313264;-1523,2068175;-20478,1169433;0,00225850000060746;0
"5";2009;11271,6264649;422761,0195315;84033,9631348;192206,6914064;175787,8105469;28847,359375;281573,1918946;53616,9396666;18353,4820557;47630,4871827;21273,6286928;12565,8383784;216925,1403808;56356,5430907;19955,378952;69166,4942627;21273,626526;12565,8383784;64648,0515138;-2739,6034241;-1601,8968963;-21536,00708;0,00216680000085034;0
"6";2010;0,0039062;535698,9804688;118718,1928712;283460,040039;213897,4560546;53156,1843262;281047,3159177;49930,2118226;18279,6972046;47488,0189208;18131,5069886;12499,8603516;216448,5964358;52691,1791075;19894,0794982;69191,9379883;18131,5058593;12499,8618168;64598,7194819;-2760,9672849;-1614,3822936;-21703,9190675;0,00112929999886546;-0,00146519999907468
"7";2011;0,0009766;582100,8320314;153379,3154298;371648,8066407;228598,4501952;75815,5268556;279860,123535;39338,220459;18163,2889099;47231,1276855;14882,5822448;12400,469238;215685,5585937;42247,1058654;19864,1680298;70097,8736571;14882,5807496;12400,469238;64174,5649413;-2908,8854064;-1700,8791199;-22866,7459716;0,00149520000013581;0
"8";2012;0,006836;587744,9492187;181757,0898438;460398,357422;230303,1425782;98416,7753907;278021,6884764;37773,7505186;17119,5097962;46912,5296631;14224,305847;12301,0781256;214582,5026855;40850,0421141;18918,2720184;71095,2229004;14224,3053588;12301,0781256;63439,1857909;-3076,2915955;-1798,7622222;-24182,6932373;0,000488199999381322;0
"9";2013;0,0083008;589760,2226566;189841,3623048;532435,7304685;230521,0234374;120692,9736329;275942,5612795;36970,2947694;15032,6748961;44559,3381959;14132,0405273;12173,583252;213384,3098145;40216,5356751;16930,8094481;70078,005371;14132,0387576;12173,583984;62558,251465;-3246,2409057;-1898,134552;-25518,6671751;0,00176970000029542;-0,000732000000425614
"10";2014;0,0009766;591246,1132814;189937,6425781;553921,3242188;230702,3779298;142655,2578126;275024,7543946;36482,5976564;14973,9870607;39147,602112;14040,9465637;12114,8393556;212727,012207;39896,3928222;16970,0923157;65983,4135741;14040,9445191;12114,8393556;62297,7421876;-3413,7951658;-1996,105255;-26835,8114621;0,00204459999986284;0
"11";2015;0,0068359;591915,5234373;189992,4482421;554188,5546874;230714,0205079;160274,3398437;274106,968994;36192,4285125;14930,8228759;39000,6386109;14047,4388125;11594,0422368;212073,1037598;39769,5844116;17022,4508056;67120,6633299;14047,4379272;11594,0424198;62033,8652342;-3577,1558991;-2091,6279297;-28120,024719;0,000885299999936251;-0,000183000000106404
"12";2016;0;592044,8789064;189994,126953;554213,5312499;230487,2597656;161980,5449219;274096,9746094;36058,9586334;14918,414276;38952,7109373;14208,3692019;10222,383789;211840,31958;39791,2072755;17100,7270814;68291,8876955;14208,3676149;10222,383667;62256,6550294;-3732,2486421;-2182,3128054;-29339,1767582;0,00158700000065437;0,000121999999464606
