"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;32,4186668;18,5118237;4,145659;20,7438087;5,6178765;4,057261;17,7466068;6,6675987;2,1493766;8,6925478;1,2849643;2,7034087;6,1112061;19,2703896;3,6470051;5,1727705;2,3079109;2,3187356;34,3856926;-0,0052755;-0,0031993;-0,0051466;4,4354887;3,3009355;40,4968987;5,6196711;6,7433996
"2";2006;34,1490898;21,6007595;4,5592136;22,2552643;6,171114;4,4595289;18,4087925;6,9163885;2,2295771;9,0168953;1,3329105;2,8042817;5,9069982;14,9363956;3,0319231;5,6049557;1,9012867;2,2366836;26,9151707;-0,0103002;-0,0062465;-0,0100484;4,692224;3,3044882;32,8221689;5,5411718;6,5935107
"3";2007;34,5740242;21,6640434;4,6333523;22,6541958;6,3084202;4,5360184;18,982687;7,1320086;2,2990844;9,2979984;1,3744642;2,8917062;5,9665313;12,8469391;2,7983668;6,3031616;1,7397692;2,332037;25,8921242;-0,0118451;-0,0071834;-0,0115556;4,699513;3,2995794;31,8586555;5,6316164;6,4392822
"4";2008;35,0130653;21,6131859;4,7092299;23,0953274;6,4880333;4,6046491;19,4682884;7,314455;2,3578985;9,5358543;1,4096247;2,9656799;6,1096115;11,6780663;2,7075949;7,0039382;1,6712718;2,4708095;25,7763767;-0,0124145;-0,0075287;-0,0121111;4,7159166;3,3351243;31,8859882;5,8059338;6,3871884
"5";2009;35,2699165;21,512846;4,759541;23,3964844;6,5865664;4,6514626;19,804163;7,4803157;2,4113655;9,7520885;1,4415894;3,0329287;6,2711058;10,9421768;2,6745794;7,6328168;1,6413739;2,6098688;25,7827892;-0,0126966;-0,0076998;-0,0123863;4,7117276;3,3643978;32,053895;5,9742666;6,3531015
"6";2010;35,3369484;21,2661591;4,7683592;23,4151459;6,6591144;4,6744771;20,0841637;7,6130061;2,4541399;9,9250765;1,4671612;3,086729;6,4257851;10,4442921;2,6674662;8,1767159;1,62949;2,7365663;25,6808357;-0,0128884;-0,0078161;-0,0125733;4,6952276;3,374965;32,1066208;6,1115313;6,3247176
"7";2011;35,3403702;21,100935;4,7742462;23,4029865;6,6492176;4,6974897;20,390995;7,7456903;2,4969118;10,0980587;1,4927319;3,1405261;6,5682855;10,0953741;2,6731532;8,6408815;1,6270111;2,8482158;25,5246811;-0,0130447;-0,0079108;-0,0127258;4,6449537;3,3878074;32,0929666;6,2360232;6,2719648
"8";2012;35,2865486;20,7115574;4,7678361;23,3594723;6,6718888;4,7050762;20,6794014;7,8617959;2,5343404;10,2494259;1,5151074;3,1876016;6,700088;9,8504248;2,6863859;9,0386095;1,6303352;2,9463909;25,3350334;-0,0131823;-0,0079943;-0,01286;4,6047325;3,3866951;32,0351214;6,333086;6,2350677
"9";2013;35,3431473;20,6214867;4,7764187;23,4187145;6,680038;4,7339544;20,9880733;7,9779005;2,5717678;10,4007893;1,5374826;3,2346766;6,8227634;9,6806479;2,7041061;9,3807621;1,6373236;3,0327475;25,2311764;-0,0133069;-0,0080699;-0,0129816;4,5519533;3,4078186;32,0539398;6,4405661;6,1892769
"10";2014;35,3367195;20,5017605;4,7933593;23,4507675;6,5181146;4,7493844;21,2255459;8,060832;2,5985005;10,5089054;1,5534647;3,2683003;6,9374213;9,5655804;2,724231;9,6757765;1,6465088;3,1086593;25,1076832;-0,0134212;-0,0081392;-0,0130932;4,3969989;3,4164612;32,0451045;6,5251205;6,0435077
