"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"11";2015;47,4898109;23,6745389;11,2927551;25,3925174;5,1612071;10,2491598;207,0713848;0,0027255;0,0027255;0,0027255;11,0546294;2,0074246;58,3698787;0,0027255;0,0027255;0,0027255;0,0514735;1,1827257;176,0871277;0,0341658;0,0341658;0,0341658;0,1639845;1,3868701;120,6554213;0,036474;0,036474;0,036474;0,2143347;2,5699686;0;10,98636952;3,36635051871;9,475208194936;9,915673924558;2,73706256214;5,1462237512
"12";2016;48,2043269;23,5516534;11,3762802;25,9479708;5,1934132;10,434891;206,4775925;0,003025;0,003025;0,003025;10,9802615;1,9948981;58,3754332;0,003025;0,003025;0,003025;0,0514779;1,1802604;176,2811032;0,0343903;0,0343903;0,0343903;0,1650989;1,3881671;121,1832664;0,0370119;0,0370119;0,0370119;0,2156613;2,5695918;0;10,976114268;3,4195903334;9,425990658956;10,13287441839;2,757381566445;5,13234940148
"13";2017;48,8492146;23,4778123;11,4562969;26,425939;5,2251446;10,5966277;205,8941801;0,0033267;0,0033267;0,0033267;10,9072834;1,9823815;58,3840388;0,00331;0,00331;0,00331;0,0514844;1,1778735;176,3063372;0,0345957;0,0345957;0,0345957;0,166118;1,3871783;121,5565063;0,0375273;0,0375273;0,0375273;0,2167943;2,5676586;0;10,98118805;3,46611002973;9,396436692908;10,3197880766;2,776853031095;5,118798986
"14";2018;49,426184;23,4424911;11,5336775;26,8436317;5,2565528;10,7397217;205,3212783;0,0036302;0,0036302;0,0036302;10,8360012;1,9699286;58,395517;0,0034217;0,0034217;0,0034217;0,0514931;1,1755681;176,5201836;0,0347858;0,0347858;0,0347858;0,167793;1,3868503;122,2549859;0,0379404;0,0379404;0,0379404;0,2181964;2,5649224;0;10,951819018;3,50667116;9,38232681498;10,483141905578;2,795687947795;5,1054783766
"15";2019;49,9455983;23,4340768;11,6072811;27,2098607;5,2869337;10,86654;204,7655185;0,0039344;0,0039344;0,0039344;10,7661707;1,9576463;58,4097149;0,0035172;0,0035172;0,0035172;0,0515041;1,1733586;176,7264003;0,0349629;0,0349629;0,0349629;0,1686716;1,3860498;123,2685994;0,0382573;0,0382573;0,0382573;0,2193904;2,5620683;0;10,91786031;3,54239087405;9,379005636708;10,626379813556;2,81360819443;5,09254915568
"16";2020;50,4095263;23,4412538;11,6750083;27,5284617;5,3151868;10,9777348;204,2239069;0,0042377;0,0042377;0,0042377;10,697499;1,9454144;58,4265079;0,0036107;0,0036107;0,0036107;0,0515164;1,1712229;176,7218704;0,0351268;0,0351268;0,0351268;0,1694848;1,3819547;123,7160964;0,0385359;0,0385359;0,0385359;0,2203351;2,5577353;0;10,907618792;3,57430793665;9,381937757172;10,751000935148;2,83010317156;5,0793302406
"17";2021;50,822271;23,4574631;11,7364343;27,8054487;5,3410055;11,075005;203,6892985;0,0045402;0,0045402;0,0045402;10,6296647;1,9331776;58,4457513;0,0036417;0,0036417;0,0036417;0,0515305;1,1685555;176,7844868;0,0352783;0,0352783;0,0352783;0,1702384;1,3788339;124,0285781;0,0387666;0,0387666;0,0387666;0,2211681;2,5521466;0;10,881791578;3,60160929239;9,388494311;10,859356350388;2,84506946141;5,06561843508
"18";2022;51,1865313;23,4787692;11,7918427;28,0470586;5,3644294;11,1602816;203,1634502;0,0048418;0,0048418;0,0048418;10,5626333;1,9209998;58,4673256;0,0036604;0,0036604;0,0036604;0,051547;1,1655117;176,8240624;0,0354193;0,0354193;0,0354193;0,1709381;1,3753692;124,4297303;0,03895;0,03895;0,03895;0,2219279;2,5460283;0;10,853628674;3,62532100834;9,397097305692;10,953883780478;2,85857550686;5,05141354676
"19";2023;51,5184094;23,5066325;11,8438708;28,264237;5,3865814;11,2374577;202,6442209;0,0051414;0,0051414;0,0051414;10,4963968;1,9088018;58,4911182;0,0036796;0,0036796;0,0036796;0,0515645;1,1623277;176,7254764;0,035553;0,035553;0,035553;0,171602;1,3703121;124,5090122;0,0391133;0,0391133;0,0391133;0,222641;2,5388988;0;10,841201546;3,64701090978;9,408330287884;11,038861054892;2,87126125856;5,03706720972
"20";2024;51,814598;23,5342005;11,8903228;28,4548207;5,4064135;11,3053713;202,1309544;0,0054398;0,0054398;0,0054398;10,4309275;1,8966352;58,517015;0,0036989;0,0036989;0,0036989;0,0515836;1,1591954;176,8024283;0,0356783;0,0356783;0,0356783;0,1722249;1,3666687;124,9323827;0,0392654;0,0392654;0,0392654;0,2233125;2,5315317;0;10,800037374;3,66540411666;9,41944781112;11,113443148556;2,882593489115;5,02223622166
"21";2025;52,0835774;23,5618476;11,9325258;28,6247693;5,4244831;11,3661153;201,6282221;0,0057363;0,0057363;0,0057363;10,3663588;1,8845453;58,5449343;0,0037187;0,0037187;0,0037187;0,0516043;1,1561314;176,7518013;0,0357972;0,0357972;0,0357972;0,1728157;1,3615391;125,3394856;0,039409;0,039409;0,039409;0,2239481;2,5239888;0;10,774399748;3,68206092855;9,430598837892;11,179959090232;2,892894093945;5,00713919972
"22";2026;48,7295387;21,7950376;11,0174587;26,3802004;5,0092998;10,4797052;201,4856332;0,0060306;0,0060306;0,0060306;10,3041629;1,8806214;58,5744994;0,0037384;0,0037384;0,0037384;0,0516264;1,1550465;207,7712868;0,0351558;0,0351558;0,0351558;0,1757789;3,5028059;193,8231383;0,0393351;0,0393351;0,0393351;0,2265904;3,4786783;0;5,942143914;2,74317416079;8,722907053424;10,302743381696;2,670714457175;4,85314142628
"23";2027;39,4366158;17,437467;8,7225239;20,6602651;3,9695144;8,2295263;201,9150034;0,0063143;0,0063143;0,0063143;10,2444383;1,887511;58,5997193;0,0037578;0,0037578;0,0037578;0,0516449;1,1560892;197,3551264;0,0330665;0,0330665;0,0330665;0,1653327;3,3703026;241,4779815;0,0380592;0,0380592;0,0380592;0,2223418;4,2621574;0;6,159508992;2,08946373659;6,977518063248;8,067290873642;2,113507311685;4,503987572
"24";2028;31,5952778;14,0320366;6,9315272;16,2021843;3,1579588;6,475202;202,4144831;0,0065776;0,0065776;0,0065776;10,1851874;1,8954308;58,6132447;0,0037749;0,0037749;0,0037749;0,0516547;1,156858;186,2955828;0,0311927;0,0311927;0,0311927;0,1559637;3,2632222;246,6382541;0,0362983;0,0362983;0,0362983;0,2140833;4,4008621;0;6,679984934;1,58176506282;5,61361424034;6,325106005816;1,678724985905;4,2278107095
"25";2029;25,2738878;11,3685151;5,5331378;12,727048;2,5242137;5,1071451;202,8388014;0,0068194;0,0068194;0,0068194;10,1263951;1,9033416;58,6137376;0,0037902;0,0037902;0,0037902;0,0516548;1,1572705;177,1479167;0,0296414;0,0296414;0,0296414;0,1482063;3,1781639;241,0169143;0,0346159;0,0346159;0,0346159;0,2057708;4,3739816;0;7,13506815;1,18687037116;4,546899966756;4,96709828148;1,33928225519;4,0082702415
"26";2030;20,2686621;9,2831446;4,4406392;10,0176057;2,029007;4,0399951;203,1638572;0,0070418;0,0070418;0,0070418;10,0680668;1,9110064;58,6023787;0,0038034;0,0038034;0,0038034;0,0516456;1,1573483;169,7302798;0,0283928;0,0283928;0,0283928;0,1419633;3,1107408;233,6825029;0,0331796;0,0331796;0,0331796;0,1985653;4,3138184;0;7,51831353;0,87962873879;3,711756403136;3,908335662606;1,07410799701;3,8328084263
"27";2031;16,3336883;7,6483657;3,586482;7,9046355;1,6417484;3,2072641;203,3982993;0,0072477;0,0072477;0,0072477;10,0102113;1,9184048;58,5809917;0,0038151;0,0038151;0,0038151;0,0516291;1,1571405;163,6762146;0,0273974;0,0273974;0,0273974;0,1369871;3,0573899;226,9309976;0,0320073;0,0320073;0,0320073;0,1926411;4,2551057;0;7,84780822;0,6405460063;3,05708384416;3,082676258084;0,866797065515;3,69170021556
"28";2032;13,2478454;6,3648141;2,9180507;6,2563287;1,3386095;2,5571622;203,5572258;0,0074404;0,0074404;0,0074404;9,9528369;1,9255579;58,5513241;0,0038255;0,0038255;0,0038255;0,0516061;1,1566961;158,8603991;0,0266053;0,0266053;0,0266053;0,1330266;3,0044485;221,2524051;0,0310665;0,0310665;0,0310665;0,1878659;4,199399;0;8,112254094;0,45782071452;2,543082373392;2,438606302524;0,70457419369;3,57738938788
"29";2033;10,8288661;5,3550881;2,3943601;4,970015;1,1010291;2,0493485;203,655244;0,0076217;0,0076217;0,0076217;9,8959464;1,9324753;58,5148818;0,0038347;0,0038347;0,0038347;0,0515784;1,156058;155,0319873;0,0259735;0,0259735;0,0259735;0,1298675;2,9607616;216,6440745;0,0303156;0,0303156;0,0303156;0,1840386;4,1495889;0;8,323297192;0,31622296334;2,138750439588;1,936001277936;0,577488817315;3,4839948248
