"";"YEAR";"Month";"C";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";"        2005";"           1";5931,3984375;155,255127;125,0416412;23,3463154;22,2308578;18,9135628;13,6361837;2005-01-01
"2";"        2005";"           2";5927,9833984;155,1132507;124,3480377;23,2231579;22,1713924;18,8086014;13,6267881;2005-02-01
"3";"        2005";"           3";5920,902832;154,8972321;123,457489;23,0632;22,0766296;18,6738529;13,6118546;2005-03-01
"4";"        2005";"           4";5909,8618164;154,6263428;122,5342636;22,8948498;21,9529648;18,5341778;13,5923634;2005-04-01
"5";"        2005";"           5";5899,9179688;154,3390808;121,3951492;22,6900749;21,83008;18,3618164;13,5724735;2005-05-01
"6";"        2005";"           6";5890,8813477;154,0783691;120,3635788;22,5048389;21,7207699;18,2057323;13,5544806;2005-06-01
"7";"        2005";"           7";5897,9130859;154,1600342;120,3118668;22,5010757;21,7708988;18,1978645;13,5617819;2005-07-01
"8";"        2005";"           8";5911,2988281;154,3422241;120,4005737;22,5263176;21,8740063;18,2112179;13,5771675;2005-08-01
"9";"        2005";"           9";5920,6318359;154,3580475;119,6720734;22,40695;21,9120274;18,1009045;13,5818481;2005-09-01
"10";"        2005";"          10";5983,1591797;155,0947876;119,2585983;22,3809147;22,3534298;18,0379829;13,6476564;2005-10-01
"11";"        2005";"          11";6000,1928711;155,2427368;118,762001;22,307003;22,4544411;17,9627304;13,6628323;2005-11-01
"12";"        2005";"          12";5999,2763672;155,1576233;118,2279205;22,2134666;22,421669;17,8819027;13,6579123;2005-12-01
"13";"        2006";"           1";5988,5844727;154,928299;117,5484314;22,0875912;22,3107357;17,7791157;13,6412268;2006-01-01
"14";"        2006";"           2";5979,7954102;154,7318726;116,9341583;21,9745159;22,2177582;17,6861877;13,6270866;2006-02-01
"15";"        2006";"           3";5969,6992188;154,5111694;116,2649078;21,8510513;22,1137352;17,5849419;13,6111326;2006-03-01
"16";"        2006";"           4";5954,0336914;154,1956024;115,4209366;21,6933937;21,9628925;17,457283;13,587862;2006-04-01
"17";"        2006";"           5";5936,4311523;153,8261261;114,3835297;21,5009499;21,7910309;17,3003693;13,5608959;2006-05-01
"18";"        2006";"           6";5916,6503906;153,4186249;113,2860107;21,2967415;21,6031723;17,1343613;13,5310011;2006-06-01
"19";"        2006";"           7";5918,9785156;153,4349365;113,213974;21,2858467;21,6161861;17,1234436;13,5327234;2006-07-01
"20";"        2006";"           8";5925,7519531;153,5223389;113,2567291;21,2979412;21,6653881;17,129879;13,5400085;2006-08-01
"21";"        2006";"           9";5919,7890625;153,3318329;112,4979858;21,1621246;21,5896797;17,0150661;13,5271749;2006-09-01
"22";"        2006";"          10";5941,9116211;153,5085144;111,9473572;21,0816841;21,717886;16,931591;13,5448332;2006-10-01
"23";"        2006";"          11";5941,3168945;153,4089813;111,3609467;20,9794102;21,6866417;16,8428288;13,5390472;2006-11-01
"24";"        2006";"          12";5933,6606445;153,2351227;110,8383255;20,883419;21,6098213;16,7637615;13,5266171;2006-12-01
"25";"        2007";"           1";5925,3945312;153,0596924;110,3531647;20,7935677;21,5310364;16,6903687;13,5138845;2007-01-01
"26";"        2007";"           2";5915,1079102;152,8434296;109,763916;20,6843586;21,4344997;16,6012325;13,498167;2007-02-01
"27";"        2007";"           3";5901,8701172;152,573822;109,0628586;20,5538635;21,3139458;16,4951878;13,4784374;2007-03-01
"28";"        2007";"           4";5886,722168;152,2798004;108,3550491;20,4210167;21,1812038;16,3881264;13,4566698;2007-04-01
"29";"        2007";"           5";5876,7290039;152,0605164;107,7470398;20,3089638;21,0880566;16,2961674;13,4408388;2007-05-01
"30";"        2007";"           6";5868,7421875;151,8793182;107,2340088;20,2147198;21,0126381;16,2185707;13,4278164;2007-06-01
"31";"        2007";"           7";5865,9477539;151,8014832;106,9742661;20,1678486;20,9829998;16,1792793;13,4224129;2007-07-01
"32";"        2007";"           8";5863,887207;151,7248688;106,6751404;20,1146507;20,956749;16,1340256;13,4173059;2007-08-01
"33";"        2007";"           9";5858,2915039;151,5452728;106,0233078;19,9980431;20,8926563;16,0354099;13,4051332;2007-09-01
"34";"        2007";"          10";5880,2543945;151,7053375;105,5266266;19,9264355;21,0186996;15,9601707;13,4212914;2007-10-01
"35";"        2007";"          11";5880,5600586;151,6218719;105,0415039;19,842514;21,0000439;15,8867579;13,4165583;2007-11-01
"36";"        2007";"          12";5872,5820312;151,4465637;104,5694733;19,7554321;20,9268932;15,8153563;13,4039078;2007-12-01
"37";"        2008";"           1";5864,6875;151,2822571;104,1552811;19,6784763;20,8571472;15,7527084;13,3919115;2008-01-01
"38";"        2008";"           2";5855,0664062;151,0830994;103,6586914;19,5861645;20,7731228;15,677597;13,3773613;2008-02-01
"39";"        2008";"           3";5844,7036133;150,8708649;103,1388092;19,4894085;20,6839275;15,5989618;13,3618145;2008-03-01
"40";"        2008";"           4";5831,1606445;150,6124115;102,5662613;19,381525;20,5723095;15,5123663;13,3425894;2008-04-01
"41";"        2008";"           5";5827,1811523;150,5032349;102,2306976;19,3208313;20,5326595;15,4616241;13,3349504;2008-05-01
"42";"        2008";"           6";5806,9853516;150,1107635;101,3595352;19,1570606;20,3667622;15,3298855;13,30581;2008-06-01
"43";"        2008";"           7";5810,925293;150,1526337;101,3561707;19,1589928;20,3921967;15,3293743;13,309412;2008-07-01
"44";"        2008";"           8";5784,0712891;149,641983;100,2658997;18,9533195;20,1772919;15,1644983;13,2713223;2008-08-01
"45";"        2008";"           9";5796,2021484;149,7742462;100,2739716;18,9624672;20,2564087;15,1657076;13,2825985;2008-09-01
"46";"        2008";"          10";5817,6118164;149,9098206;99,8077316;18,8952942;20,3758106;15,0951548;13,2966061;2008-10-01
"47";"        2008";"          11";5815,5634766;149,7828827;99,2972183;18,8055305;20,341692;15,0179377;13,2883883;2008-11-01
"48";"        2008";"          12";5809,0229492;149,6347046;98,9215469;18,7363014;20,2843342;14,9611225;13,2776537;2008-12-01
"49";"        2009";"           1";5799,8408203;149,4504089;98,5107651;18,659359;20,208931;14,8989992;13,2640152;2009-01-01
"50";"        2009";"           2";5790,6557617;149,2615814;98,0808182;18,5791473;20,1332703;14,8339767;13,2500963;2009-02-01
"51";"        2009";"           3";5780,3964844;149,0539093;97,6189423;18,4927826;20,0500412;14,7641239;13,2347374;2009-03-01
"52";"        2009";"           4";5765,3642578;148,7737732;97,0601501;18,3867226;19,9333134;14,6796198;13,2136898;2009-04-01
"53";"        2009";"           5";5747,7871094;148,4299011;96,3439789;18,2518997;19,795084;14,5713329;13,1880302;2009-05-01
"54";"        2009";"           6";5741,8266602;148,2885437;95,9966965;18,1881237;19,7443295;14,518836;13,1777554;2009-06-01
"55";"        2009";"           7";5738,4257812;148,2012024;95,7706451;18,1469135;19,7144012;14,4846621;13,1714621;2009-07-01
"56";"        2009";"           8";5740,8100586;148,2012329;95,6651917;18,1301327;19,7253628;14,4687262;13,1720114;2009-08-01
"57";"        2009";"           9";5736,6162109;148,0457764;95,1822968;18,0439949;19,6807232;14,3957233;13,1612482;2009-09-01
"58";"        2009";"          10";5758,987793;148,1838531;94,7883759;17,9894524;19,8045635;14,3362083;13,1751356;2009-10-01
