"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;16725,2558594;224,0630188;16,7217979;63,5431061;7,5081606;16,7399654;2005-01-01
"2";2;2005;16729,9628906;224,0706635;16,7230453;63,5481262;7,5087118;16,7411175;2005-02-01
"3";3;2005;16777,0332031;224,1473389;16,7355213;63,5983353;7,5142245;16,7526283;2005-03-01
"4";4;2005;16889,9980469;224,3312836;16,765461;63,7188492;7,5274534;16,7802563;2005-04-01
"5";5;2005;17219,4765625;224,8678131;16,8527908;64,0703278;7,5660396;16,8608379;2005-05-01
"6";6;2005;17370,0957031;225,1130676;16,8927116;64,2310028;7,5836782;16,8976746;2005-06-01
"7";7;2005;17520,7148438;225,3582916;16,9326324;64,3916779;7,6013169;16,934515;2005-07-01
"8";8;2005;17652,5078125;225,5729065;16,9675636;64,5322723;7,6167517;16,9667435;2005-08-01
"9";9;2005;17652,5078125;225,5729065;16,9675636;64,5322723;7,6167517;16,9667435;2005-09-01
"10";10;2005;17652,5078125;225,5729065;16,9675636;64,5322723;7,6167517;16,9667435;2005-10-01
"11";11;2005;17657,2148438;225,5805664;16,968811;64,5373001;7,6173024;16,9668922;2005-11-01
"12";12;2005;17661,921875;225,5882263;16,9700584;64,5423203;7,6178536;16,9670258;2005-12-01
"13";1;2006;17666,1796875;225,5951691;16,9711857;64,5468597;7,6183519;16,9670753;2006-01-01
"14";2;2006;17670,4394531;225,6021271;16,9723129;64,5514145;7,6188507;16,9671574;2006-02-01
"15";3;2006;17713,0253906;225,6714325;16,9836006;64,5968399;7,623013;16,9716988;2006-03-01
"16";4;2006;17815,2304688;225,8378754;17,0106926;64,7058716;7,6349821;16,9834061;2006-04-01
"17";5;2006;18113,3320312;226,323288;17,0897026;65,0238724;7,6698933;17,0203896;2006-05-01
"18";6;2006;18249,6054688;226,5451965;17,1258221;65,1692429;7,6858521;17,0425224;2006-06-01
"19";7;2006;18385,8808594;226,7670898;17,1619434;65,314621;7,7018113;17,071949;2006-07-01
"20";8;2006;18505,1210938;226,9612579;17,1935463;65,4418259;7,7157755;17,0890141;2006-08-01
"21";9;2006;18505,1210938;226,9612579;17,1935463;65,4418259;7,7157755;17,0890141;2006-09-01
"22";10;2006;18505,1210938;226,9612579;17,1935463;65,4418259;7,7157755;17,0890141;2006-10-01
"23";11;2006;18509,3789062;226,9681854;17,1946754;65,446373;7,7162743;17,089098;2006-11-01
"24";12;2006;18513,6386719;226,9751282;17,1958027;65,4509125;7,7167726;17,0891724;2006-12-01
"25";1;2007;18517,3378906;226,9811249;17,1960373;65,4518356;7,7167988;17,0892086;2007-01-01
"26";2;2007;18521,0371094;226,9871521;17,1960659;65,4520264;7,7168212;17,0892525;2007-02-01
