"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;143134,515625;238,6139984;369,6759338;35,0864563;138,8371429;14,9345322;34,3141708;2005-01-01
"2";2;2005;143202,984375;238,6645966;369,7295227;35,0940323;138,8725891;14,9390879;34,3218918;2005-02-01
"3";3;2005;143887,71875;239,1707458;370,2652283;35,1697617;139,2269897;14,9846287;34,3990555;2005-03-01
"4";4;2005;145531,09375;240,385498;371,5509644;35,3515244;140,0775604;15,0939274;34,5842552;2005-04-01
"5";5;2005;150324,234375;243,928421;375,3009949;35,8816528;142,5584106;15,4127178;35,1244011;2005-05-01
"6";6;2005;152515,40625;245,5480652;377,0152588;36,1239967;143,6925049;15,5584497;35,3713341;2005-06-01
"7";7;2005;154706,546875;247,1676788;378,7295532;36,3663406;144,8265991;15,7041826;35,6182632;2005-07-01
"8";8;2005;156623,8125;248,5848389;380,2295532;36,578392;145,8189392;15,8316994;35,8343277;2005-08-01
"9";9;2005;156623,8125;248,5848389;380,2295532;36,578392;145,8189392;15,8316994;35,8343277;2005-09-01
"10";10;2005;156623,8125;248,5848389;380,2295532;36,578392;145,8189392;15,8316994;35,8343277;2005-10-01
"11";11;2005;156669,359375;248,620163;380,2666321;36,5836945;145,8434448;15,8348131;35,8353119;2005-11-01
"12";12;2005;156710,8125;248,6527557;380,3007202;36,5885849;145,8659821;15,8376722;35,8362007;2005-12-01
"13";1;2006;156730,90625;248,6704102;380,3190002;36,5912628;145,8779449;15,8391514;35,8365746;2006-01-01
"14";2;2006;156761,421875;248,6855316;380,344635;36,5949516;145,8947906;15,8412771;35,8371849;2006-02-01
"15";3;2006;157471,9375;249,0381012;380,8897095;36,6714897;146,2528839;15,8799486;35,8710899;2006-03-01
"16";4;2006;159177,171875;250,2634277;382,1980896;36,855175;147,1123047;15,9911547;35,9585495;2006-04-01
"17";5;2006;164150,75;253,837265;386,0141296;37,390934;149,6190033;16,315506;36,2347717;2006-05-01
"18";6;2006;166424,390625;255,4710388;387,7585754;37,6358528;150,7649231;16,4637775;36,4000893;2006-06-01
"19";7;2006;168698,03125;257,1048279;389,5030518;37,8807716;151,9108429;16,6120529;36,6198616;2006-07-01
"20";8;2006;170687,46875;258,5343628;391,0294495;38,0950699;152,9135132;16,7417927;36,7473106;2006-08-01
"21";9;2006;170687,46875;258,5343628;391,0294495;38,0950699;152,9135132;16,7417927;36,7473106;2006-09-01
"22";10;2006;170687,46875;258,5343628;391,0294495;38,0950699;152,9135132;16,7417927;36,7473106;2006-10-01
"23";11;2006;170718,84375;258,5594482;391,0557251;38,0988503;152,9307404;16,7439709;36,7479477;2006-11-01
"24";12;2006;170746,84375;258,5693359;391,0795593;38,1022949;152,9464111;16,7459373;36,748497;2006-12-01
"25";1;2007;170764,390625;258,5700378;391,0953369;38,1028557;152,948822;16,7460155;36,748806;2007-01-01
"26";2;2007;170777,265625;258,5706482;391,1078186;38,103054;152,9492035;16,746067;36,7488899;2007-02-01
"27";3;2007;171244,359375;258,6408997;391,3628845;38,115078;153,0034332;16,7526779;36,7585716;2007-03-01
"28";4;2007;172691,75;258,9653931;392,2714233;38,2339859;153,5109711;16,8151646;36,7891502;2007-04-01
"29";5;2007;177665,328125;260,1800537;396,0213318;38,7571411;155,9585266;17,1338787;37,0593376;2007-05-01
"30";6;2007;179938,96875;260,8111267;397,7355042;38,9962921;157,0774078;17,2795734;37,2188873;2007-06-01
"31";7;2007;182212,59375;261,2278137;399,4497681;39,2354469;158,1962891;17,425272;37,4320869;2007-07-01
"32";8;2007;183902,203125;261,4621887;400,7380371;39,4157982;159,0372314;17,5344143;37,5367775;2007-08-01
"33";9;2007;183902,203125;261,4621887;400,7380371;39,4157982;159,0372314;17,5344143;37,5367775;2007-09-01
"34";10;2007;183902,203125;261,4621887;400,7380371;39,4157982;159,0372314;17,5344143;37,5367775;2007-10-01
"35";11;2007;183930,71875;261,4640503;400,7615662;39,4191704;159,052597;17,5363674;37,5373306;2007-11-01
"36";12;2007;183953,984375;261,46521;400,7739868;39,420948;159,0605164;17,5373631;37,5377731;2007-12-01
"37";1;2008;183966,09375;261,4656982;400,7743835;39,4211388;159,0608368;17,537405;37,5378304;2008-01-01
"38";2;2008;183977,734375;261,466156;400,7747192;39,4213142;159,0611267;17,5374432;37,5378952;2008-02-01
"39";3;2008;184388,15625;261,5193176;400,8598022;39,4306068;159,1026154;17,5425072;37,5461121;2008-03-01
"40";4;2008;185601,4375;261,6572571;401,5301208;39,5152435;159,4601593;17,5862732;37,5708542;2008-04-01
"41";5;2008;190645,609375;262,9415588;405,2845764;40,0362816;161,8906403;17,9045029;37,8357201;2008-05-01
"42";6;2008;192951,546875;263,574707;407,000885;40,2744713;163,0017242;18,0499744;37,9914551;2008-06-01
"43";7;2008;195257,4375;263,9761353;408,7172241;40,5126572;164,112793;18,1954517;38,2001343;2008-07-01
"44";8;2008;196822;264,1875305;409,90271;40,6781082;164,8805237;18,2954369;38,2932281;2008-08-01
"45";9;2008;196822;264,1875305;409,90271;40,6781082;164,8805237;18,2954369;38,2932281;2008-09-01
"46";10;2008;196822;264,1875305;409,90271;40,6781082;164,8805237;18,2954369;38,2932281;2008-10-01
"47";11;2008;196848,625;264,1890564;409,9245911;40,6812439;164,8947601;18,2972488;38,2937317;2008-11-01
"48";12;2008;196869,15625;264,1899719;409,9346924;40,6826859;164,9009399;18,2980137;38,2941055;2008-12-01
"49";1;2009;196881,1875;264,1903687;409,9351196;40,6828766;164,9012146;18,2980537;38,2941628;2009-01-01
"50";2;2009;196892,78125;264,1907959;409,9354553;40,6830521;164,9014893;18,2980919;38,29422;2009-02-01
"51";3;2009;197303,453125;264,2423096;410,0195007;40,6922073;164,942215;18,3030834;38,3023262;2009-03-01
"52";4;2009;198521,21875;264,3854065;410,6842957;40,7757683;165,2950745;18,3464909;38,3267479;2009-04-01
"53";5;2009;203690,921875;265,6817017;414,486084;41,3010292;167,7460327;18,6688347;38,5876389;2009-05-01
"54";6;2009;206054,203125;266,3239136;416,2240601;41,5411491;168,8664703;18,8161907;38,7417641;2009-06-01
"55";7;2009;208417,5;266,7151489;417,9620667;41,7812691;169,986908;18,9635487;38,949192;2009-07-01
"56";8;2009;209877,9375;266,9082947;419,0610352;41,9342232;170,6958618;19,0561428;39,0326424;2009-08-01
"57";9;2009;209877,9375;266,9082947;419,0610352;41,9342232;170,6958618;19,0561428;39,0326424;2009-09-01
"58";10;2009;209877,9375;266,9082947;419,0610352;41,9342232;170,6958618;19,0561428;39,0326424;2009-10-01
"59";11;2009;209903,125;266,9096069;419,0815735;41,937149;170,7091522;19,0578346;39,0331116;2009-11-01
"60";12;2009;209921,71875;266,9102783;419,0899963;41,9383659;170,7141571;19,0584564;39,0334396;2009-12-01
"61";1;2010;209932,96875;266,910614;419,0903015;41,9385338;170,714386;19,0584888;39,0334854;2010-01-01
"62";2;2010;209943,78125;266,9109497;419,0906677;41,9386978;170,7146301;19,0585213;39,0335274;2010-02-01
"63";3;2010;210324,75;266,9546509;419,1633606;41,9465714;170,7494659;19,0628052;39,0408897;2010-03-01
"64";4;2010;211430,546875;267,0778809;419,7242126;42,0158157;171,0404358;19,0985813;39,0625839;2010-04-01
"65";5;2010;216647,3125;268,3823242;423,5209351;42,538208;173,4754639;19,420187;39,319088;2010-05-01
