"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;2,5889259;2,9579415;4,2298771;0,9129473;15,8817145;26,8073095;0,2993363
"2";2006;2,4553411;2,8427719;4,1178378;0,8623551;15,3202442;25,7447361;0,2841045
"3";2007;2,5986193;2,9076207;4,2451902;0,9089632;16,0129612;26,7734944;0,2887731
"4";2008;2,6375305;2,9631278;4,3985822;0,9118523;16,4540184;27,3936843;0,2984263
"5";2009;2,6135956;2,9030717;4,190147;0,9204805;15,9061293;26,6664113;0,2895806
"6";2010;2,7784345;3,0451686;4,4554612;0,967032;16,9289399;28,2531388;0,309736
"7";2011;2,7112661;3,0051206;4,5503788;0,9226623;16,9906658;28,0916058;0,3048495
"8";2012;2,7174884;3,0277447;4,5694602;0,9279784;17,0381672;28,2183805;0,3103024
"9";2013;2,9004465;3,2167302;4,806415;0,9944895;18,0100052;29,9592206;0,336323
"10";2014;2,8032877;3,0801398;4,6197692;0,9622513;17,3808725;28,8190565;0,3179656
"11";2015;2,6639807;2,9765782;4,5182552;0,9034803;16,8090681;27,772897;0,3040558
"12";2016;2,7352114;3,0593982;4,6849512;0,9217605;17,3518302;28,6267628;0,3173378
"13";2017;2,6953438;3,0357217;4,6402405;0,9087912;17,1382861;28,3031212;0,3174968
"14";2018;2,6143234;2,988719;4,5500441;0,8813407;16,7002209;27,6404646;0,3170668
"15";2019;2,8123443;3,0811015;4,6754976;0,9552345;17,5488479;28,9777658;0,3176353
"16";2020;2,7833478;3,1155055;4,7756962;0,9346615;17,6582031;29,1315712;0,3290953
"17";2021;2,9290569;3,1802746;4,7788576;1,0042977;18,0701255;29,9325686;0,3307284
"18";2022;2,8892182;3,1612644;4,7433101;0,9878291;17,8542456;29,5924509;0,3329838
"19";2023;2,8188718;3,1333034;4,8216824;0,9420133;17,8498972;29,3939451;0,3317863
"20";2024;2,8536348;3,1885326;4,8509344;0,9651937;17,9771721;29,7519875;0,3443295
"21";2025;2,9624861;3,3123338;4,9936117;1,0059935;18,5559922;30,8235503;0,3598671
"22";2026;2,8841812;3,1774491;4,8113225;0,9773282;17,9847435;29,7553089;0,3403202
"23";2027;2,7538171;3,0978543;4,7661599;0,9210633;17,5650124;28,9477279;0,3294782
"24";2028;2,8047447;3,1730258;4,9086432;0,9314018;17,9840237;29,626366;0,3443862
"25";2029;2,7718461;3,1362038;4,8002503;0,9287796;17,6431763;29,1666134;0,3461071
"26";2030;2,6396485;3,0226025;4,6472648;0,873899;16,9504576;27,9660982;0,3312141
"27";2031;2,8280787;3,1278734;4,8433461;0,937803;17,9424801;29,46191;0,3311387
"28";2032;2,8344132;3,2142208;4,9377624;0,9467754;18,0966132;29,9008513;0,3565256
"29";2033;2,9600621;3,2281896;4,885173;1,0070652;18,3643072;30,3726895;0,3431943
"30";2034;3,0006434;3,2397619;4,892269;1,0197241;18,4698118;30,5340766;0,3452656
"31";2035;2,9736488;3,3190819;5,002772;1,0068406;18,5651981;30,8476439;0,3664442
"32";2036;2,8803953;3,2166091;4,895489;0,9692384;18,1128353;29,9744848;0,3546818
"33";2037;3,0115682;3,3665079;5,0884455;1,0182612;18,8620971;31,3180479;0,3743029
"34";2038;2,944702;3,2718028;4,9728466;0,9927268;18,4643457;30,5647353;0,360185
"35";2039;2,8164253;3,1764444;4,8994541;0,9365592;17,9876382;29,6460418;0,3472476
"36";2040;2,8302701;3,233144;4,9718388;0,9406451;18,1318081;29,9767209;0,3648698
"37";2041;2,7860439;3,1552976;4,8439235;0,9249329;17,7476355;29,3113806;0,3549995
"38";2042;2,7355027;3,1039669;4,7716793;0,9056076;17,4567392;28,8038378;0,3472967
"39";2043;2,9076391;3,2809707;5,045592;0,9708469;18,5302704;30,6041505;0,3616176
"40";2044;2,8597297;3,2327787;4,9503997;0,9544985;18,1677842;30,041035;0,3608407
"41";2045;3,0274176;3,2893784;4,9701629;1,0286172;18,7043959;30,9526159;0,354151
"42";2046;3,0938023;3,3860859;5,0728166;1,0524505;19,0440623;31,6444438;0,3717885
"43";2047;2,909457;3,2650269;5,0041104;0,9707141;18,4143571;30,4271824;0,3628692
"44";2048;2,934456;3,2696075;4,9552842;0,9875397;18,3533109;30,4208026;0,3657259
"45";2049;2,9840465;3,3703387;5,0837041;1,0048493;18,7361484;31,1625822;0,3834443
"46";2050;2,9975682;3,3138811;5,0103529;1,0111227;18,6550074;30,9260857;0,3681861
"47";2051;2,924366;3,3205004;5,0766281;0,9793893;18,6013905;30,8149483;0,3759985
"48";2052;2,9071157;3,285567;5,0225929;0,9706886;18,4286813;30,5088781;0,3714748
"49";2053;2,9104606;3,2779797;4,9834508;0,9759172;18,3481029;30,4203521;0,3734389
"50";2054;2,8333857;3,2037156;4,8880238;0,943805;17,929551;29,6869201;0,3696853
"51";2055;2,9396342;3,2883238;5,0457855;0,9801311;18,602272;30,7181264;0,363039
"52";2056;2,9209962;3,2939299;5,0323205;0,9745785;18,4787099;30,5881078;0,37336
"53";2057;3,0831096;3,4221675;5,1397574;1,0464561;19,1433836;31,8442831;0,3807041
"54";2058;3,0723611;3,3650211;5,0071596;1,0462871;18,8036637;31,3127035;0,3737616
"55";2059;2,9619218;3,3151345;5,0510311;0,9914443;18,6237783;30,8401248;0,3721498
"56";2060;2,9952238;3,330155;5,0082709;1,0118;18,5918002;30,9070964;0,377513
"57";2061;3,0968457;3,4634567;5,1431583;1,0470497;19,0999718;31,9178464;0,3985459
"58";2062;3,0124349;3,3915813;5,056579;1,0163302;18,6805066;31,198339;0,3994848
"59";2063;2,9703325;3,3354287;5,0774397;0,996468;18,7148322;31,0162751;0,3771865
"60";2064;2,9356832;3,341586;5,0855541;0,9797133;18,5909659;30,859475;0,3854659
"61";2065;2,9418906;3,3313859;5,018598;0,9894875;18,450214;30,7201998;0,3903274
"62";2066;2,8741841;3,2270056;4,9158114;0,9572628;18,0882931;29,9483009;0,3709482
"63";2067;2,9985303;3,3495677;5,0968351;1,0048784;18,8303939;31,1954606;0,3746283
"64";2068;2,9843744;3,3493537;5,0788119;1,0016555;18,7233777;31,0718471;0,3809207
"65";2069;3,1364289;3,473722;5,1783824;1,0650455;19,3273646;32,2325447;0,390188
"66";2070;3,1406048;3,40972;5,0435333;1,0721265;19,0503449;31,7660479;0,3760962
"67";2071;3,0035729;3,3554217;5,0852067;1,0084376;18,7828388;31,1647807;0,3794252
"68";2072;3,0553552;3,4144107;5,075985;1,0350443;18,8323776;31,4657573;0,3961673
"69";2073;3,1271582;3,4983537;5,1630166;1,0530095;19,176994;32,1183458;0,4085103
"70";2074;3,1103754;3,4153614;5,0981582;1,053629;19,0834546;31,7739139;0,3848972
"71";2075;3,042506;3,4259111;5,1616555;1,0259525;19,0337333;31,6876943;0,393811
"72";2076;2,9949734;3,3706396;5,1022609;1,0051004;18,7821958;31,2080899;0,3866299
"73";2077;3,0269487;3,3902603;5,0803083;1,0222018;18,8008736;31,3339735;0,391943
"74";2078;2,9211354;3,2807337;4,9826124;0,9749392;18,3353249;30,4051558;0,3792021
"75";2079;3,0498666;3,3727;5,111015;1,0252827;18,9894989;31,4766178;0,3755437
"76";2080;3,0294352;3,4141785;5,107642;1,0218757;18,8324436;31,4307705;0,4005842
"77";2081;3,1799694;3,4665471;5,1434141;1,0823518;19,3675349;32,2951377;0,3859519
"78";2082;3,2054534;3,4405259;5,0757601;1,0948096;19,2819262;32,1515131;0,3791507
"79";2083;3,1561459;3,5084357;5,1637337;1,0668384;19,2345859;32,2415331;0,4070122
"80";2084;3,0996068;3,420015;5,076889;1,052768;18,9616436;31,6574968;0,3908512
"81";2085;3,1889229;3,5264423;5,1977202;1,0765787;19,4166071;32,5037097;0,4086452
"82";2086;3,1485622;3,5012034;5,1748447;1,0669809;19,2749098;32,262312;0,4050328
"83";2087;3,087494;3,4356086;5,1585266;1,0428366;19,1464187;31,8748866;0,3920257
"84";2088;3,0356145;3,421433;5,1349061;1,021744;18,9117111;31,5321673;0,3980298
"85";2089;3,0030579;3,3563832;5,0440328;1,0111039;18,6587433;31,0565375;0,3882472
"86";2090;2,9994352;3,327132;5,0051204;1,011355;18,5834074;30,8896496;0,3811287
"87";2091;3,1067261;3,4698413;5,1903021;1,0494554;19,2367907;32,0841338;0,3970628
"88";2092;3,0580876;3,4122953;5,0983215;1,0349493;18,9058564;31,5317494;0,3914236
"89";2093;3,2272911;3,4719956;5,1259391;1,1013779;19,4525204;32,4459087;0,3838565
"90";2094;3,2657863;3,5377852;5,1729705;1,1110049;19,581135;32,7931626;0,3993911
"91";2095;3,0912318;3,4248623;5,1226808;1,0466675;19,0527298;31,7467131;0,3892386
"92";2096;3,1275049;3,4334752;5,0840083;1,0637493;19,0448561;31,8094755;0,3904776
"93";2097;3,2027614;3,5531823;5,1995941;1,0759461;19,4006925;32,5680109;0,419658
"94";2098;3,1880429;3,495019;5,1650051;1,0830178;19,3806362;32,3924238;0,3980588
"95";2099;3,1030921;3,4223853;5,1418861;1,0492707;19,1636845;31,8658195;0,3862241
"96";2100;3,0798659;3,4360105;5,1392773;1,0414491;19,04625;31,7663139;0,3956015
"97";2101;3,0626858;3,4201483;5,1111811;1,0356793;18,9395006;31,5961205;0,3963101
"98";2102;3,0477964;3,3992808;5,0566446;1,0313677;18,7612176;31,3429424;0,3992322
"99";2103;3,1807261;3,4936751;5,1856376;1,0784501;19,4218585;32,4215632;0,3947056
"100";2104;3,1072281;3,4506998;5,1448978;1,0520351;19,1244936;31,9126275;0,3969295
"101";2105;3,24098;3,560029;5,2302964;1,1001733;19,637047;32,8958755;0,405018
"102";2106;3,2248303;3,4837841;5,0798743;1,1024399;19,2698775;32,2874158;0,3921404
"103";2107;3,1182904;3,4406433;5,1326524;1,0578247;19,1381916;31,9086305;0,3903142
"104";2108;3,1568237;3,4926635;5,1234697;1,0740434;19,1461058;32,1190886;0,4066499
"105";2109;3,2198189;3,5647638;5,2043115;1,0836337;19,4527588;32,6761741;0,4186888
"106";2110;3,2121489;3,4862756;5,1339329;1,0937657;19,3787444;32,3899566;0,3940406
"107";2111;3,1555951;3,5117077;5,2167098;1,070097;19,3968461;32,4279202;0,4052803
"108";2112;3,098414;3,4444688;5,1458294;1,0496102;19,1098842;31,876728;0,3954513
"109";2113;3,1326022;3,4726759;5,1372108;1,0638421;19,1535235;32,0461631;0,4019016
"110";2114;3,0691052;3,4086938;5,0608265;1,0412395;18,8260971;31,4617081;0,3984452
"111";2115;3,145173;3,4503659;5,1587335;1,0660229;19,2974452;32,1296153;0,3872715
"112";2116;3,1136789;3,4478487;5,1437599;1,0555271;19,145307;31,9332333;0,3947431
