 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2007;           3;  25193.6835938;  12733.3525391;   1690.5130615;    547.5471802;      0.0144467;  22790.9804688;   2952.6628418;   1167.0371094;    357.7052917;     76.3947220;     14.5493536;      0.0002339;    710.7486572
        2007;           4;  25200.1425781;  12744.5830078;   1693.0595703;    547.5251465;      0.0154960;  22782.2421875;   2941.0690918;   1167.3363037;    358.0207520;     76.5098038;     14.5487680;      0.0002509;    710.4761353
        2007;           5;  25205.7070312;  12748.4550781;   1691.2121582;    552.5957642;      0.0250509;  22775.1933594;   2940.0114746;   1167.5939941;    358.1295471;     76.4263153;     14.6835032;      0.0004056;    710.2563477
        2007;           6;  25212.3320312;  12754.3613281;   1690.4499512;    563.8432007;      0.0174215;  22764.6621094;   2936.0737305;   1167.9008789;    358.2954712;     76.3918686;     14.9823675;      0.0002820;    709.9279175
        2007;           7;  25219.1640625;  12764.0498047;   1689.1597900;    569.7770386;      0.0117268;  22753.5312500;   2931.8928223;   1168.2172852;    358.5676270;     76.3335648;     15.1400414;      0.0001898;    709.5808105
        2007;           8;  25224.4511719;  12774.8984375;   1687.8723145;    575.6145020;      0.0085789;  22742.5957031;   2927.7026367;   1168.4622803;    358.8723755;     76.2753906;     15.2951546;      0.0001389;    709.2398071
        2007;           9;  25228.3593750;  12785.7841797;   1686.4694824;    580.8551025;      0.0068161;  22733.0312500;   2923.1093750;   1168.6433105;    359.1781616;     76.2119904;     15.4344063;      0.0001103;    708.9415283
        2007;          10;  25242.4414062;  12814.3320312;   1691.7547607;    585.0451660;      0.0101558;  22705.4453125;   2911.0441895;   1169.2956543;    359.9801636;     76.4508362;     15.5457430;      0.0001644;    708.0812378
        2007;          11;  25251.9179688;  12839.0371094;   1697.5098877;    584.6282349;      0.0075736;  22672.1406250;   2937.1877441;   1169.7344971;    360.6741638;     76.7109146;     15.5346651;      0.0001226;    707.0426025
        2007;          12;  25257.6171875;  12864.5458984;   1705.4359131;    571.5870972;      0.0054688;  22647.4882812;   2953.8635254;   1169.9985352;    361.3907471;     77.0690918;     15.1881390;      0.0000885;    706.2738037
