kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.0002673;      0.0002537;      0.0001544;      0.0001313;      0.0010226;      0.0021274;      0.0000304
        2005;           2;      0.0002502;      0.0002366;      0.0001434;      0.0001226;      0.0009527;      0.0019841;      0.0000286
        2005;           3;      0.0002820;      0.0002680;      0.0001631;      0.0001380;      0.0010796;      0.0022455;      0.0000323
        2005;           4;      0.0003296;      0.0003148;      0.0001917;      0.0001591;      0.0012614;      0.0026245;      0.0000379
        2005;           5;      0.0004839;      0.0004644;      0.0002817;      0.0002272;      0.0018364;      0.0038315;      0.0000560
        2005;           6;      0.0006272;      0.0006097;      0.0003658;      0.0002756;      0.0023379;      0.0049054;      0.0000753
        2005;           7;      0.0007102;      0.0007034;      0.0004247;      0.0002994;      0.0026607;      0.0055769;      0.0000884
        2005;           8;      0.0008523;      0.0008397;      0.0005008;      0.0003380;      0.0030903;      0.0065223;      0.0001159
        2005;           9;      0.0008318;      0.0008207;      0.0004918;      0.0003433;      0.0030651;      0.0064530;      0.0001050
        2005;          10;      0.0006515;      0.0006365;      0.0003779;      0.0002668;      0.0023693;      0.0049974;      0.0000860
        2005;          11;      0.0004472;      0.0004280;      0.0002579;      0.0002083;      0.0016861;      0.0035233;      0.0000522
        2005;          12;      0.0003363;      0.0003187;      0.0001926;      0.0001620;      0.0012749;      0.0026584;      0.0000388
        2006;           1;      0.0002711;      0.0002564;      0.0001556;      0.0001331;      0.0010316;      0.0021492;      0.0000307
        2006;           2;      0.0002362;      0.0002248;      0.0001371;      0.0001160;      0.0009047;      0.0018823;      0.0000267
        2006;           3;      0.0002572;      0.0002473;      0.0001519;      0.0001261;      0.0009950;      0.0020657;      0.0000292
        2006;           4;      0.0002973;      0.0002874;      0.0001769;      0.0001441;      0.0011511;      0.0023895;      0.0000340
        2006;           5;      0.0004125;      0.0004026;      0.0002488;      0.0001962;      0.0016005;      0.0033222;      0.0000477
        2006;           6;      0.0005477;      0.0005335;      0.0003271;      0.0002548;      0.0021075;      0.0043838;      0.0000634
        2006;           7;      0.0005974;      0.0005911;      0.0003677;      0.0002781;      0.0023463;      0.0048563;      0.0000692
        2006;           8;      0.0007333;      0.0007231;      0.0004464;      0.0003358;      0.0028419;      0.0059046;      0.0000846
        2006;           9;      0.0007340;      0.0007215;      0.0004434;      0.0003343;      0.0028249;      0.0058804;      0.0000847
        2006;          10;      0.0005686;      0.0005549;      0.0003396;      0.0002623;      0.0021855;      0.0045476;      0.0000661
        2006;          11;      0.0004421;      0.0004222;      0.0002547;      0.0002075;      0.0016677;      0.0034843;      0.0000513
        2006;          12;      0.0003432;      0.0003240;      0.0001950;      0.0001650;      0.0012930;      0.0027004;      0.0000396
        2007;           1;      0.0002726;      0.0002581;      0.0001567;      0.0001337;      0.0010402;      0.0021651;      0.0000311
        2007;           2;      0.0002608;      0.0002450;      0.0001475;      0.0001273;      0.0009834;      0.0020531;      0.0000298
        2007;           3;      0.0002649;      0.0002536;      0.0001553;      0.0001299;      0.0010211;      0.0021212;      0.0000301
        2007;           4;      0.0003183;      0.0003048;      0.0001862;      0.0001541;      0.0012216;      0.0025403;      0.0000365
        2007;           5;      0.0004421;      0.0004276;      0.0002623;      0.0002101;      0.0016997;      0.0035352;      0.0000509
        2007;           6;      0.0005736;      0.0005564;      0.0003389;      0.0002649;      0.0021865;      0.0045594;      0.0000665
        2007;           7;      0.0006307;      0.0006225;      0.0003845;      0.0002898;      0.0024548;      0.0050933;      0.0000731
        2007;           8;      0.0007740;      0.0007636;      0.0004677;      0.0003465;      0.0029677;      0.0061851;      0.0000902
        2007;           9;      0.0007700;      0.0007582;      0.0004625;      0.0003424;      0.0029338;      0.0061251;      0.0000900
        2007;          10;      0.0005962;      0.0005829;      0.0003540;      0.0002681;      0.0022673;      0.0047321;      0.0000704
        2007;          11;      0.0004319;      0.0004189;      0.0002530;      0.0001962;      0.0016373;      0.0034171;      0.0000517
        2007;          12;      0.0003782;      0.0003590;      0.0002127;      0.0001720;      0.0013967;      0.0029320;      0.0000460
        2008;           1;      0.0003161;      0.0002956;      0.0001755;      0.0001503;      0.0011727;      0.0024576;      0.0000371
        2008;           2;      0.0002785;      0.0002602;      0.0001552;      0.0001342;      0.0010383;      0.0021735;      0.0000322
        2008;           3;      0.0003095;      0.0002902;      0.0001739;      0.0001498;      0.0011606;      0.0024262;      0.0000356
        2008;           4;      0.0003525;      0.0003327;      0.0002001;      0.0001692;      0.0013245;      0.0027689;      0.0000405
        2008;           5;      0.0004853;      0.0004628;      0.0002798;      0.0002292;      0.0018278;      0.0038216;      0.0000557
        2008;           6;      0.0006148;      0.0005918;      0.0003564;      0.0002805;      0.0023047;      0.0048274;      0.0000715
        2008;           7;      0.0007114;      0.0007007;      0.0004234;      0.0003074;      0.0026754;      0.0056030;      0.0000860
        2008;           8;      0.0008512;      0.0008395;      0.0005039;      0.0003548;      0.0031488;      0.0066237;      0.0001060
        2008;           9;      0.0008391;      0.0008260;      0.0004943;      0.0003477;      0.0030872;      0.0065028;      0.0001052
        2008;          10;      0.0006468;      0.0006323;      0.0003769;      0.0002711;      0.0023765;      0.0050030;      0.0000822
        2008;          11;      0.0004847;      0.0004684;      0.0002769;      0.0002046;      0.0017648;      0.0037195;      0.0000630
        2008;          12;      0.0003909;      0.0003722;      0.0002187;      0.0001704;      0.0014197;      0.0029923;      0.0000499
        2009;           1;      0.0003373;      0.0003173;      0.0001859;      0.0001517;      0.0012254;      0.0025820;      0.0000420
