 ;;Foliage;;;;;;;;;;;;;Wood;;;;;;;;;;;;;
YEAR;Month;Dry weight;N µmol/g;Ca µmol/g;Mg µmol/g;K µmol/g;S µmol/g;P µmol/g;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;Dry weight;N µmol/g;Ca µmol/g;Mg µmol/g;K µmol/g;S µmol/g;P µmol/g;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha
        2005;           1;   7429.1997070;    912.8571167;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     94.9908752;     24.6509018;      7.0102673;     33.6633415;      5.7090425;      9.7038097; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           2;   7415.4687500;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     94.8153076;     24.6053391;      6.9973102;     33.6011200;      5.6984901;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           3;   7414.1816406;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     94.7988510;     24.6010666;      6.9960957;     33.5952873;      5.6975017;      9.6841927; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           4;   7443.3598633;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     95.1719284;     24.6978874;      7.0236297;     33.7275009;      5.7199240;      9.7223043; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           5;   7389.1508789;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782665;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           6;   7395.1586914;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702080;     94.5556259;     24.5379505;      6.9781456;     33.5090904;      5.6828833;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           7;   7421.7622070;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     42.1702042;     94.8957825;     24.6262226;      7.0032492;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           8;   7386.2900391;    912.8571777;     82.7913055;     38.8237000;    115.8930206;     23.9656925;     42.1702042;     94.4422379;     24.5085239;      6.9697781;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;           9;   7268.7187500;    912.8571777;     82.7913055;     38.8237000;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588357;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2005;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
