"","Wood_80","Bark_80","Branch_80","Fol_DW_min_80","Fol_DW_max_80","YEAR"
"1",23.25411565,0,0.280170068,0.560340136,0.560340136,2068
"2",23.25411565,0,0.280170068,0.560340136,0.560340136,2069
"3",46.50823129,0,0.560340136,1.681020408,1.681020408,2070
"4",46.50823129,0,0.560340136,2.80170068,2.80170068,2071
"5",46.50823129,0,0.560340136,4.482721088,4.482721088,2072
"6",356.3763265,4.482721088,8.965442177,22.41360544,22.41360544,2073
"7",508.7888435,11.20680272,26.89632653,51.55129252,51.55129252,2074
"8",593.9605442,26.89632653,58.27537415,103.102585,103.102585,2075
"9",620.8568707,47.06857143,87.41306122,170.3434014,170.3434014,2076
"10",625.3395918,69.48217687,116.5507483,248.7910204,248.7910204,2077
"11",618.6155102,94.13714286,136.7229932,333.9627211,333.9627211,2078
"12",632.0636735,116.5507483,152.412517,333.514449,416.8930612,2079
"13",654.4772789,136.7229932,159.1365986,399.8587211,499.8234014,2080
"14",697.0631293,154.6538776,156.8952381,462.6168163,578.2710204,2081
"15",750.8557823,168.1020408,154.6538776,519.9956463,649.9945578,2082
"16",802.4070748,181.5502041,143.4470748,570.2021224,712.7526531,2083
"17",862.9238095,188.2742857,132.2402721,615.0293333,768.7866667,2084
"18",918.9578231,192.7570068,123.2748299,654.4772789,818.0965986,2085
"19",983.9572789,197.2397279,112.0680272,690.3390476,862.9238095,2086
"20",1033.267211,199.4810884,100.8612245,720.821551,901.0269388,2087
"21",1075.853061,199.4810884,94.13714286,747.7178776,934.6473469,2088
"22",1134.128435,201.722449,85.17170068,771.0280272,963.785034,2089
"23",1149.817959,197.2397279,73.96489796,790.752,988.44,2090
"24",1176.714286,192.7570068,71.72353741,808.6828844,1010.853605,2091
"25",1217.058776,194.9983673,64.99945578,823.0275918,1028.78449,2092
"26",1237.23102,192.7570068,60.51673469,837.3722993,1046.715374,2093
"27",1252.920544,188.2742857,56.03401361,849.9239184,1062.404898,2094
"28",1246.196463,183.7915646,53.79265306,862.4755374,1078.094422,2095
"29",1250.679184,181.5502041,47.06857143,871.4409796,1089.301224,2096
"30",1252.920544,179.3088435,44.82721088,880.4064218,1100.508027,2097
"31",1255.161905,177.067483,42.58585034,887.5787755,1109.473469,2098
"32",1273.092789,174.8261224,40.3444898,894.7511293,1118.438912,2099
"33",1261.885986,172.5847619,38.10312925,901.923483,1127.404354,2100
"34",1268.610068,170.3434014,38.10312925,907.3027483,1134.128435,2101
"35",1241.713741,165.8606803,33.62040816,912.6820136,1140.852517,2102
"36",1201.369252,161.3779592,31.37904762,916.2681905,1145.335238,2103
"37",1208.093333,159.1365986,33.62040816,921.6474558,1152.05932,2104
"38",1212.576054,159.1365986,29.13768707,925.2336327,1156.542041,2105
"39",1199.127891,154.6538776,29.13768707,928.8198095,1161.024762,2106
"40",1210.334694,156.8952381,29.13768707,932.4059864,1165.507483,2107
"41",1183.438367,152.412517,26.89632653,935.9921633,1169.990204,2108
"42",1169.990204,152.412517,26.89632653,939.5783401,1174.472925,2109
"43",1129.645714,145.6884354,24.65496599,941.3714286,1176.714286,2110
"44",1147.576599,147.9297959,22.41360544,943.164517,1178.955646,2111
"45",1136.369796,143.4470748,22.41360544,944.9576054,1181.197007,2112
