Wood_80;Bark_80;Branch_80;Fol_DW_min_80;Fol_DW_max_80
23.25411565;0;0.280170068;0.560340136;0.560340136
23.25411565;0;0.280170068;0.560340136;0.560340136
46.50823129;0;0.560340136;1.681020408;1.681020408
46.50823129;0;0.560340136;2.80170068;2.80170068
46.50823129;0;0.560340136;4.482721088;4.482721088
356.3763265;4.482721088;8.965442177;22.41360544;22.41360544
508.7888435;11.20680272;26.89632653;51.55129252;51.55129252
593.9605442;26.89632653;58.27537415;103.102585;103.102585
620.8568707;47.06857143;87.41306122;170.3434014;170.3434014
625.3395918;69.48217687;116.5507483;248.7910204;248.7910204
618.6155102;94.13714286;136.7229932;333.9627211;333.9627211
632.0636735;116.5507483;152.412517;333.514449;416.8930612
654.4772789;136.7229932;159.1365986;399.8587211;499.8234014
697.0631293;154.6538776;156.8952381;462.6168163;578.2710204
750.8557823;168.1020408;154.6538776;519.9956463;649.9945578
802.4070748;181.5502041;143.4470748;570.2021224;712.7526531
862.9238095;188.2742857;132.2402721;615.0293333;768.7866667
918.9578231;192.7570068;123.2748299;654.4772789;818.0965986
983.9572789;197.2397279;112.0680272;690.3390476;862.9238095
1033.267211;199.4810884;100.8612245;720.821551;901.0269388
1075.853061;199.4810884;94.13714286;747.7178776;934.6473469
1134.128435;201.722449;85.17170068;771.0280272;963.785034
1149.817959;197.2397279;73.96489796;790.752;988.44
1176.714286;192.7570068;71.72353741;808.6828844;1010.853605
1217.058776;194.9983673;64.99945578;823.0275918;1028.78449
1237.23102;192.7570068;60.51673469;837.3722993;1046.715374
1252.920544;188.2742857;56.03401361;849.9239184;1062.404898
1246.196463;183.7915646;53.79265306;862.4755374;1078.094422
1250.679184;181.5502041;47.06857143;871.4409796;1089.301224
1252.920544;179.3088435;44.82721088;880.4064218;1100.508027
1255.161905;177.067483;42.58585034;887.5787755;1109.473469
1273.092789;174.8261224;40.3444898;894.7511293;1118.438912
1261.885986;172.5847619;38.10312925;901.923483;1127.404354
1268.610068;170.3434014;38.10312925;907.3027483;1134.128435
1241.713741;165.8606803;33.62040816;912.6820136;1140.852517
1201.369252;161.3779592;31.37904762;916.2681905;1145.335238
1208.093333;159.1365986;33.62040816;921.6474558;1152.05932
1212.576054;159.1365986;29.13768707;925.2336327;1156.542041
1199.127891;154.6538776;29.13768707;928.8198095;1161.024762
1210.334694;156.8952381;29.13768707;932.4059864;1165.507483
1183.438367;152.412517;26.89632653;935.9921633;1169.990204
1169.990204;152.412517;26.89632653;939.5783401;1174.472925
1129.645714;145.6884354;24.65496599;941.3714286;1176.714286
1147.576599;147.9297959;22.41360544;943.164517;1178.955646
1136.369796;143.4470748;22.41360544;944.9576054;1181.197007
1122.921633;143.4470748;24.65496599;948.5437823;1185.679728
1113.95619;143.4470748;22.41360544;950.3368707;1187.921088
1087.059864;138.9643537;24.65496599;952.1299592;1190.162449
1073.611701;136.7229932;24.65496599;953.9230476;1192.40381
1073.611701;136.7229932;24.65496599;957.5092245;1196.886531
1096.025306;138.9643537;22.41360544;959.3023129;1199.127891
1096.025306;136.7229932;24.65496599;962.8884898;1203.610612
1071.37034;134.4816327;22.41360544;964.6815782;1205.851973
1073.611701;136.7229932;24.65496599;966.4746667;1208.093333
1073.611701;134.4816327;22.41360544;968.2677551;1210.334694
1039.991293;129.9989116;24.65496599;971.853932;1214.817415
1069.12898;134.4816327;24.65496599;973.6470204;1217.058776
1069.12898;132.2402721;24.65496599;977.2331973;1221.541497
1087.059864;134.4816327;24.65496599;979.0262857;1223.782857
1024.301769;127.757551;24.65496599;980.8193741;1226.024218
1080.335782;132.2402721;24.65496599;984.405551;1230.506939
1055.680816;129.9989116;24.65496599;986.1986395;1232.748299
1107.232109;134.4816327;24.65496599;989.7848163;1237.23102
1028.78449;125.5161905;26.89632653;991.5779048;1239.472381
1073.611701;129.9989116;22.41360544;995.1640816;1243.955102
1073.611701;129.9989116;24.65496599;996.9571701;1246.196463
1089.301224;129.9989116;26.89632653;1000.543347;1250.679184
1010.853605;123.2748299;22.41360544;1002.336435;1252.920544
1022.060408;125.5161905;24.65496599;1004.129524;1255.161905
1073.611701;127.757551;24.65496599;1007.715701;1259.644626
1042.232653;123.2748299;24.65496599;1009.508789;1261.885986
1004.129524;121.0334694;22.41360544;1013.094966;1266.368707
1022.060408;123.2748299;24.65496599;1014.888054;1268.610068
1051.198095;123.2748299;24.65496599;1016.681143;1270.851429
1042.232653;123.2748299;22.41360544;1020.26732;1275.33415
1053.439456;121.0334694;24.65496599;1022.060408;1277.57551
1064.646259;125.5161905;24.65496599;1025.646585;1282.058231
1048.956735;121.0334694;22.41360544;1027.439673;1284.299592
1140.852517;127.757551;26.89632653;1029.232762;1286.540952
1107.232109;125.5161905;24.65496599;1032.818939;1291.023673
0;0;0;0;0
0;0;0;0;0
