"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"20309";0;0,1437551;20,6444855;1,7806522;0,0002951;1123,7919922;"4";2122-05-01
"20310";0;0,1367126;20,6588039;1,7346367;0,0002278;1123,8033447;"4";2122-06-01
"20311";0;0,1319822;20,6582317;1,7299639;0,0001418;1123,8015137;"4";2122-07-01
"20312";0,0004112;0,1285697;20,6602364;1,7388078;3,9e-05;1123,7913818;"4";2122-08-01
"20313";0,0007692;0,1342368;20,6737728;1,813035;1e-07;1123,7467041;"4";2122-09-01
"20314";0,0040403;0,1556585;20,7406693;1,9597987;0,0002572;1123,6409912;"4";2122-10-01
"20315";0;0,1669074;20,8412552;1,9782418;0,0003859;1123,6032715;"4";2122-11-01
"20316";0,0030167;0,1670201;20,9172077;2,0363266;0,0003622;1123,598999;"4";2122-12-01
"20317";0;0,163151;20,9833508;2,0420067;0,0003275;1123,6236572;"4";2123-01-01
"20318";0;0,1594091;21,0394878;1,9918681;0,0003226;1123,6600342;"4";2123-02-01
"20319";0;0,1563426;21,0961876;1,9396042;0,0003344;1123,69104;"4";2123-03-01
"20320";0;0,1525071;21,1391792;1,878399;0,0003441;1123,7167969;"4";2123-04-01
"20321";0;0,142538;21,1608124;1,7794098;0,0002926;1123,7520752;"4";2123-05-01
"20322";0;0,1366242;21,1763248;1,7381196;0,0002289;1123,7600098;"4";2123-06-01
"20323";0;0,1319116;21,1757469;1,73351;0,0001433;1123,7559814;"4";2123-07-01
"20324";0,0004114;0,1285394;21,1778259;1,7425474;4,12e-05;1123,744751;"4";2123-08-01
"20325";0,0007727;0,1348782;21,192194;1,8197781;1e-07;1123,6998291;"4";2123-09-01
"20326";0,0046467;0,1556941;21,2601814;1,9609749;0,0002623;1123,595459;"4";2123-10-01
"20327";0;0,1667254;21,3633213;1,971826;0,0003917;1123,557251;"4";2123-11-01
"20328";0,0012864;0,1670253;21,441431;2,0261943;0,000373;1123,5517578;"4";2123-12-01
"20329";0;0,1632445;21,5093212;2,0295084;0,0003428;1123,5738525;"4";2124-01-01
"20330";0;0,1601773;21,5669823;1,9825017;0,0003409;1123,6070557;"4";2124-02-01
"20331";0;0,1577286;21,6260185;1,93112;0,0003531;1123,635498;"4";2124-03-01
"20332";0;0,1540019;21,6699219;1,8704735;0,0003616;1123,6590576;"4";2124-04-01
"20333";0;0,1438404;21,6914864;1,7714233;0,0003128;1123,6931152;"4";2124-05-01
"20334";0;0,1378762;21,7070389;1,7300278;0,0002551;1123,6993408;"4";2124-06-01
"20335";0;0,133164;21,7064838;1,7257051;0,0001764;1123,6959229;"4";2124-07-01
"20336";0,0004107;0,1303354;21,709116;1,7372829;8,73e-05;1123,6833496;"4";2124-08-01
"20337";0,0007717;0,1367602;21,7238426;1,8142902;1e-07;1123,6368408;"4";2124-09-01
"20338";0,0055214;0,1586714;21,7939568;1,9540648;0,0002708;1123,5317383;"4";2124-10-01
"20339";0;0,1702242;21,9010105;1,9611009;0,000401;1123,4918213;"4";2124-11-01
"20340";0,0023965;0,1692361;21,9792442;2,0072699;0,0003831;1123,4874268;"4";2124-12-01
"20341";0;0,1659687;22,0488243;2,0159731;0,0003565;1123,5072021;"4";2125-01-01
"20342";0;0,1627316;22,1073895;1,9707338;0,0003545;1123,5394287;"4";2125-02-01
"20343";0;0,1601939;22,1672268;1,9208685;0,0003661;1123,5656738;"4";2125-03-01
"20344";0;0,1563704;22,211853;1,8609419;0,0003737;1123,588623;"4";2125-04-01
"20345";0;0,145965;22,233736;1,7622219;0,0003266;1123,623291;"4";2125-05-01
"20346";0;0,1398339;22,2495193;1,7207851;0,0002728;1123,6291504;"4";2125-06-01
"20347";0;0,1356375;22,249464;1,7190242;0,0001992;1123,623291;"4";2125-07-01
"20348";0,0004084;0,132172;22,2516651;1,7281132;0,0001172;1123,6113281;"4";2125-08-01
"20349";0,0007707;0,1393267;22,267271;1,8074312;3,42e-05;1123,5633545;"4";2125-09-01
"20350";0,0061844;0,1606323;22,3373661;1,9412431;0,0002876;1123,4598389;"4";2125-10-01
"20351";0;0,1719536;22,4442387;1,9429901;0,0004077;1123,4197998;"4";2125-11-01
"20352";0,0034691;0,1716166;22,5239639;1,9911675;0,0003909;1123,4121094;"4";2125-12-01
"20353";0;0,1669309;22,593132;1,9996648;0,0003648;1123,4320068;"4";2126-01-01
"20354";0;0,1622793;22,6511211;1,9541982;0,0003628;1123,4630127;"4";2126-02-01
"20355";0;0,1516888;22,7104321;1,9058483;0,0003743;1123,491333;"4";2126-03-01
"20356";0;0,1307772;22,7554398;1,8452063;0,0003802;1123,5192871;"4";2126-04-01
"20357";0;0,1165226;22,7779408;1,7492164;0,0003358;1123,5534668;"4";2126-05-01
"20358";0;0,1081766;22,793766;1,7082157;0,0002853;1123,5606689;"4";2126-06-01
"20359";0;0,1034467;22,7912006;1,7061344;0,0002152;1123,5540771;"4";2126-07-01
"20360";0,000406;0,1001227;22,7865562;1,7151395;0,000139;1123,5406494;"4";2126-08-01
"20361";0,0007673;0,1057013;22,802742;1,7946658;6,78e-05;1123,4938965;"4";2126-09-01
"20362";0,0069808;0,1208382;22,8741608;1,925024;0,0003024;1123,3942871;"4";2126-10-01
"20363";0;0,1324096;22,9822464;1,9150422;0,0004104;1123,3533936;"4";2126-11-01
"20364";0,0042683;0,1365942;23,0584984;1,9583755;0,0003939;1123,3408203;"4";2126-12-01
"20365";0;0,138354;23,1235352;1,9672771;0,0003704;1123,3537598;"4";2127-01-01
"20366";0;0,139338;23,1773663;1,9258102;0,0003701;1123,3789062;"4";2127-02-01
"20367";0;0,132896;23,1995659;1,8795652;0,0003817;1123,4044189;"4";2127-03-01
"20368";0;0,1123513;23,1539764;1,820443;0,000387;1123,4318848;"4";2127-04-01
"20369";0;0,095988;23,1188049;1,7248355;0,0003443;1123,4650879;"4";2127-05-01
"20370";0;0,0888579;23,1229038;1,6871874;0,0002985;1123,4698486;"4";2127-06-01
"20371";0;0,0845472;23,1053619;1,685346;0,000232;1123,4627686;"4";2127-07-01
"20372";0,0004045;0,0820499;23,1007843;1,6968727;0,0001621;1123,4471436;"4";2127-08-01
"20373";0,0007621;0,0863207;23,1168098;1,7735158;0,0001011;1123,4018555;"4";2127-09-01
"20374";0,0078936;0,101406;23,1856747;1,9017859;0,0003171;1123,3023682;"4";2127-10-01
"20375";0;0,1158282;23,2886295;1,8880099;0,0004147;1123,2590332;"4";2127-11-01
"20376";0,0058489;0,1230998;23,3584118;1,928987;0,0003985;1123,2438965;"4";2127-12-01
"20377";0;0,1280104;23,4173546;1,9407324;0,0003777;1123,2525635;"4";2128-01-01
"20378";0;0,1342405;23,469368;1,9330249;7,12e-05;1123,2670898;"4";2128-02-01
"20379";0;0,1284799;23,4811363;1,9009441;0;1123,291626;"4";2128-03-01
"20380";0;0,1053998;23,417244;1,8468648;0;1123,3214111;"4";2128-04-01
"20381";0;0,0908194;23,3896389;1,7520819;0;1123,3557129;"4";2128-05-01
"20382";0;0,0834153;23,3931065;1,7102009;0;1123,3625488;"4";2128-06-01
"20383";0;0,0782571;23,3719635;1,7030327;0;1123,3591309;"4";2128-07-01
"20384";0,0004103;0,0754352;23,3664761;1,7116977;0;1123,3468018;"4";2128-08-01
"20385";0,0007687;0,0789571;23,3820019;1,7857875;0;1123,3040771;"4";2128-09-01
"20386";0,0087582;0,0970689;23,4496784;1,9292421;0,0002647;1123,1976318;"4";2128-10-01
"20387";0,0007852;0,1159212;23,5437241;1,9254442;0,0004036;1123,1544189;"4";2128-11-01
"20388";0,0077308;0,1286181;23,6066399;1,9937879;0,0002917;1123,1340332;"4";2128-12-01
"20389";0;0,1365079;23,660471;2,0043619;0,0003204;1123,1466064;"4";2129-01-01
"20390";0;0,1438105;23,7086849;1,9808227;3,81e-05;1123,1658936;"4";2129-02-01
"20391";0;0,1372121;23,7125149;1,9344;0;1123,1967773;"4";2129-03-01
"20392";0;0,11197;23,636961;1,8733099;0;1123,2315674;"4";2129-04-01
"20393";0;0,0947251;23,6011543;1,7713692;0;1123,2712402;"4";2129-05-01
"20394";0;0,086308;23,601738;1,7269903;0;1123,2803955;"4";2129-06-01
"20395";0;0,0810012;23,5773125;1,7220899;0;1123,2752686;"4";2129-07-01
"20396";0,0004102;0,0776633;23,5704575;1,7284194;0;1123,2646484;"4";2129-08-01
"20397";0,0007681;0,0812296;23,5860348;1,8028569;0;1123,2203369;"4";2129-09-01
"20398";0,0101234;0,0990206;23,6494598;1,9365752;0,0002691;1123,1187744;"4";2129-10-01
"20399";0,0041147;0,119503;23,7383347;1,9261695;0,0004089;1123,0770264;"4";2129-11-01
"20400";0,013022;0,132364;23,7943115;1,9843467;0,0003115;1123,0585938;"4";2129-12-01
"20401";0;0,1404463;23,8425446;1,9894562;0,0003392;1123,0732422;"4";2130-01-01
"20402";0;0,1478413;23,8854198;1,968183;5,03e-05;1123,0930176;"4";2130-02-01
"20403";0;0,1417453;23,8844128;1,9262221;0;1123,1229248;"4";2130-03-01
"20404";0;0,1166583;23,8050346;1,867202;0;1123,1577148;"4";2130-04-01
"20405";0;0,0948274;23,741642;1,7663907;0;1123,1990967;"4";2130-05-01
"20406";0;0,0853019;23,7364979;1,7219387;0;1123,2086182;"4";2130-06-01
"20407";0;0,0796803;23,7077541;1,7170358;0;1123,2036133;"4";2130-07-01
"20408";0,0004103;0,0762829;23,6996059;1,7233448;0;1123,192749;"4";2130-08-01
"20409";0,0007685;0,0798164;23,7153072;1,7977519;0;1123,1501465;"4";2130-09-01
"20410";0,0113802;0,0973373;23,7760544;1,9327793;0,0002696;1123,048584;"4";2130-10-01
"20411";0,008253;0,1181211;23,8553238;1,9157234;0,0004094;1123,0098877;"4";2130-11-01
"20412";0,0192434;0,1319258;23,9026527;1,9721594;0,0003199;1122,9931641;"4";2130-12-01
"20413";0;0,1411832;23,9443741;1,9762557;0,0003466;1123,0087891;"4";2131-01-01
"20414";0;0,1498537;23,9824333;1,9609326;5,63e-05;1123,02771;"4";2131-02-01
"20415";0;0,1445586;23,9761696;1,9217968;0;1123,0585938;"4";2131-03-01
"20416";0;0,1199142;23,8930092;1,8634682;0;1123,0933838;"4";2131-04-01
"20417";0;0,094297;23,8031597;1,7634802;0;1123,1367188;"4";2131-05-01
"20418";0;0,084012;23,7932205;1,7192211;0;1123,1481934;"4";2131-06-01
"20419";0;0,0781284;23,761013;1,7140936;0;1123,1433105;"4";2131-07-01
"20420";0,0004104;0,0747025;23,751852;1,7204005;0;1123,1328125;"4";2131-08-01
"20421";0,0007688;0,0781678;23,7675858;1,7946846;0;1123,090332;"4";2131-09-01
"20422";0,0123725;0,0949805;23,8233185;1,9266347;0,00027;1122,9907227;"4";2131-10-01
"20423";0,0119225;0,1172176;23,8950958;1,9104736;0,0004111;1122,9509277;"4";2131-11-01
"20424";0,0246584;0,1314498;23,9341412;1,9615951;0,0003284;1122,9353027;"4";2131-12-01
"20425";0;0,1423133;23,9693298;1,9746138;0,0003294;1122,9486084;"4";2132-01-01
"20426";0;0,1514586;24,0022659;1,9581395;5,13e-05;1122,96875;"4";2132-02-01
"20427";0;0,1463136;23,9901581;1,9192117;0;1122,9996338;"4";2132-03-01
"20428";0;0,1219241;23,9028091;1,8614078;0;1123,0349121;"4";2132-04-01
"20429";0;0,0941368;23,7918377;1,7617564;0;1123,0782471;"4";2132-05-01
"20430";0;0,0831281;23,7761173;1,7175618;0;1123,0899658;"4";2132-06-01
"20431";0;0,0767901;23,7413998;1,710024;0;1123,0881348;"4";2132-07-01
"20432";0,0004103;0,073653;23,7321491;1,7185521;0;1123,0762939;"4";2132-08-01
"20433";0,0007689;0,0770939;23,7479057;1,7929183;0;1123,0336914;"4";2132-09-01
"20434";0,0130068;0,093916;23,8002682;1,925854;0,0002713;1122,9343262;"4";2132-10-01
"20435";0,0139772;0,1156559;23,8590527;1,9009401;0,0004101;1122,9012451;"4";2132-11-01
"20436";0,0278869;0,1312319;23,8902149;1,9554416;0,0003335;1122,8850098;"4";2132-12-01
"20437";0;0,1420601;23,9164391;1,9639171;0,000334;1122,9012451;"4";2133-01-01
"20438";0;0,1524321;23,9440212;1,9535918;5,5e-05;1122,9212646;"4";2133-02-01
"20439";0;0,1478118;23,9269543;1,9158731;0;1122,9525146;"4";2133-03-01
"20440";0;0,1234553;23,8352737;1,858983;0;1122,9902344;"4";2133-04-01
"20441";0;0,0947583;23,7170658;1,7594988;0;1123,0355225;"4";2133-05-01
"20442";0;0,0827847;23,6931534;1,7153255;0;1123,0494385;"4";2133-06-01
"20443";0;0,0762984;23,6567917;1,7075555;0;1123,0479736;"4";2133-07-01
"20444";0,0004104;0,0731377;23,6470642;1,7160652;0;1123,0362549;"4";2133-08-01
"20445";0,000769;0,0765579;23,6627674;1,7903377;0;1122,9938965;"4";2133-09-01
"20446";0,0135075;0,0932268;23,7108307;1,9239165;0,000272;1122,8948975;"4";2133-10-01
"20447";0,01591;0,1157854;23,761301;1,9008224;0,0004116;1122,8620605;"4";2133-11-01
"20448";0,0307658;0,1314954;23,7836933;1,9519904;0,0003384;1122,8487549;"4";2133-12-01
"20449";0;0,1426847;23,8026466;1,9589063;0,0003393;1122,8679199;"4";2134-01-01
"20450";0;0,1529238;23,8232555;1,9471095;7,14e-05;1122,8885498;"4";2134-02-01
"20451";0;0,1490674;23,8012161;1,912294;0;1122,9207764;"4";2134-03-01
"20452";0;0,1252606;23,7066708;1,8565793;0;1122,9588623;"4";2134-04-01
"20453";0;0,0959772;23,5827694;1,7574903;0;1123,0040283;"4";2134-05-01
"20454";0;0,082882;23,5491734;1,7133163;0;1123,0180664;"4";2134-06-01
"20455";0;0,0762804;23,5114574;1,7055457;0;1123,0163574;"4";2134-07-01
"20456";0,0004105;0,0731105;23,5013504;1,7142134;0;1123,0058594;"4";2134-08-01
"20457";0,000769;0,0765065;23,5169201;1,7882314;0;1122,963623;"4";2134-09-01
"20458";0,0138163;0,0923187;23,5596085;1,9178861;0,0002711;1122,8682861;"4";2134-10-01
"20459";0,01788;0,1150209;23,5983181;1,8944471;0,0004108;1122,8374023;"4";2134-11-01
