"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2183397,5;423351,6230469;97708,3520508;244147,1582032;162386,5849609;75416,8344725;328809,814453;51944,6203612;16799,4392699;41803,361084;17489,5213014;12045,7277223;328809,8261718;53779,2447967;17872,1778335;54322,7548827;17489,5203857;12045,7268066;-0,0117188000585884;-1834,6244355;-1072,7385636;-12519,3937987;0,000915699998586206;0,000915700000405195
"2";2006;1780995,6171875;396180,7714844;83166,845703;170884,8750001;152319,2646484;60262,9821777;333322,6936032;56796,2797852;18657,336548;46540,170654;20085,242859;13359,6557619;333322,7075198;58992,4292143;19941,4617003;61642,2147217;20085,241577;13359,6556398;-0,0139165999717079;-2196,1494291;-1284,1251523;-15102,0440677;0,00128200000108336;0,000122100000226055
"3";2007;1394072,9023438;370122,6386718;69144,9831544;99338,8261719;142747,4833985;45729,8610839;330199,0075684;54755,0153806;18403,4362182;45963,5598143;20184,544861;13151,7077028;330199,0039063;57150,3866731;19804,0571518;62638,9558106;20184,542053;13151,7078249;0,00366210000356659;-2395,3712925;-1400,6209336;-16675,3959963;0,00280799999745796;-0,000122100000226055
"4";2008;996424,8339844;344891,5507812;54725,9404297;31261,2001952;134004,3378905;30820,3991698;330305,6936032;54296,4309082;18360,3554079;45897,3776857;20482,8908691;13106,5953979;330305,7094723;56894,5758513;19879,5415193;64119,6555176;20482,8862303;13106,5953979;-0,0158690999960527;-2598,1449431;-1519,1861114;-18222,2778319;0,00463880000097561;0
"5";2009;704805,8144532;335430,6777343;45367,4289551;15256,9595947;131824,2373048;20104,0803223;331105,3146973;53616,9433592;18353,482727;45961,3229979;20932,9689941;13089,3458251;331105,3149414;56396,8307342;19978,9299926;64907,7652589;20932,9669191;13089,3468629;-0,000244099996052682;-2779,887375;-1625,4472656;-18946,442261;0,00207500000033178;-0,00103780000063125
"6";2010;654996,0292968;336264,1894532;38187,4201661;12899,7032472;135149,075195;10956,8714599;330579,4763185;52875,9328612;18279,6972658;45818,8481443;21140,3782959;13023,367859;330579,5019532;55845,4503021;20016,0218049;65596,7711181;21140,3759768;13023,367859;-0,0256346999667585;-2969,5174409;-1736,3245391;-19777,9229738;0,00231910000366042;0
"7";2011;647775,2128906;343820,841797;32811,9847413;13812,6142579;142242,609375;5856,6289521;329392,2919924;51958,7648923;18163,2897339;45561,9582521;21286,7506102;12923,9770509;329392,3176271;55112,9278565;20007,581497;66357,189209;21286,7501219;12923,977173;-0,0256346999667585;-3154,1629642;-1844,2917631;-20795,2309569;0,000488299996504793;-0,000122100000226055
"8";2012;628125,5175782;350600,0058593;27078,2421875;14832,8054199;149677,1142578;5979,7163695;327553,843994;51248,5207521;18037,713562;45243,3645021;21176,242798;12824,585083;327553,8544919;54586,9690857;19989,7629852;67149,588623;21176,23999;12824,5853272;-0,0104979000170715;-3338,4483336;-1952,0494232;-21906,2241209;0,00280800000109593;-0,000244200000452111
"9";2013;602580,6699218;353870,2636718;21536,5679322;17181,2908936;156608,9335938;6690,7020722;325474,6921387;50015,3762209;17879,602173;44876,5383301;21177,163086;12697,0911252;325474,6752927;53160,6829529;19933,9735413;67857,3798827;21177,1605227;12697,0911252;0,0168459999840707;-3145,306732;-2054,3713683;-22980,8415526;0,00256330000047456;0
"10";2014;571011,6015625;352262,7285157;16579,2434694;19303,4826659;164242,3486327;7464,1626892;324556,9069824;49514,8442383;17807,6452028;44706,0161132;21182,204712;12638,347168;324556,9069824;52457,1485902;19960,4036865;68773,3239746;21182,2023923;12638,347168;0;-2942,3043519;-2152,7584837;-24067,3078614;0,00231970000095316;0
"11";2015;553125,9423829;357498,8632813;15372,0114747;22320,7128906;173559,3017579;8854,2875671;323639,0998533;49014,3168943;17735,6920778;44535,5026857;21187,2486571;12579,6069338;323639,0939939;52794,8239748;19970,8689728;69661,8879395;21187,2442625;12579,6069338;0,00585940002929419;-3780,5070805;-2235,176895;-25126,3852538;0,0043946000005235;0
"12";2016;544630,3398437;367242,8749999;16112,4900511;24119,6657715;181214,5908203;9533,1990051;323629,097412;48631,2309572;17702,2388919;44482,7832031;21080,9437257;12546,1951292;323629,1230467;52624,3291015;20011,3071746;70644,2897949;21080,9414061;12546,1950071;-0,0256347000249662;-3993,0981443;-2309,0682827;-26161,5065918;0,00231960000019171;0,000122100000226055
"13";2017;522959,0195312;377097,7109377;16089,8410642;23941,5534667;184149,2666016;9459,5854798;321933,2158202;48030,0395505;17597,2890013;44211,3039551;20422,2352294;12465,7423099;321933,2395018;52177,2811889;19987,4350586;71465,5993653;20422,234497;12465,7432249;-0,0236815999960527;-4147,2416384;-2390,1460573;-27254,2954102;0,000732399999833433;-0,000915000002351007
"14";2018;516067,6132813;388243,1054688;16793,3672485;26411,4221802;183849,9921874;10149,0593871;321920,3125;47937,763672;17582,1643678;44181,0161132;20284,6700441;12450,423523;321920,2985838;52231,013214;20050,7047119;72448,0673827;20284,6677245;12450,4224853;0,0139162000268698;-4293,249542;-2468,5403441;-28267,0512695;0,00231960000019171;0,0010376999998698
"15";2019;502980,9189453;397816,4980468;17006,1879885;27391,3615722;184304,6953126;10367,2462159;318269,2529296;46701,8215332;17361,263611;43604,409424;20152,7651366;12282,2789918;318269,2736819;51135,0072326;19907,0372926;72882,958252;20152,7628174;12282,2789918;-0,0207522999844514;-4433,1856994;-2545,7736816;-29278,548828;0,00231919999714592;0
"16";2020;512423,1777343;408095,9160155;17784,5583496;27802,9143067;186143,5751952;11125,0908814;314485,6296387;45739,9167479;17153,1933592;43033,4133301;19708,9122926;12128,6072389;314485,6413574;50298,7459411;19769,8017272;72748,048828;19708,9099729;12128,6083982;-0,0117186999996193;-4558,8291932;-2616,608368;-29714,6354979;0,00231970000095316;-0,00115929999992659
"17";2021;541066,9228517;419918,6757811;17873,05542;23751,3916016;187597,0068359;10983,0983887;315118,2182617;46022,3339842;17183,902649;43109,6972658;19634,9401858;12149,4762571;315118,2414552;50704,1237183;19875,5766449;72936,4577637;19634,9362795;12149,4785769;-0,0231935000047088;-4681,7897341;-2691,6739959;-29826,7604979;0,00390629999674275;-0,00231979999989562
"18";2022;626257,9628906;434972,1132812;17416,3602294;16622,6015625;189581,5302735;9405,0950318;314086,5322265;45306,4941408;17103,2409059;42930,2102051;19572,5960695;12084,3421021;314086,5275881;50104,6434327;19873,4276886;72777,055664;19572,591919;12084,3431398;0,00463839998701587;-4798,1492919;-2770,1867827;-29846,8454589;0,00415050000083284;-0,0010376999998698
"19";2023;698685,5996093;449182,1132813;16812,7349853;10941,8425292;192450,6445313;8772,8331296;312504,5632323;44920,610596;17006,9960329;42667,7097168;19570,2514036;12010,2807619;312504,5729984;49833,9038696;19852,4283296;72547,8132324;19570,2503663;12010,2808839;-0,00976610003272071;-4913,2932736;-2845,4322967;-29880,1035156;0,00103730000046198;-0,000122000001283595
