"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"Date";"group_id"
"15";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;3;0,7522239;0,6014488;1,0228339;1,6917422;0,0613814;0,0771103;1,317503;2,7422125;0,0477378;6,1732888;3,31e-05;0,3340605;NA;NA;NA;NA;2006-03-01;1
"16";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;4;0,4921658;0,3931715;0,5214819;0,8579464;0,0238165;0,026312;0,5115633;1,3422865;0,0464905;6,025897;6,59e-05;0,2637815;NA;NA;NA;NA;2006-04-01;1
"17";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;5;0,1853435;0,1479596;0,1583479;0,2531684;0;0;0,1191261;0,2798444;0,0217343;3,1877651;0,0001217;0,1377384;NA;NA;NA;NA;2006-05-01;1
"18";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;6;0,422473;0,3368268;0,2687272;0,4167449;0;0;0,1570181;0,3346255;0,0700682;8,9246769;0,0006828;0,3301895;NA;NA;NA;NA;2006-06-01;1
"19";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;7;0;0;0;0;0;0;0;0;0;0;8,7e-05;0;NA;NA;NA;NA;2006-07-01;1
"20";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;8;0;0;0;0;0;0;0;0;0;0;2,07e-05;0;NA;NA;NA;NA;2006-08-01;1
"21";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;9;0;0;0;0;0;0;0;0;0;0;5,28e-05;0;NA;NA;NA;NA;2006-09-01;1
"22";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;10;0,2530345;0,2018194;0,1288198;0,2047331;0,0035874;0,0034565;0,0625216;0,2453496;0,0133637;3,9723833;8,77e-05;0,4902138;NA;NA;NA;NA;2006-10-01;1
"23";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;11;3,346416;2,6657131;3,7606628;6,3199587;0,1167712;0,131992;4,1178761;11,6784086;0,0812124;33,7175636;5,08e-05;4,067174;NA;NA;NA;NA;2006-11-01;1
"24";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2006;12;1,2868611;1,023811;1,7190381;3,005594;0,05645;0,0801053;2,2122128;6,2032051;0,0469754;6,9821296;3,16e-05;0,6115375;NA;NA;NA;NA;2006-12-01;1
"25";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;1;0,6796923;0,5403345;0,9181231;1,6127673;0,0350977;0,0561748;1,205604;3,1457469;0,0321726;4,0719743;3,26e-05;0,2948263;NA;NA;NA;NA;2007-01-01;1
"26";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;2;1,0722393;0,8513917;1,4414591;2,6156421;0,0665024;0,1053945;1,8939146;5,2918415;0,0540587;5,8617396;3,34e-05;0,2899125;NA;NA;NA;NA;2007-02-01;1
"27";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;3;0,5405923;0,4288571;0,5964119;1,085701;0,0445833;0,0565325;0,6426238;2,041786;0,0492249;5,3712006;5,87e-05;0,2017781;NA;NA;NA;NA;2007-03-01;1
"28";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;4;0,6244869;0,4950013;0,6431732;1,1785928;0,0286959;0,0379706;0,6353516;2,2190754;0,0413122;6,7246704;6,55e-05;0,336788;NA;NA;NA;NA;2007-04-01;1
"29";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;5;0,2514825;0,1992304;0,1910794;0,3492467;0;0;0,1301559;0,5998681;0,0253702;3,899883;0,0002393;0,1894729;NA;NA;NA;NA;2007-05-01;1
"30";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;6;0;0;0;0;0;0;0;0;0;0;0,0002257;0;NA;NA;NA;NA;2007-06-01;1
"31";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;7;0;0;0;0;0;0;0;0;0;0;2,89e-05;0;NA;NA;NA;NA;2007-07-01;1
"32";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;8;0;0;0;0;0;0;0;0;0;0;1,9e-06;0;NA;NA;NA;NA;2007-08-01;1
